,Center,DemandZone,Subsection,Distance_km
0,DC1,Zone1,Sub1,1948
1,DC1,Zone1,Sub2,1858
2,DC1,Zone1,Sub3,1877
3,DC1,Zone2,Sub1,577
4,DC1,Zone2,Sub2,709
5,DC1,Zone2,Sub3,623
6,DC1,Zone3,Sub1,511
7,DC1,Zone3,Sub2,477
8,DC1,Zone3,Sub3,530
9,DC1,Zone4,Sub1,1267
10,DC1,Zone4,Sub2,1360
11,DC1,Zone4,Sub3,1432
12,DC1,Zone5,Sub1,2465
13,DC1,Zone5,Sub2,2120
14,DC1,Zone5,Sub3,2485
15,DC1,Zone6,Sub1,1326
16,DC1,Zone6,Sub2,1367
17,DC1,Zone6,Sub3,1300
18,DC1,Zone7,Sub1,611
19,DC1,Zone7,Sub2,545
20,DC1,Zone7,Sub3,501
21,DC1,Zone8,Sub1,303
22,DC1,Zone8,Sub2,261
23,DC1,Zone8,Sub3,284
24,DC1,Zone9,Sub1,277
25,DC1,Zone9,Sub2,247
26,DC1,Zone9,Sub3,248
27,DC1,Zone10,Sub1,1311
28,DC1,Zone10,Sub2,1301
29,DC1,Zone10,Sub3,1035
30,DC1,Zone11,Sub1,2247
31,DC1,Zone11,Sub2,2206
32,DC1,Zone11,Sub3,2393
33,DC1,Zone12,Sub1,838
34,DC1,Zone12,Sub2,867
35,DC1,Zone12,Sub3,1013
36,DC1,Zone13,Sub1,1291
37,DC1,Zone13,Sub2,1426
38,DC1,Zone13,Sub3,1452
39,DC1,Zone14,Sub1,1044
40,DC1,Zone14,Sub2,1028
41,DC1,Zone14,Sub3,899
42,DC1,Zone15,Sub1,1135
43,DC1,Zone15,Sub2,1309
44,DC1,Zone15,Sub3,1152
45,DC1,Zone16,Sub1,1964
46,DC1,Zone16,Sub2,1810
47,DC1,Zone16,Sub3,1930
48,DC1,Zone17,Sub1,1912
49,DC1,Zone17,Sub2,1600
50,DC1,Zone17,Sub3,1528
51,DC1,Zone18,Sub1,1346
52,DC1,Zone18,Sub2,1478
53,DC1,Zone18,Sub3,1168
54,DC1,Zone19,Sub1,2486
55,DC1,Zone19,Sub2,2011
56,DC1,Zone19,Sub3,2287
57,DC1,Zone20,Sub1,1292
58,DC1,Zone20,Sub2,1296
59,DC1,Zone20,Sub3,985
60,DC1,Zone21,Sub1,1377
61,DC1,Zone21,Sub2,1363
62,DC1,Zone21,Sub3,1212
63,DC1,Zone22,Sub1,2220
64,DC1,Zone22,Sub2,1968
65,DC1,Zone22,Sub3,1820
66,DC1,Zone23,Sub1,1010
67,DC1,Zone23,Sub2,909
68,DC1,Zone23,Sub3,887
69,DC1,Zone24,Sub1,1225
70,DC1,Zone24,Sub2,1021
71,DC1,Zone24,Sub3,978
72,DC1,Zone25,Sub1,1459
73,DC1,Zone25,Sub2,1220
74,DC1,Zone25,Sub3,1479
75,DC2,Zone1,Sub1,1299
