,Center,DemandZone,Subsection,Distance_km
0,DC1,Zone1,Sub1,1350
1,DC1,Zone1,Sub2,1674
2,DC1,Zone1,Sub3,1430
3,DC1,Zone2,Sub1,1699
4,DC1,Zone2,Sub2,1501
5,DC1,Zone2,Sub3,1535
6,DC1,Zone3,Sub1,935
7,DC1,Zone3,Sub2,850
8,DC1,Zone3,Sub3,892
9,DC1,Zone4,Sub1,607
10,DC1,Zone4,Sub2,660
11,DC1,Zone4,Sub3,620
12,DC1,Zone5,Sub1,2665
13,DC1,Zone5,Sub2,2618
14,DC1,Zone5,Sub3,2226
15,DC1,Zone6,Sub1,704
16,DC1,Zone6,Sub2,667
17,DC1,Zone6,Sub3,769
18,DC1,Zone7,Sub1,1710
19,DC1,Zone7,Sub2,1731
20,DC1,Zone7,Sub3,1599
21,DC1,Zone8,Sub1,966
22,DC1,Zone8,Sub2,900
23,DC1,Zone8,Sub3,823
24,DC1,Zone9,Sub1,1695
25,DC1,Zone9,Sub2,1603
26,DC1,Zone9,Sub3,1429
27,DC1,Zone10,Sub1,340
28,DC1,Zone10,Sub2,316
29,DC1,Zone10,Sub3,386
30,DC1,Zone11,Sub1,1139
31,DC1,Zone11,Sub2,929
32,DC1,Zone11,Sub3,1150
33,DC1,Zone12,Sub1,732
34,DC1,Zone12,Sub2,755
35,DC1,Zone12,Sub3,930
36,DC1,Zone13,Sub1,656
37,DC1,Zone13,Sub2,658
38,DC1,Zone13,Sub3,739
39,DC1,Zone14,Sub1,2268
40,DC1,Zone14,Sub2,2112
41,DC1,Zone14,Sub3,1995
42,DC1,Zone15,Sub1,1833
43,DC1,Zone15,Sub2,1497
44,DC1,Zone15,Sub3,1856
45,DC1,Zone16,Sub1,709
46,DC1,Zone16,Sub2,685
47,DC1,Zone16,Sub3,641
48,DC1,Zone17,Sub1,1041
49,DC1,Zone17,Sub2,1071
50,DC1,Zone17,Sub3,1063
51,DC1,Zone18,Sub1,693
52,DC1,Zone18,Sub2,727
53,DC1,Zone18,Sub3,812
54,DC1,Zone19,Sub1,785
55,DC1,Zone19,Sub2,945
56,DC1,Zone19,Sub3,970
57,DC1,Zone20,Sub1,586
58,DC1,Zone20,Sub2,496
59,DC1,Zone20,Sub3,559
60,DC1,Zone21,Sub1,973
61,DC1,Zone21,Sub2,1033
62,DC1,Zone21,Sub3,949
63,DC1,Zone22,Sub1,1168
64,DC1,Zone22,Sub2,1049
65,DC1,Zone22,Sub3,1139
66,DC1,Zone23,Sub1,2227
67,DC1,Zone23,Sub2,2466
68,DC1,Zone23,Sub3,2604
69,DC1,Zone24,Sub1,621
70,DC1,Zone24,Sub2,750
71,DC1,Zone24,Sub3,766
72,DC1,Zone25,Sub1,2054
73,DC1,Zone25,Sub2,1777
74,DC1,Zone25,Sub3,1546
75,DC2,Zone1,Sub1,786
76,DC2,Zone1,Sub2,810
77,DC2,Zone1,Sub3,849
78,DC2,Zone2,Sub1,1895
79,DC2,Zone2,Sub2,2386
80,DC2,Zone2,Sub3,2279
81,DC2,Zone3,Sub1,1428
82,DC2,Zone3,Sub2,1624
83,DC2,Zone3,Sub3,1610
84,DC2,Zone4,Sub1,730
85,DC2,Zone4,Sub2,875
86,DC2,Zone4,Sub3,833
87,DC2,Zone5,Sub1,2152
88,DC2,Zone5,Sub2,1988
89,DC2,Zone5,Sub3,2093
90,DC2,Zone6,Sub1,1004
91,DC2,Zone6,Sub2,895
92,DC2,Zone6,Sub3,986
93,DC2,Zone7,Sub1,726
94,DC2,Zone7,Sub2,743
95,DC2,Zone7,Sub3,619
96,DC2,Zone8,Sub1,1128
97,DC2,Zone8,Sub2,1117
98,DC2,Zone8,Sub3,1028
99,DC2,Zone9,Sub1,265
100,DC2,Zone9,Sub2,288
101,DC2,Zone9,Sub3,263
102,DC2,Zone10,Sub1,579
103,DC2,Zone10,Sub2,632
104,DC2,Zone10,Sub3,696
105,DC2,Zone11,Sub1,489
106,DC2,Zone11,Sub2,483
107,DC2,Zone11,Sub3,522
108,DC2,Zone12,Sub1,2108
109,DC2,Zone12,Sub2,1968
110,DC2,Zone12,Sub3,2246
111,DC2,Zone13,Sub1,1135
112,DC2,Zone13,Sub2,1034
113,DC2,Zone13,Sub3,1105
114,DC2,Zone14,Sub1,308
115,DC2,Zone14,Sub2,314
116,DC2,Zone14,Sub3,281
117,DC2,Zone15,Sub1,321
118,DC2,Zone15,Sub2,267
119,DC2,Zone15,Sub3,293
120,DC2,Zone16,Sub1,1725
121,DC2,Zone16,Sub2,1548
122,DC2,Zone16,Sub3,1523
123,DC2,Zone17,Sub1,2044
124,DC2,Zone17,Sub2,2713
125,DC2,Zone17,Sub3,2474
126,DC2,Zone18,Sub1,346
127,DC2,Zone18,Sub2,297
128,DC2,Zone18,Sub3,330
129,DC2,Zone19,Sub1,934
130,DC2,Zone19,Sub2,1072
131,DC2,Zone19,Sub3,976
132,DC2,Zone20,Sub1,730
133,DC2,Zone20,Sub2,689
134,DC2,Zone20,Sub3,646
135,DC2,Zone21,Sub1,1747
136,DC2,Zone21,Sub2,1734
137,DC2,Zone21,Sub3,1475
138,DC2,Zone22,Sub1,1063
139,DC2,Zone22,Sub2,1156
140,DC2,Zone22,Sub3,945
141,DC2,Zone23,Sub1,1865
142,DC2,Zone23,Sub2,2085
143,DC2,Zone23,Sub3,1888
144,DC2,Zone24,Sub1,727
145,DC2,Zone24,Sub2,633
146,DC2,Zone24,Sub3,803
147,DC2,Zone25,Sub1,893
148,DC2,Zone25,Sub2,825
149,DC2,Zone25,Sub3,918
150,DC3,Zone1,Sub1,2086
151,DC3,Zone1,Sub2,2167
152,DC3,Zone1,Sub3,2127
153,DC3,Zone2,Sub1,313
154,DC3,Zone2,Sub2,282
155,DC3,Zone2,Sub3,275
156,DC3,Zone3,Sub1,1609
157,DC3,Zone3,Sub2,1645
158,DC3,Zone3,Sub3,1696
159,DC3,Zone4,Sub1,620
160,DC3,Zone4,Sub2,478
161,DC3,Zone4,Sub3,491
162,DC3,Zone5,Sub1,1406
163,DC3,Zone5,Sub2,1566
164,DC3,Zone5,Sub3,1692
165,DC3,Zone6,Sub1,2093
166,DC3,Zone6,Sub2,2625
167,DC3,Zone6,Sub3,2669
168,DC3,Zone7,Sub1,1419
169,DC3,Zone7,Sub2,1266
170,DC3,Zone7,Sub3,1227
171,DC3,Zone8,Sub1,588
172,DC3,Zone8,Sub2,573
173,DC3,Zone8,Sub3,680
174,DC3,Zone9,Sub1,226
175,DC3,Zone9,Sub2,191
176,DC3,Zone9,Sub3,210
177,DC3,Zone10,Sub1,2239
178,DC3,Zone10,Sub2,1771
179,DC3,Zone10,Sub3,1936
180,DC3,Zone11,Sub1,1555
181,DC3,Zone11,Sub2,1536
182,DC3,Zone11,Sub3,1485
183,DC3,Zone12,Sub1,958
184,DC3,Zone12,Sub2,1113
185,DC3,Zone12,Sub3,1154
186,DC3,Zone13,Sub1,2577
187,DC3,Zone13,Sub2,2251
188,DC3,Zone13,Sub3,2299
189,DC3,Zone14,Sub1,2024
190,DC3,Zone14,Sub2,2060
191,DC3,Zone14,Sub3,2144
192,DC3,Zone15,Sub1,283
193,DC3,Zone15,Sub2,264
194,DC3,Zone15,Sub3,271
195,DC3,Zone16,Sub1,2292
196,DC3,Zone16,Sub2,2139
197,DC3,Zone16,Sub3,2331
198,DC3,Zone17,Sub1,2096
199,DC3,Zone17,Sub2,2289
200,DC3,Zone17,Sub3,2219
201,DC3,Zone18,Sub1,1771
202,DC3,Zone18,Sub2,1677
203,DC3,Zone18,Sub3,1865
204,DC3,Zone19,Sub1,1155
205,DC3,Zone19,Sub2,1318
206,DC3,Zone19,Sub3,1182
207,DC3,Zone20,Sub1,1117
208,DC3,Zone20,Sub2,1254
209,DC3,Zone20,Sub3,1307
210,DC3,Zone21,Sub1,1903
211,DC3,Zone21,Sub2,1729
212,DC3,Zone21,Sub3,1882
213,DC3,Zone22,Sub1,2275
214,DC3,Zone22,Sub2,2338
215,DC3,Zone22,Sub3,2229
216,DC3,Zone23,Sub1,2222
217,DC3,Zone23,Sub2,1983
218,DC3,Zone23,Sub3,2353
219,DC3,Zone24,Sub1,2340
220,DC3,Zone24,Sub2,2446
221,DC3,Zone24,Sub3,2370
222,DC3,Zone25,Sub1,1508
223,DC3,Zone25,Sub2,1625
224,DC3,Zone25,Sub3,1413
225,DC4,Zone1,Sub1,1863
226,DC4,Zone1,Sub2,1977
227,DC4,Zone1,Sub3,1649
228,DC4,Zone2,Sub1,268
229,DC4,Zone2,Sub2,217
230,DC4,Zone2,Sub3,261
231,DC4,Zone3,Sub1,2189
232,DC4,Zone3,Sub2,2095
233,DC4,Zone3,Sub3,1874
234,DC4,Zone4,Sub1,389
235,DC4,Zone4,Sub2,348
236,DC4,Zone4,Sub3,407
237,DC4,Zone5,Sub1,1793
238,DC4,Zone5,Sub2,1656
239,DC4,Zone5,Sub3,1516
240,DC4,Zone6,Sub1,2459
241,DC4,Zone6,Sub2,1992
242,DC4,Zone6,Sub3,2078
243,DC4,Zone7,Sub1,1876
244,DC4,Zone7,Sub2,1778
245,DC4,Zone7,Sub3,1829
246,DC4,Zone8,Sub1,1387
247,DC4,Zone8,Sub2,1166
248,DC4,Zone8,Sub3,1462
249,DC4,Zone9,Sub1,552
250,DC4,Zone9,Sub2,633
251,DC4,Zone9,Sub3,477
252,DC4,Zone10,Sub1,805
253,DC4,Zone10,Sub2,913
254,DC4,Zone10,Sub3,874
255,DC4,Zone11,Sub1,654
256,DC4,Zone11,Sub2,630
257,DC4,Zone11,Sub3,758
258,DC4,Zone12,Sub1,1368
259,DC4,Zone12,Sub2,1394
260,DC4,Zone12,Sub3,1103
261,DC4,Zone13,Sub1,615
262,DC4,Zone13,Sub2,512
263,DC4,Zone13,Sub3,540
264,DC4,Zone14,Sub1,2388
265,DC4,Zone14,Sub2,2534
266,DC4,Zone14,Sub3,2594
267,DC4,Zone15,Sub1,861
268,DC4,Zone15,Sub2,1060
269,DC4,Zone15,Sub3,1027
270,DC4,Zone16,Sub1,1568
271,DC4,Zone16,Sub2,1324
272,DC4,Zone16,Sub3,1462
273,DC4,Zone17,Sub1,2077
274,DC4,Zone17,Sub2,2314
275,DC4,Zone17,Sub3,2195
276,DC4,Zone18,Sub1,1555
277,DC4,Zone18,Sub2,1646
278,DC4,Zone18,Sub3,1891
279,DC4,Zone19,Sub1,2822
280,DC4,Zone19,Sub2,2164
281,DC4,Zone19,Sub3,2851
282,DC4,Zone20,Sub1,464
283,DC4,Zone20,Sub2,468
284,DC4,Zone20,Sub3,506
285,DC4,Zone21,Sub1,587
286,DC4,Zone21,Sub2,496
287,DC4,Zone21,Sub3,566
288,DC4,Zone22,Sub1,406
289,DC4,Zone22,Sub2,393
290,DC4,Zone22,Sub3,379
291,DC4,Zone23,Sub1,1185
292,DC4,Zone23,Sub2,952
293,DC4,Zone23,Sub3,1061
294,DC4,Zone24,Sub1,1498
295,DC4,Zone24,Sub2,1678
296,DC4,Zone24,Sub3,1784
297,DC4,Zone25,Sub1,927
298,DC4,Zone25,Sub2,1022
299,DC4,Zone25,Sub3,890
300,DC5,Zone1,Sub1,1883
301,DC5,Zone1,Sub2,2419
302,DC5,Zone1,Sub3,2205
303,DC5,Zone2,Sub1,2362
304,DC5,Zone2,Sub2,2465
305,DC5,Zone2,Sub3,2061
306,DC5,Zone3,Sub1,760
307,DC5,Zone3,Sub2,640
308,DC5,Zone3,Sub3,765
309,DC5,Zone4,Sub1,1994
310,DC5,Zone4,Sub2,1492
311,DC5,Zone4,Sub3,1830
312,DC5,Zone5,Sub1,1676
313,DC5,Zone5,Sub2,1925
314,DC5,Zone5,Sub3,1754
315,DC5,Zone6,Sub1,1105
316,DC5,Zone6,Sub2,1249
317,DC5,Zone6,Sub3,1271
318,DC5,Zone7,Sub1,527
319,DC5,Zone7,Sub2,584
320,DC5,Zone7,Sub3,650
321,DC5,Zone8,Sub1,255
322,DC5,Zone8,Sub2,219
323,DC5,Zone8,Sub3,224
324,DC5,Zone9,Sub1,1822
325,DC5,Zone9,Sub2,1998
326,DC5,Zone9,Sub3,1868
327,DC5,Zone10,Sub1,505
328,DC5,Zone10,Sub2,632
329,DC5,Zone10,Sub3,565
330,DC5,Zone11,Sub1,1683
331,DC5,Zone11,Sub2,2014
332,DC5,Zone11,Sub3,1907
333,DC5,Zone12,Sub1,471
334,DC5,Zone12,Sub2,460
335,DC5,Zone12,Sub3,463
336,DC5,Zone13,Sub1,1216
337,DC5,Zone13,Sub2,1344
338,DC5,Zone13,Sub3,1338
339,DC5,Zone14,Sub1,2573
