,Center,DemandZone,Subsection,Distance_km
0,DC1,Zone1,Sub1,1416
1,DC1,Zone1,Sub2,1269
2,DC1,Zone1,Sub3,1615
3,DC1,Zone2,Sub1,2157
4,DC1,Zone2,Sub2,1994
5,DC1,Zone2,Sub3,2076
6,DC1,Zone3,Sub1,2600
7,DC1,Zone3,Sub2,2623
8,DC1,Zone3,Sub3,2315
9,DC1,Zone4,Sub1,268
10,DC1,Zone4,Sub2,248
11,DC1,Zone4,Sub3,220
12,DC1,Zone5,Sub1,880
13,DC1,Zone5,Sub2,708
14,DC1,Zone5,Sub3,776
15,DC1,Zone6,Sub1,1086
16,DC1,Zone6,Sub2,893
17,DC1,Zone6,Sub3,987
18,DC1,Zone7,Sub1,1729
19,DC1,Zone7,Sub2,2061
20,DC1,Zone7,Sub3,1735
21,DC1,Zone8,Sub1,1755
22,DC1,Zone8,Sub2,2170
23,DC1,Zone8,Sub3,2237
24,DC1,Zone9,Sub1,2037
25,DC1,Zone9,Sub2,1725
26,DC1,Zone9,Sub3,1765
27,DC1,Zone10,Sub1,1380
28,DC1,Zone10,Sub2,1676
29,DC1,Zone10,Sub3,1678
30,DC1,Zone11,Sub1,1379
31,DC1,Zone11,Sub2,1509
32,DC1,Zone11,Sub3,1573
33,DC1,Zone12,Sub1,2238
34,DC1,Zone12,Sub2,2286
35,DC1,Zone12,Sub3,2539
36,DC1,Zone13,Sub1,837
37,DC1,Zone13,Sub2,850
38,DC1,Zone13,Sub3,1044
39,DC1,Zone14,Sub1,801
40,DC1,Zone14,Sub2,1004
41,DC1,Zone14,Sub3,823
42,DC1,Zone15,Sub1,936
43,DC1,Zone15,Sub2,962
44,DC1,Zone15,Sub3,792
45,DC1,Zone16,Sub1,439
46,DC1,Zone16,Sub2,442
47,DC1,Zone16,Sub3,404
48,DC1,Zone17,Sub1,2203
49,DC1,Zone17,Sub2,2361
50,DC1,Zone17,Sub3,2275
51,DC1,Zone18,Sub1,1689
52,DC1,Zone18,Sub2,1599
53,DC1,Zone18,Sub3,1940
54,DC1,Zone19,Sub1,320
55,DC1,Zone19,Sub2,319
56,DC1,Zone19,Sub3,393
57,DC1,Zone20,Sub1,1359
58,DC1,Zone20,Sub2,1547
59,DC1,Zone20,Sub3,1625
60,DC1,Zone21,Sub1,2251
61,DC1,Zone21,Sub2,2183
62,DC1,Zone21,Sub3,2645
63,DC1,Zone22,Sub1,1613
64,DC1,Zone22,Sub2,1461
65,DC1,Zone22,Sub3,1904
66,DC1,Zone23,Sub1,2510
67,DC1,Zone23,Sub2,1897
68,DC1,Zone23,Sub3,2263
69,DC1,Zone24,Sub1,596
70,DC1,Zone24,Sub2,631
71,DC1,Zone24,Sub3,652
72,DC1,Zone25,Sub1,1166
73,DC1,Zone25,Sub2,1371
74,DC1,Zone25,Sub3,1159
75,DC2,Zone1,Sub1,499
76,DC2,Zone1,Sub2,471
