,Center,DemandZone,Subsection,Distance_km
0,DC1,Zone1,Sub1,2117
1,DC1,Zone1,Sub2,1620
2,DC1,Zone1,Sub3,2012
3,DC1,Zone2,Sub1,535
4,DC1,Zone2,Sub2,491
5,DC1,Zone2,Sub3,506
6,DC1,Zone3,Sub1,1848
7,DC1,Zone3,Sub2,1761
8,DC1,Zone3,Sub3,1975
9,DC1,Zone4,Sub1,254
10,DC1,Zone4,Sub2,250
11,DC1,Zone4,Sub3,230
12,DC1,Zone5,Sub1,1214
13,DC1,Zone5,Sub2,1175
14,DC1,Zone5,Sub3,1051
15,DC1,Zone6,Sub1,1099
16,DC1,Zone6,Sub2,1197
17,DC1,Zone6,Sub3,1070
18,DC1,Zone7,Sub1,639
19,DC1,Zone7,Sub2,604
20,DC1,Zone7,Sub3,611
21,DC1,Zone8,Sub1,1137
22,DC1,Zone8,Sub2,1442
23,DC1,Zone8,Sub3,1394
24,DC1,Zone9,Sub1,2375
25,DC1,Zone9,Sub2,2338
26,DC1,Zone9,Sub3,2235
27,DC1,Zone10,Sub1,1456
28,DC1,Zone10,Sub2,1583
29,DC1,Zone10,Sub3,1512
30,DC1,Zone11,Sub1,976
31,DC1,Zone11,Sub2,1146
32,DC1,Zone11,Sub3,1229
33,DC1,Zone12,Sub1,1098
34,DC1,Zone12,Sub2,1123
35,DC1,Zone12,Sub3,1153
36,DC1,Zone13,Sub1,2244
37,DC1,Zone13,Sub2,2051
38,DC1,Zone13,Sub3,2159
39,DC1,Zone14,Sub1,2278
40,DC1,Zone14,Sub2,2094
41,DC1,Zone14,Sub3,2006
42,DC1,Zone15,Sub1,496
43,DC1,Zone15,Sub2,434
44,DC1,Zone15,Sub3,516
45,DC1,Zone16,Sub1,2189
46,DC1,Zone16,Sub2,2532
47,DC1,Zone16,Sub3,2362
48,DC1,Zone17,Sub1,1450
49,DC1,Zone17,Sub2,1450
50,DC1,Zone17,Sub3,1467
51,DC1,Zone18,Sub1,371
52,DC1,Zone18,Sub2,469
53,DC1,Zone18,Sub3,380
54,DC1,Zone19,Sub1,2360
55,DC1,Zone19,Sub2,2610
56,DC1,Zone19,Sub3,2405
57,DC1,Zone20,Sub1,1710
58,DC1,Zone20,Sub2,1531
59,DC1,Zone20,Sub3,1672
60,DC1,Zone21,Sub1,613
61,DC1,Zone21,Sub2,473
62,DC1,Zone21,Sub3,538
63,DC1,Zone22,Sub1,1710
64,DC1,Zone22,Sub2,1509
65,DC1,Zone22,Sub3,1333
66,DC1,Zone23,Sub1,1156
67,DC1,Zone23,Sub2,1222
68,DC1,Zone23,Sub3,1354
69,DC1,Zone24,Sub1,1584
70,DC1,Zone24,Sub2,1653
71,DC1,Zone24,Sub3,1778
72,DC1,Zone25,Sub1,2760
73,DC1,Zone25,Sub2,2696
74,DC1,Zone25,Sub3,2368
75,DC2,Zone1,Sub1,900
76,DC2,Zone1,Sub2,762
77,DC2,Zone1,Sub3,848
78,DC2,Zone2,Sub1,987
79,DC2,Zone2,Sub2,772
80,DC2,Zone2,Sub3,1023
81,DC2,Zone3,Sub1,1755
82,DC2,Zone3,Sub2,1796
83,DC2,Zone3,Sub3,1664
84,DC2,Zone4,Sub1,1313
