,Center,DemandZone,Subsection,Distance_km
0,DC1,Zone1,Sub1,1895
1,DC1,Zone1,Sub2,2039
2,DC1,Zone1,Sub3,2022
3,DC1,Zone2,Sub1,1260
4,DC1,Zone2,Sub2,1275
5,DC1,Zone2,Sub3,1025
6,DC1,Zone3,Sub1,620
7,DC1,Zone3,Sub2,591
8,DC1,Zone3,Sub3,618
9,DC1,Zone4,Sub1,1947
10,DC1,Zone4,Sub2,2090
11,DC1,Zone4,Sub3,2266
12,DC1,Zone5,Sub1,1772
13,DC1,Zone5,Sub2,2103
14,DC1,Zone5,Sub3,2154
15,DC1,Zone6,Sub1,1543
16,DC1,Zone6,Sub2,1776
17,DC1,Zone6,Sub3,1931
18,DC1,Zone7,Sub1,1008
19,DC1,Zone7,Sub2,986
20,DC1,Zone7,Sub3,1167
21,DC1,Zone8,Sub1,678
22,DC1,Zone8,Sub2,790
23,DC1,Zone8,Sub3,681
24,DC1,Zone9,Sub1,851
25,DC1,Zone9,Sub2,839
26,DC1,Zone9,Sub3,872
27,DC1,Zone10,Sub1,229
28,DC1,Zone10,Sub2,267
29,DC1,Zone10,Sub3,237
30,DC1,Zone11,Sub1,1200
31,DC1,Zone11,Sub2,1217
32,DC1,Zone11,Sub3,1143
33,DC1,Zone12,Sub1,2303
34,DC1,Zone12,Sub2,1720
35,DC1,Zone12,Sub3,2033
36,DC1,Zone13,Sub1,669
37,DC1,Zone13,Sub2,676
38,DC1,Zone13,Sub3,615
39,DC1,Zone14,Sub1,959
40,DC1,Zone14,Sub2,1062
41,DC1,Zone14,Sub3,1026
42,DC1,Zone15,Sub1,1007
43,DC1,Zone15,Sub2,1248
44,DC1,Zone15,Sub3,1023
45,DC1,Zone16,Sub1,393
46,DC1,Zone16,Sub2,374
47,DC1,Zone16,Sub3,407
48,DC1,Zone17,Sub1,2205
49,DC1,Zone17,Sub2,1997
50,DC1,Zone17,Sub3,2511
51,DC1,Zone18,Sub1,1899
52,DC1,Zone18,Sub2,1872
53,DC1,Zone18,Sub3,2185
54,DC1,Zone19,Sub1,1913
55,DC1,Zone19,Sub2,1954
56,DC1,Zone19,Sub3,1907
57,DC1,Zone20,Sub1,2422
58,DC1,Zone20,Sub2,2004
59,DC1,Zone20,Sub3,2396
60,DC1,Zone21,Sub1,936
61,DC1,Zone21,Sub2,908
62,DC1,Zone21,Sub3,732
63,DC1,Zone22,Sub1,1503
64,DC1,Zone22,Sub2,1681
65,DC1,Zone22,Sub3,1619
66,DC1,Zone23,Sub1,2693
67,DC1,Zone23,Sub2,2249
68,DC1,Zone23,Sub3,2582
69,DC1,Zone24,Sub1,2123
70,DC1,Zone24,Sub2,2290
71,DC1,Zone24,Sub3,2171
72,DC1,Zone25,Sub1,2259
73,DC1,Zone25,Sub2,1904
74,DC1,Zone25,Sub3,2008
75,DC2,Zone1,Sub1,1797
76,DC2,Zone1,Sub2,1969
77,DC2,Zone1,Sub3,1768
78,DC2,Zone2,Sub1,1306
79,DC2,Zone2,Sub2,1234
80,DC2,Zone2,Sub3,1080
81,DC2,Zone3,Sub1,1000
