,Center,DemandZone,Subsection,CompositeRisk
0,DC1,Zone1,Sub1,0.246074
1,DC1,Zone1,Sub2,0.173429
2,DC1,Zone1,Sub3,0.679559
3,DC1,Zone2,Sub1,0.234921
4,DC1,Zone2,Sub2,0.499807
5,DC1,Zone2,Sub3,0.589096
6,DC1,Zone3,Sub1,0.393598
7,DC1,Zone3,Sub2,0.815824
8,DC1,Zone3,Sub3,0.739257
9,DC1,Zone4,Sub1,0.694228
10,DC1,Zone4,Sub2,0.223422
11,DC1,Zone4,Sub3,0.879006
12,DC1,Zone5,Sub1,0.525678
13,DC1,Zone5,Sub2,0.615138
14,DC1,Zone5,Sub3,0.422827
15,DC1,Zone6,Sub1,0.694485
16,DC1,Zone6,Sub2,0.824081
17,DC1,Zone6,Sub3,0.451012
18,DC1,Zone7,Sub1,0.669156
19,DC1,Zone7,Sub2,0.427655
20,DC1,Zone7,Sub3,0.335073
21,DC1,Zone8,Sub1,0.839872
22,DC1,Zone8,Sub2,0.41437
23,DC1,Zone8,Sub3,0.397103
24,DC1,Zone9,Sub1,0.734276
25,DC1,Zone9,Sub2,0.622377
26,DC1,Zone9,Sub3,0.760251
27,DC1,Zone10,Sub1,0.545411
28,DC1,Zone10,Sub2,0.735009
29,DC1,Zone10,Sub3,0.50325
30,DC1,Zone11,Sub1,0.344896
31,DC1,Zone11,Sub2,0.402771
32,DC1,Zone11,Sub3,0.223681
33,DC1,Zone12,Sub1,0.873938
34,DC1,Zone12,Sub2,0.595775
35,DC1,Zone12,Sub3,0.586704
36,DC1,Zone13,Sub1,0.250283
37,DC1,Zone13,Sub2,0.569173
38,DC1,Zone13,Sub3,0.790269
39,DC1,Zone14,Sub1,0.281135
40,DC1,Zone14,Sub2,0.698693
41,DC1,Zone14,Sub3,0.85652
42,DC1,Zone15,Sub1,0.577328
43,DC1,Zone15,Sub2,0.736018
44,DC1,Zone15,Sub3,0.159969
45,DC1,Zone16,Sub1,0.458942
46,DC1,Zone16,Sub2,0.515218
47,DC1,Zone16,Sub3,0.727431
48,DC1,Zone17,Sub1,0.828381
49,DC1,Zone17,Sub2,0.858567
50,DC1,Zone17,Sub3,0.302221
51,DC1,Zone18,Sub1,0.458523
52,DC1,Zone18,Sub2,0.21379
53,DC1,Zone18,Sub3,0.48688
54,DC1,Zone19,Sub1,0.713107
55,DC1,Zone19,Sub2,0.581229
56,DC1,Zone19,Sub3,0.374658
57,DC1,Zone20,Sub1,0.260961
58,DC1,Zone20,Sub2,0.303679
59,DC1,Zone20,Sub3,0.531554
60,DC1,Zone21,Sub1,0.231475
61,DC1,Zone21,Sub2,0.801302
62,DC1,Zone21,Sub3,0.698562
63,DC1,Zone22,Sub1,0.825284
64,DC1,Zone22,Sub2,0.789514
65,DC1,Zone22,Sub3,0.228327
66,DC1,Zone23,Sub1,0.199747
67,DC1,Zone23,Sub2,0.856513
68,DC1,Zone23,Sub3,0.314555
69,DC1,Zone24,Sub1,0.517154
70,DC1,Zone24,Sub2,0.679231
71,DC1,Zone24,Sub3,0.831324
72,DC1,Zone25,Sub1,0.756465
73,DC1,Zone25,Sub2,0.445867
74,DC1,Zone25,Sub3,0.803515
75,DC2,Zone1,Sub1,0.590469
76,DC2,Zone1,Sub2,0.595253
77,DC2,Zone1,Sub3,0.517334
78,DC2,Zone2,Sub1,0.810543
79,DC2,Zone2,Sub2,0.175864
80,DC2,Zone2,Sub3,0.113097
81,DC2,Zone3,Sub1,0.125074
82,DC2,Zone3,Sub2,0.829716
83,DC2,Zone3,Sub3,0.574222
84,DC2,Zone4,Sub1,0.302848
85,DC2,Zone4,Sub2,0.629032
86,DC2,Zone4,Sub3,0.289841
87,DC2,Zone5,Sub1,0.407262
88,DC2,Zone5,Sub2,0.421688
89,DC2,Zone5,Sub3,0.40232
90,DC2,Zone6,Sub1,0.776804
91,DC2,Zone6,Sub2,0.274612
92,DC2,Zone6,Sub3,0.234483
93,DC2,Zone7,Sub1,0.2574
94,DC2,Zone7,Sub2,0.605023
95,DC2,Zone7,Sub3,0.335031
96,DC2,Zone8,Sub1,0.422731
97,DC2,Zone8,Sub2,0.20211
98,DC2,Zone8,Sub3,0.326979
99,DC2,Zone9,Sub1,0.355714
100,DC2,Zone9,Sub2,0.51149
101,DC2,Zone9,Sub3,0.853528
102,DC2,Zone10,Sub1,0.156829
103,DC2,Zone10,Sub2,0.289133
104,DC2,Zone10,Sub3,0.644624
105,DC2,Zone11,Sub1,0.164034
106,DC2,Zone11,Sub2,0.695507
107,DC2,Zone11,Sub3,0.602833
108,DC2,Zone12,Sub1,0.21875
109,DC2,Zone12,Sub2,0.634537
110,DC2,Zone12,Sub3,0.310747
111,DC2,Zone13,Sub1,0.584884
112,DC2,Zone13,Sub2,0.119315
113,DC2,Zone13,Sub3,0.248526
114,DC2,Zone14,Sub1,0.737019
115,DC2,Zone14,Sub2,0.729447
116,DC2,Zone14,Sub3,0.725815
117,DC2,Zone15,Sub1,0.710584
118,DC2,Zone15,Sub2,0.709156
119,DC2,Zone15,Sub3,0.433757
120,DC2,Zone16,Sub1,0.310995
121,DC2,Zone16,Sub2,0.676134
122,DC2,Zone16,Sub3,0.721195
123,DC2,Zone17,Sub1,0.142281
124,DC2,Zone17,Sub2,0.383038
125,DC2,Zone17,Sub3,0.837497
126,DC2,Zone18,Sub1,0.626422
127,DC2,Zone18,Sub2,0.575569
128,DC2,Zone18,Sub3,0.335807
129,DC2,Zone19,Sub1,0.615794
130,DC2,Zone19,Sub2,0.570261
131,DC2,Zone19,Sub3,0.735238
132,DC2,Zone20,Sub1,0.349931
133,DC2,Zone20,Sub2,0.698731
134,DC2,Zone20,Sub3,0.589922
135,DC2,Zone21,Sub1,0.307571
136,DC2,Zone21,Sub2,0.228739
137,DC2,Zone21,Sub3,0.646398
138,DC2,Zone22,Sub1,0.130453
139,DC2,Zone22,Sub2,0.506486
140,DC2,Zone22,Sub3,0.478142
141,DC2,Zone23,Sub1,0.168747
142,DC2,Zone23,Sub2,0.863002
143,DC2,Zone23,Sub3,0.702005
144,DC2,Zone24,Sub1,0.419136
145,DC2,Zone24,Sub2,0.413264
146,DC2,Zone24,Sub3,0.101973
147,DC2,Zone25,Sub1,0.200886
148,DC2,Zone25,Sub2,0.441409
149,DC2,Zone25,Sub3,0.458633
150,DC3,Zone1,Sub1,0.843748
151,DC3,Zone1,Sub2,0.875998
152,DC3,Zone1,Sub3,0.66884
153,DC3,Zone2,Sub1,0.766769
154,DC3,Zone2,Sub2,0.132544
155,DC3,Zone2,Sub3,0.335415
156,DC3,Zone3,Sub1,0.138684
157,DC3,Zone3,Sub2,0.598227
158,DC3,Zone3,Sub3,0.193442
159,DC3,Zone4,Sub1,0.761072
160,DC3,Zone4,Sub2,0.787126
161,DC3,Zone4,Sub3,0.300709
162,DC3,Zone5,Sub1,0.334836
163,DC3,Zone5,Sub2,0.355802
164,DC3,Zone5,Sub3,0.496781
165,DC3,Zone6,Sub1,0.234641
166,DC3,Zone6,Sub2,0.500601
167,DC3,Zone6,Sub3,0.171738
168,DC3,Zone7,Sub1,0.414419
169,DC3,Zone7,Sub2,0.151528
170,DC3,Zone7,Sub3,0.492803
171,DC3,Zone8,Sub1,0.584537
172,DC3,Zone8,Sub2,0.449424
173,DC3,Zone8,Sub3,0.489324
174,DC3,Zone9,Sub1,0.420934
175,DC3,Zone9,Sub2,0.782075
176,DC3,Zone9,Sub3,0.687213
177,DC3,Zone10,Sub1,0.139466
178,DC3,Zone10,Sub2,0.378195
179,DC3,Zone10,Sub3,0.470347
180,DC3,Zone11,Sub1,0.461459
181,DC3,Zone11,Sub2,0.709614
182,DC3,Zone11,Sub3,0.248372
183,DC3,Zone12,Sub1,0.570386
184,DC3,Zone12,Sub2,0.543745
185,DC3,Zone12,Sub3,0.471319
186,DC3,Zone13,Sub1,0.761528
187,DC3,Zone13,Sub2,0.828796
188,DC3,Zone13,Sub3,0.375976
189,DC3,Zone14,Sub1,0.46315
190,DC3,Zone14,Sub2,0.334748
191,DC3,Zone14,Sub3,0.310403
192,DC3,Zone15,Sub1,0.758854
193,DC3,Zone15,Sub2,0.448261
194,DC3,Zone15,Sub3,0.278744
195,DC3,Zone16,Sub1,0.593429
196,DC3,Zone16,Sub2,0.275002
197,DC3,Zone16,Sub3,0.324781
198,DC3,Zone17,Sub1,0.453269
199,DC3,Zone17,Sub2,0.109355
200,DC3,Zone17,Sub3,0.84174
201,DC3,Zone18,Sub1,0.86069
202,DC3,Zone18,Sub2,0.869717
203,DC3,Zone18,Sub3,0.551397
204,DC3,Zone19,Sub1,0.209597
205,DC3,Zone19,Sub2,0.385489
206,DC3,Zone19,Sub3,0.251198
207,DC3,Zone20,Sub1,0.798746
208,DC3,Zone20,Sub2,0.141175
209,DC3,Zone20,Sub3,0.279664
210,DC3,Zone21,Sub1,0.245012
211,DC3,Zone21,Sub2,0.384081
212,DC3,Zone21,Sub3,0.736294
213,DC3,Zone22,Sub1,0.535249
214,DC3,Zone22,Sub2,0.196094
215,DC3,Zone22,Sub3,0.137825
216,DC3,Zone23,Sub1,0.169639
217,DC3,Zone23,Sub2,0.394076
218,DC3,Zone23,Sub3,0.6952
219,DC3,Zone24,Sub1,0.388578
220,DC3,Zone24,Sub2,0.305192
221,DC3,Zone24,Sub3,0.167615
222,DC3,Zone25,Sub1,0.872447
223,DC3,Zone25,Sub2,0.868622
224,DC3,Zone25,Sub3,0.445401
225,DC4,Zone1,Sub1,0.784208
226,DC4,Zone1,Sub2,0.797402
227,DC4,Zone1,Sub3,0.875472
228,DC4,Zone2,Sub1,0.514656
229,DC4,Zone2,Sub2,0.810627
230,DC4,Zone2,Sub3,0.777578
231,DC4,Zone3,Sub1,0.828781
