,Center,DemandZone,Subsection,CompositeRisk
0,DC1,Zone1,Sub1,0.558623
1,DC1,Zone1,Sub2,0.226601
2,DC1,Zone1,Sub3,0.565235
3,DC1,Zone2,Sub1,0.44816
4,DC1,Zone2,Sub2,0.110322
5,DC1,Zone2,Sub3,0.83536
6,DC1,Zone3,Sub1,0.336882
7,DC1,Zone3,Sub2,0.742929
8,DC1,Zone3,Sub3,0.420843
9,DC1,Zone4,Sub1,0.787053
10,DC1,Zone4,Sub2,0.854457
11,DC1,Zone4,Sub3,0.581587
12,DC1,Zone5,Sub1,0.575555
13,DC1,Zone5,Sub2,0.135352
14,DC1,Zone5,Sub3,0.334195
15,DC1,Zone6,Sub1,0.673846
16,DC1,Zone6,Sub2,0.272872
17,DC1,Zone6,Sub3,0.755047
18,DC1,Zone7,Sub1,0.124578
19,DC1,Zone7,Sub2,0.492305
20,DC1,Zone7,Sub3,0.341048
21,DC1,Zone8,Sub1,0.295251
22,DC1,Zone8,Sub2,0.243735
23,DC1,Zone8,Sub3,0.595007
24,DC1,Zone9,Sub1,0.10917
25,DC1,Zone9,Sub2,0.61528
26,DC1,Zone9,Sub3,0.522967
27,DC1,Zone10,Sub1,0.556209
28,DC1,Zone10,Sub2,0.159029
29,DC1,Zone10,Sub3,0.316108
30,DC1,Zone11,Sub1,0.613384
31,DC1,Zone11,Sub2,0.454523
32,DC1,Zone11,Sub3,0.102263
33,DC1,Zone12,Sub1,0.764437
34,DC1,Zone12,Sub2,0.396623
35,DC1,Zone12,Sub3,0.541489
36,DC1,Zone13,Sub1,0.483846
37,DC1,Zone13,Sub2,0.486816
38,DC1,Zone13,Sub3,0.527999
39,DC1,Zone14,Sub1,0.571672
40,DC1,Zone14,Sub2,0.784335
41,DC1,Zone14,Sub3,0.60397
42,DC1,Zone15,Sub1,0.184805
43,DC1,Zone15,Sub2,0.114271
44,DC1,Zone15,Sub3,0.622868
45,DC1,Zone16,Sub1,0.482713
46,DC1,Zone16,Sub2,0.213091
47,DC1,Zone16,Sub3,0.495042
48,DC1,Zone17,Sub1,0.541917
49,DC1,Zone17,Sub2,0.569358
50,DC1,Zone17,Sub3,0.297911
51,DC1,Zone18,Sub1,0.451811
