,Center,DemandZone,Subsection,CompositeRisk
0,DC1,Zone1,Sub1,0.806857
1,DC1,Zone1,Sub2,0.548249
2,DC1,Zone1,Sub3,0.606664
3,DC1,Zone2,Sub1,0.415596
4,DC1,Zone2,Sub2,0.50977
5,DC1,Zone2,Sub3,0.455327
6,DC1,Zone3,Sub1,0.782411
7,DC1,Zone3,Sub2,0.720238
8,DC1,Zone3,Sub3,0.369937
9,DC1,Zone4,Sub1,0.191731
10,DC1,Zone4,Sub2,0.626022
11,DC1,Zone4,Sub3,0.667273
12,DC1,Zone5,Sub1,0.547961
13,DC1,Zone5,Sub2,0.259114
14,DC1,Zone5,Sub3,0.463648
15,DC1,Zone6,Sub1,0.248623
16,DC1,Zone6,Sub2,0.273783
17,DC1,Zone6,Sub3,0.624799
18,DC1,Zone7,Sub1,0.496522
19,DC1,Zone7,Sub2,0.875534
20,DC1,Zone7,Sub3,0.700486
21,DC1,Zone8,Sub1,0.440742
22,DC1,Zone8,Sub2,0.346949
23,DC1,Zone8,Sub3,0.543597
24,DC1,Zone9,Sub1,0.397472
25,DC1,Zone9,Sub2,0.364535
26,DC1,Zone9,Sub3,0.380966
27,DC1,Zone10,Sub1,0.327331
28,DC1,Zone10,Sub2,0.241648
29,DC1,Zone10,Sub3,0.758851
30,DC1,Zone11,Sub1,0.322224
31,DC1,Zone11,Sub2,0.896755
32,DC1,Zone11,Sub3,0.168969
33,DC1,Zone12,Sub1,0.648057
34,DC1,Zone12,Sub2,0.707706
35,DC1,Zone12,Sub3,0.107525
36,DC1,Zone13,Sub1,0.680113
37,DC1,Zone13,Sub2,0.590688
38,DC1,Zone13,Sub3,0.370576
39,DC1,Zone14,Sub1,0.879748
40,DC1,Zone14,Sub2,0.788306
41,DC1,Zone14,Sub3,0.243633
42,DC1,Zone15,Sub1,0.522152
43,DC1,Zone15,Sub2,0.248492
44,DC1,Zone15,Sub3,0.595385
45,DC1,Zone16,Sub1,0.621425
46,DC1,Zone16,Sub2,0.112673
47,DC1,Zone16,Sub3,0.839012
48,DC1,Zone17,Sub1,0.566953
49,DC1,Zone17,Sub2,0.15091
50,DC1,Zone17,Sub3,0.632878
51,DC1,Zone18,Sub1,0.208828
52,DC1,Zone18,Sub2,0.558702
53,DC1,Zone18,Sub3,0.265331
54,DC1,Zone19,Sub1,0.73657
55,DC1,Zone19,Sub2,0.332959
56,DC1,Zone19,Sub3,0.409949
57,DC1,Zone20,Sub1,0.673662
58,DC1,Zone20,Sub2,0.524277
59,DC1,Zone20,Sub3,0.131275
60,DC1,Zone21,Sub1,0.863418
61,DC1,Zone21,Sub2,0.295062
62,DC1,Zone21,Sub3,0.180797
63,DC1,Zone22,Sub1,0.869084
64,DC1,Zone22,Sub2,0.262193
65,DC1,Zone22,Sub3,0.235278
66,DC1,Zone23,Sub1,0.349758
67,DC1,Zone23,Sub2,0.195975
68,DC1,Zone23,Sub3,0.882541
69,DC1,Zone24,Sub1,0.583302
70,DC1,Zone24,Sub2,0.473023
71,DC1,Zone24,Sub3,0.836532
72,DC1,Zone25,Sub1,0.52745
73,DC1,Zone25,Sub2,0.780947
74,DC1,Zone25,Sub3,0.647807
75,DC2,Zone1,Sub1,0.833959
76,DC2,Zone1,Sub2,0.894999
77,DC2,Zone1,Sub3,0.55753
78,DC2,Zone2,Sub1,0.263015
79,DC2,Zone2,Sub2,0.444069
80,DC2,Zone2,Sub3,0.796853
81,DC2,Zone3,Sub1,0.488023
82,DC2,Zone3,Sub2,0.451663
83,DC2,Zone3,Sub3,0.183405
84,DC2,Zone4,Sub1,0.329746
85,DC2,Zone4,Sub2,0.188447
86,DC2,Zone4,Sub3,0.19987
87,DC2,Zone5,Sub1,0.498171
88,DC2,Zone5,Sub2,0.622475
89,DC2,Zone5,Sub3,0.572451
90,DC2,Zone6,Sub1,0.554983
91,DC2,Zone6,Sub2,0.722878
92,DC2,Zone6,Sub3,0.639317
93,DC2,Zone7,Sub1,0.322194
94,DC2,Zone7,Sub2,0.531676
95,DC2,Zone7,Sub3,0.122044
96,DC2,Zone8,Sub1,0.755367
97,DC2,Zone8,Sub2,0.535937
98,DC2,Zone8,Sub3,0.121809
99,DC2,Zone9,Sub1,0.396341
100,DC2,Zone9,Sub2,0.413857
101,DC2,Zone9,Sub3,0.270863
102,DC2,Zone10,Sub1,0.851961
103,DC2,Zone10,Sub2,0.686504
104,DC2,Zone10,Sub3,0.549557
105,DC2,Zone11,Sub1,0.102758
106,DC2,Zone11,Sub2,0.852736
107,DC2,Zone11,Sub3,0.603342
108,DC2,Zone12,Sub1,0.861987
109,DC2,Zone12,Sub2,0.674041
110,DC2,Zone12,Sub3,0.154875
111,DC2,Zone13,Sub1,0.394289
112,DC2,Zone13,Sub2,0.703517
113,DC2,Zone13,Sub3,0.245593
114,DC2,Zone14,Sub1,0.840479
115,DC2,Zone14,Sub2,0.627284
116,DC2,Zone14,Sub3,0.109447
117,DC2,Zone15,Sub1,0.612155
118,DC2,Zone15,Sub2,0.323408
119,DC2,Zone15,Sub3,0.459222
120,DC2,Zone16,Sub1,0.839826
121,DC2,Zone16,Sub2,0.339183
122,DC2,Zone16,Sub3,0.61163
123,DC2,Zone17,Sub1,0.692994
124,DC2,Zone17,Sub2,0.89901
125,DC2,Zone17,Sub3,0.239219
126,DC2,Zone18,Sub1,0.374038
127,DC2,Zone18,Sub2,0.428657
128,DC2,Zone18,Sub3,0.450106
129,DC2,Zone19,Sub1,0.465242
130,DC2,Zone19,Sub2,0.83248
131,DC2,Zone19,Sub3,0.69885
132,DC2,Zone20,Sub1,0.303897
133,DC2,Zone20,Sub2,0.589434
134,DC2,Zone20,Sub3,0.546333
135,DC2,Zone21,Sub1,0.476068
136,DC2,Zone21,Sub2,0.639811
137,DC2,Zone21,Sub3,0.586429
138,DC2,Zone22,Sub1,0.145738
139,DC2,Zone22,Sub2,0.749645
140,DC2,Zone22,Sub3,0.460703
141,DC2,Zone23,Sub1,0.231862
142,DC2,Zone23,Sub2,0.42996
143,DC2,Zone23,Sub3,0.186932
144,DC2,Zone24,Sub1,0.450172
145,DC2,Zone24,Sub2,0.338699
146,DC2,Zone24,Sub3,0.862428
147,DC2,Zone25,Sub1,0.47492
148,DC2,Zone25,Sub2,0.540878
149,DC2,Zone25,Sub3,0.497525
150,DC3,Zone1,Sub1,0.225212
151,DC3,Zone1,Sub2,0.476889
152,DC3,Zone1,Sub3,0.579035
153,DC3,Zone2,Sub1,0.325088
154,DC3,Zone2,Sub2,0.153581
155,DC3,Zone2,Sub3,0.587757
156,DC3,Zone3,Sub1,0.106141
157,DC3,Zone3,Sub2,0.37861
158,DC3,Zone3,Sub3,0.407056
159,DC3,Zone4,Sub1,0.18668
160,DC3,Zone4,Sub2,0.408545
161,DC3,Zone4,Sub3,0.320891
162,DC3,Zone5,Sub1,0.103395
163,DC3,Zone5,Sub2,0.615957
164,DC3,Zone5,Sub3,0.224384
165,DC3,Zone6,Sub1,0.447065
166,DC3,Zone6,Sub2,0.699638
167,DC3,Zone6,Sub3,0.381194
168,DC3,Zone7,Sub1,0.822149
169,DC3,Zone7,Sub2,0.122798
170,DC3,Zone7,Sub3,0.783353
171,DC3,Zone8,Sub1,0.193822
172,DC3,Zone8,Sub2,0.424876
173,DC3,Zone8,Sub3,0.308418
174,DC3,Zone9,Sub1,0.453277
175,DC3,Zone9,Sub2,0.561672
176,DC3,Zone9,Sub3,0.846434
177,DC3,Zone10,Sub1,0.889343
178,DC3,Zone10,Sub2,0.864388
179,DC3,Zone10,Sub3,0.452129
180,DC3,Zone11,Sub1,0.719687
181,DC3,Zone11,Sub2,0.326692
182,DC3,Zone11,Sub3,0.149793
183,DC3,Zone12,Sub1,0.498619
184,DC3,Zone12,Sub2,0.142958
185,DC3,Zone12,Sub3,0.592795
186,DC3,Zone13,Sub1,0.124441
187,DC3,Zone13,Sub2,0.857441
188,DC3,Zone13,Sub3,0.640524
189,DC3,Zone14,Sub1,0.807617
190,DC3,Zone14,Sub2,0.318178
191,DC3,Zone14,Sub3,0.845099
192,DC3,Zone15,Sub1,0.184627
193,DC3,Zone15,Sub2,0.328198
194,DC3,Zone15,Sub3,0.521641
195,DC3,Zone16,Sub1,0.148714
196,DC3,Zone16,Sub2,0.593703
197,DC3,Zone16,Sub3,0.667433
198,DC3,Zone17,Sub1,0.231774
199,DC3,Zone17,Sub2,0.214117
200,DC3,Zone17,Sub3,0.229992
201,DC3,Zone18,Sub1,0.513202
202,DC3,Zone18,Sub2,0.358236
203,DC3,Zone18,Sub3,0.70448
204,DC3,Zone19,Sub1,0.861359
205,DC3,Zone19,Sub2,0.491645
206,DC3,Zone19,Sub3,0.202644
207,DC3,Zone20,Sub1,0.840901
208,DC3,Zone20,Sub2,0.683954
209,DC3,Zone20,Sub3,0.378639
210,DC3,Zone21,Sub1,0.629984
211,DC3,Zone21,Sub2,0.14699
212,DC3,Zone21,Sub3,0.540738
213,DC3,Zone22,Sub1,0.477643
214,DC3,Zone22,Sub2,0.102624
215,DC3,Zone22,Sub3,0.145558
216,DC3,Zone23,Sub1,0.283272
217,DC3,Zone23,Sub2,0.478093
218,DC3,Zone23,Sub3,0.63845
219,DC3,Zone24,Sub1,0.171899
220,DC3,Zone24,Sub2,0.215486
221,DC3,Zone24,Sub3,0.680977
222,DC3,Zone25,Sub1,0.117155
223,DC3,Zone25,Sub2,0.584882
224,DC3,Zone25,Sub3,0.889195
225,DC4,Zone1,Sub1,0.180678
226,DC4,Zone1,Sub2,0.571056
227,DC4,Zone1,Sub3,0.466892
228,DC4,Zone2,Sub1,0.606873
229,DC4,Zone2,Sub2,0.637176
230,DC4,Zone2,Sub3,0.601841
231,DC4,Zone3,Sub1,0.883471
232,DC4,Zone3,Sub2,0.662133
233,DC4,Zone3,Sub3,0.527983
234,DC4,Zone4,Sub1,0.553036
235,DC4,Zone4,Sub2,0.4582
236,DC4,Zone4,Sub3,0.194335
237,DC4,Zone5,Sub1,0.436782
238,DC4,Zone5,Sub2,0.171699
239,DC4,Zone5,Sub3,0.30108
240,DC4,Zone6,Sub1,0.803667
241,DC4,Zone6,Sub2,0.402088
242,DC4,Zone6,Sub3,0.17046
243,DC4,Zone7,Sub1,0.451247
244,DC4,Zone7,Sub2,0.554167
245,DC4,Zone7,Sub3,0.383072
246,DC4,Zone8,Sub1,0.661245
247,DC4,Zone8,Sub2,0.522693
248,DC4,Zone8,Sub3,0.445865
249,DC4,Zone9,Sub1,0.352093
250,DC4,Zone9,Sub2,0.449282
251,DC4,Zone9,Sub3,0.608488
252,DC4,Zone10,Sub1,0.531443
253,DC4,Zone10,Sub2,0.265107
254,DC4,Zone10,Sub3,0.579394
255,DC4,Zone11,Sub1,0.671175
256,DC4,Zone11,Sub2,0.194816
257,DC4,Zone11,Sub3,0.196199
258,DC4,Zone12,Sub1,0.35988
259,DC4,Zone12,Sub2,0.647676
260,DC4,Zone12,Sub3,0.499493
261,DC4,Zone13,Sub1,0.549175
262,DC4,Zone13,Sub2,0.161646
263,DC4,Zone13,Sub3,0.319327
264,DC4,Zone14,Sub1,0.357232
265,DC4,Zone14,Sub2,0.434338
266,DC4,Zone14,Sub3,0.573474
267,DC4,Zone15,Sub1,0.807616
268,DC4,Zone15,Sub2,0.301292
269,DC4,Zone15,Sub3,0.570046
270,DC4,Zone16,Sub1,0.381506
271,DC4,Zone16,Sub2,0.751144
272,DC4,Zone16,Sub3,0.28247
273,DC4,Zone17,Sub1,0.612144
274,DC4,Zone17,Sub2,0.81882
275,DC4,Zone17,Sub3,0.141487
276,DC4,Zone18,Sub1,0.469335
277,DC4,Zone18,Sub2,0.289243
278,DC4,Zone18,Sub3,0.186019
279,DC4,Zone19,Sub1,0.129704
280,DC4,Zone19,Sub2,0.404214
281,DC4,Zone19,Sub3,0.771146
282,DC4,Zone20,Sub1,0.116015
283,DC4,Zone20,Sub2,0.475056
284,DC4,Zone20,Sub3,0.327871
285,DC4,Zone21,Sub1,0.270023
286,DC4,Zone21,Sub2,0.476493
287,DC4,Zone21,Sub3,0.232579
288,DC4,Zone22,Sub1,0.721384
289,DC4,Zone22,Sub2,0.381921
290,DC4,Zone22,Sub3,0.227975
291,DC4,Zone23,Sub1,0.174712
292,DC4,Zone23,Sub2,0.510494
293,DC4,Zone23,Sub3,0.400227
294,DC4,Zone24,Sub1,0.662841
295,DC4,Zone24,Sub2,0.364434
296,DC4,Zone24,Sub3,0.709711
