,Center,DemandZone,Subsection,TollCost
0,DC1,Zone1,Sub1,0
1,DC1,Zone1,Sub2,0
2,DC1,Zone1,Sub3,7847
3,DC1,Zone2,Sub1,1857
4,DC1,Zone2,Sub2,3532
5,DC1,Zone2,Sub3,2419
6,DC1,Zone3,Sub1,2364
7,DC1,Zone3,Sub2,0
8,DC1,Zone3,Sub3,2314
9,DC1,Zone4,Sub1,0
10,DC1,Zone4,Sub2,2721
11,DC1,Zone4,Sub3,2806
12,DC1,Zone5,Sub1,5790
13,DC1,Zone5,Sub2,7993
14,DC1,Zone5,Sub3,7805
15,DC1,Zone6,Sub1,5821
16,DC1,Zone6,Sub2,2212
17,DC1,Zone6,Sub3,0
18,DC1,Zone7,Sub1,2651
19,DC1,Zone7,Sub2,1573
20,DC1,Zone7,Sub3,1340
21,DC1,Zone8,Sub1,470
22,DC1,Zone8,Sub2,657
23,DC1,Zone8,Sub3,0
24,DC1,Zone9,Sub1,578
25,DC1,Zone9,Sub2,879
26,DC1,Zone9,Sub3,0
27,DC1,Zone10,Sub1,0
28,DC1,Zone10,Sub2,0
29,DC1,Zone10,Sub3,1837
30,DC1,Zone11,Sub1,8765
31,DC1,Zone11,Sub2,10394
32,DC1,Zone11,Sub3,4266
33,DC1,Zone12,Sub1,2084
34,DC1,Zone12,Sub2,2056
35,DC1,Zone12,Sub3,4873
36,DC1,Zone13,Sub1,3637
37,DC1,Zone13,Sub2,7090
38,DC1,Zone13,Sub3,0
39,DC1,Zone14,Sub1,2421
40,DC1,Zone14,Sub2,2399
41,DC1,Zone14,Sub3,3084
42,DC1,Zone15,Sub1,2868
43,DC1,Zone15,Sub2,6228
44,DC1,Zone15,Sub3,3171
45,DC1,Zone16,Sub1,6825
46,DC1,Zone16,Sub2,8842
47,DC1,Zone16,Sub3,8514
48,DC1,Zone17,Sub1,7967
49,DC1,Zone17,Sub2,6013
50,DC1,Zone17,Sub3,5660
51,DC1,Zone18,Sub1,0
52,DC1,Zone18,Sub2,5375
53,DC1,Zone18,Sub3,1770
54,DC1,Zone19,Sub1,4941
55,DC1,Zone19,Sub2,9686
56,DC1,Zone19,Sub3,9280
57,DC1,Zone20,Sub1,2728
58,DC1,Zone20,Sub2,4099
59,DC1,Zone20,Sub3,2535
60,DC1,Zone21,Sub1,6035
61,DC1,Zone21,Sub2,0
62,DC1,Zone21,Sub3,2853
63,DC1,Zone22,Sub1,0
64,DC1,Zone22,Sub2,8270
65,DC1,Zone22,Sub3,6908
66,DC1,Zone23,Sub1,3049
67,DC1,Zone23,Sub2,3633
68,DC1,Zone23,Sub3,1801
69,DC1,Zone24,Sub1,3018
70,DC1,Zone24,Sub2,0
71,DC1,Zone24,Sub3,2105
72,DC1,Zone25,Sub1,7128
73,DC1,Zone25,Sub2,3120
74,DC1,Zone25,Sub3,3428
75,DC2,Zone1,Sub1,0
76,DC2,Zone1,Sub2,4924
77,DC2,Zone1,Sub3,5262
78,DC2,Zone2,Sub1,9003
79,DC2,Zone2,Sub2,6822
80,DC2,Zone2,Sub3,9292
81,DC2,Zone3,Sub1,4997
82,DC2,Zone3,Sub2,4339
83,DC2,Zone3,Sub3,3960
84,DC2,Zone4,Sub1,9421
85,DC2,Zone4,Sub2,0
86,DC2,Zone4,Sub3,0
87,DC2,Zone5,Sub1,6179
88,DC2,Zone5,Sub2,1864
89,DC2,Zone5,Sub3,0
90,DC2,Zone6,Sub1,6080
91,DC2,Zone6,Sub2,4474
92,DC2,Zone6,Sub3,6307
93,DC2,Zone7,Sub1,3286
94,DC2,Zone7,Sub2,4683
95,DC2,Zone7,Sub3,4494
96,DC2,Zone8,Sub1,3978
97,DC2,Zone8,Sub2,10541
98,DC2,Zone8,Sub3,10655
99,DC2,Zone9,Sub1,10633
100,DC2,Zone9,Sub2,6408
101,DC2,Zone9,Sub3,9764
102,DC2,Zone10,Sub1,5317
103,DC2,Zone10,Sub2,1981
104,DC2,Zone10,Sub3,0
105,DC2,Zone11,Sub1,1146
106,DC2,Zone11,Sub2,1080
107,DC2,Zone11,Sub3,962
108,DC2,Zone12,Sub1,1739
109,DC2,Zone12,Sub2,0
110,DC2,Zone12,Sub3,2117
