,Center,DemandZone,Subsection,TollCost
0,DC1,Zone1,Sub1,6668
1,DC1,Zone1,Sub2,3700
2,DC1,Zone1,Sub3,0
3,DC1,Zone2,Sub1,2743
4,DC1,Zone2,Sub2,4005
5,DC1,Zone2,Sub3,6414
6,DC1,Zone3,Sub1,2573
7,DC1,Zone3,Sub2,2094
8,DC1,Zone3,Sub3,1469
9,DC1,Zone4,Sub1,1462
10,DC1,Zone4,Sub2,1346
11,DC1,Zone4,Sub3,2144
12,DC1,Zone5,Sub1,7135
13,DC1,Zone5,Sub2,13055
14,DC1,Zone5,Sub3,0
15,DC1,Zone6,Sub1,2465
16,DC1,Zone6,Sub2,2599
17,DC1,Zone6,Sub3,0
18,DC1,Zone7,Sub1,7322
19,DC1,Zone7,Sub2,4718
20,DC1,Zone7,Sub3,0
21,DC1,Zone8,Sub1,3287
22,DC1,Zone8,Sub2,0
23,DC1,Zone8,Sub3,1334
24,DC1,Zone9,Sub1,0
25,DC1,Zone9,Sub2,4125
26,DC1,Zone9,Sub3,3497
27,DC1,Zone10,Sub1,1659
28,DC1,Zone10,Sub2,716
29,DC1,Zone10,Sub3,1401
30,DC1,Zone11,Sub1,3046
31,DC1,Zone11,Sub2,0
32,DC1,Zone11,Sub3,4055
33,DC1,Zone12,Sub1,2843
34,DC1,Zone12,Sub2,3682
35,DC1,Zone12,Sub3,0
36,DC1,Zone13,Sub1,1026
37,DC1,Zone13,Sub2,2243
38,DC1,Zone13,Sub3,2962
39,DC1,Zone14,Sub1,10943
40,DC1,Zone14,Sub2,0
41,DC1,Zone14,Sub3,8707
42,DC1,Zone15,Sub1,7009
43,DC1,Zone15,Sub2,4606
44,DC1,Zone15,Sub3,0
45,DC1,Zone16,Sub1,3121
46,DC1,Zone16,Sub2,1387
47,DC1,Zone16,Sub3,0
48,DC1,Zone17,Sub1,1844
49,DC1,Zone17,Sub2,2616
50,DC1,Zone17,Sub3,0
51,DC1,Zone18,Sub1,3011
52,DC1,Zone18,Sub2,1486
53,DC1,Zone18,Sub3,2870
54,DC1,Zone19,Sub1,0
55,DC1,Zone19,Sub2,2424
56,DC1,Zone19,Sub3,4031
57,DC1,Zone20,Sub1,0
58,DC1,Zone20,Sub2,1760
59,DC1,Zone20,Sub3,0
60,DC1,Zone21,Sub1,3299
61,DC1,Zone21,Sub2,4005
62,DC1,Zone21,Sub3,3316
63,DC1,Zone22,Sub1,3443
64,DC1,Zone22,Sub2,1816
65,DC1,Zone22,Sub3,3663
66,DC1,Zone23,Sub1,4073
67,DC1,Zone23,Sub2,5918
68,DC1,Zone23,Sub3,8170
69,DC1,Zone24,Sub1,1461
70,DC1,Zone24,Sub2,0
71,DC1,Zone24,Sub3,1804
72,DC1,Zone25,Sub1,6830
73,DC1,Zone25,Sub2,6822
74,DC1,Zone25,Sub3,5614
75,DC2,Zone1,Sub1,0
76,DC2,Zone1,Sub2,0
77,DC2,Zone1,Sub3,0
78,DC2,Zone2,Sub1,3561
79,DC2,Zone2,Sub2,11896
80,DC2,Zone2,Sub3,5411
81,DC2,Zone3,Sub1,5590
82,DC2,Zone3,Sub2,3914
83,DC2,Zone3,Sub3,2447
84,DC2,Zone4,Sub1,2412
85,DC2,Zone4,Sub2,3921
86,DC2,Zone4,Sub3,2758
87,DC2,Zone5,Sub1,0
88,DC2,Zone5,Sub2,0
89,DC2,Zone5,Sub3,6707
90,DC2,Zone6,Sub1,1549
91,DC2,Zone6,Sub2,2606
92,DC2,Zone6,Sub3,3387
93,DC2,Zone7,Sub1,2620
94,DC2,Zone7,Sub2,2027
95,DC2,Zone7,Sub3,2277
96,DC2,Zone8,Sub1,4957
97,DC2,Zone8,Sub2,3886
98,DC2,Zone8,Sub3,0
99,DC2,Zone9,Sub1,0
100,DC2,Zone9,Sub2,441
101,DC2,Zone9,Sub3,977
102,DC2,Zone10,Sub1,1260
103,DC2,Zone10,Sub2,2910
104,DC2,Zone10,Sub3,0
105,DC2,Zone11,Sub1,2111
106,DC2,Zone11,Sub2,0
107,DC2,Zone11,Sub3,1191
108,DC2,Zone12,Sub1,0
109,DC2,Zone12,Sub2,7967
110,DC2,Zone12,Sub3,6819
111,DC2,Zone13,Sub1,2080
112,DC2,Zone13,Sub2,4636
113,DC2,Zone13,Sub3,1976
114,DC2,Zone14,Sub1,1381
115,DC2,Zone14,Sub2,1402
116,DC2,Zone14,Sub3,1078
117,DC2,Zone15,Sub1,709
118,DC2,Zone15,Sub2,1183
