,Center,DemandZone,Subsection,TollCost
0,DC1,Zone1,Sub1,0
1,DC1,Zone1,Sub2,3904
2,DC1,Zone1,Sub3,0
3,DC1,Zone2,Sub1,10278
4,DC1,Zone2,Sub2,9599
5,DC1,Zone2,Sub3,4646
6,DC1,Zone3,Sub1,0
7,DC1,Zone3,Sub2,12288
8,DC1,Zone3,Sub3,11105
9,DC1,Zone4,Sub1,965
10,DC1,Zone4,Sub2,1088
11,DC1,Zone4,Sub3,1049
12,DC1,Zone5,Sub1,3074
13,DC1,Zone5,Sub2,0
14,DC1,Zone5,Sub3,2012
15,DC1,Zone6,Sub1,2303
16,DC1,Zone6,Sub2,3145
17,DC1,Zone6,Sub3,4064
18,DC1,Zone7,Sub1,6317
19,DC1,Zone7,Sub2,4545
20,DC1,Zone7,Sub3,8298
21,DC1,Zone8,Sub1,5540
22,DC1,Zone8,Sub2,0
23,DC1,Zone8,Sub3,0
24,DC1,Zone9,Sub1,0
25,DC1,Zone9,Sub2,7569
26,DC1,Zone9,Sub3,0
27,DC1,Zone10,Sub1,4845
28,DC1,Zone10,Sub2,6897
29,DC1,Zone10,Sub3,3497
30,DC1,Zone11,Sub1,2225
31,DC1,Zone11,Sub2,0
32,DC1,Zone11,Sub3,2734
33,DC1,Zone12,Sub1,0
34,DC1,Zone12,Sub2,0
35,DC1,Zone12,Sub3,4654
36,DC1,Zone13,Sub1,0
37,DC1,Zone13,Sub2,3467
38,DC1,Zone13,Sub3,0
39,DC1,Zone14,Sub1,2094
40,DC1,Zone14,Sub2,3731
41,DC1,Zone14,Sub3,2127
42,DC1,Zone15,Sub1,0
43,DC1,Zone15,Sub2,0
44,DC1,Zone15,Sub3,2863
45,DC1,Zone16,Sub1,0
46,DC1,Zone16,Sub2,2191
47,DC1,Zone16,Sub3,1073
48,DC1,Zone17,Sub1,3745
49,DC1,Zone17,Sub2,3720
50,DC1,Zone17,Sub3,11205
51,DC1,Zone18,Sub1,0
52,DC1,Zone18,Sub2,0
53,DC1,Zone18,Sub3,6478
54,DC1,Zone19,Sub1,1176
55,DC1,Zone19,Sub2,908
56,DC1,Zone19,Sub3,1024
57,DC1,Zone20,Sub1,3086
58,DC1,Zone20,Sub2,6297
59,DC1,Zone20,Sub3,0
60,DC1,Zone21,Sub1,3870
61,DC1,Zone21,Sub2,6070
62,DC1,Zone21,Sub3,9101
63,DC1,Zone22,Sub1,7538
64,DC1,Zone22,Sub2,3285
65,DC1,Zone22,Sub3,5014
66,DC1,Zone23,Sub1,8285
67,DC1,Zone23,Sub2,6296
68,DC1,Zone23,Sub3,0
69,DC1,Zone24,Sub1,1593
70,DC1,Zone24,Sub2,2566
71,DC1,Zone24,Sub3,2837
72,DC1,Zone25,Sub1,4673
73,DC1,Zone25,Sub2,6562
74,DC1,Zone25,Sub3,3821
75,DC2,Zone1,Sub1,1079
76,DC2,Zone1,Sub2,1683
77,DC2,Zone1,Sub3,1674
78,DC2,Zone2,Sub1,10554
79,DC2,Zone2,Sub2,4064
80,DC2,Zone2,Sub3,4104
81,DC2,Zone3,Sub1,2625
82,DC2,Zone3,Sub2,6617
83,DC2,Zone3,Sub3,0
84,DC2,Zone4,Sub1,0
85,DC2,Zone4,Sub2,6734
86,DC2,Zone4,Sub3,6763
87,DC2,Zone5,Sub1,5163
88,DC2,Zone5,Sub2,2457
89,DC2,Zone5,Sub3,2565
90,DC2,Zone6,Sub1,1106
91,DC2,Zone6,Sub2,1043
92,DC2,Zone6,Sub3,486
93,DC2,Zone7,Sub1,2910
94,DC2,Zone7,Sub2,3463
