,Center,DemandZone,Subsection,TollCost
0,DC1,Zone1,Sub1,3522
1,DC1,Zone1,Sub2,5708
2,DC1,Zone1,Sub3,6157
3,DC1,Zone2,Sub1,2241
4,DC1,Zone2,Sub2,810
5,DC1,Zone2,Sub3,1319
6,DC1,Zone3,Sub1,0
7,DC1,Zone3,Sub2,6777
8,DC1,Zone3,Sub3,3889
9,DC1,Zone4,Sub1,1126
10,DC1,Zone4,Sub2,438
11,DC1,Zone4,Sub3,1026
12,DC1,Zone5,Sub1,4533
13,DC1,Zone5,Sub2,3209
14,DC1,Zone5,Sub3,4596
15,DC1,Zone6,Sub1,3461
16,DC1,Zone6,Sub2,1930
17,DC1,Zone6,Sub3,4369
18,DC1,Zone7,Sub1,0
19,DC1,Zone7,Sub2,1411
20,DC1,Zone7,Sub3,1828
21,DC1,Zone8,Sub1,5504
22,DC1,Zone8,Sub2,2413
23,DC1,Zone8,Sub3,4688
24,DC1,Zone9,Sub1,10129
25,DC1,Zone9,Sub2,0
26,DC1,Zone9,Sub3,0
27,DC1,Zone10,Sub1,6393
28,DC1,Zone10,Sub2,5258
29,DC1,Zone10,Sub3,7308
30,DC1,Zone11,Sub1,3952
31,DC1,Zone11,Sub2,4415
32,DC1,Zone11,Sub3,2078
33,DC1,Zone12,Sub1,3505
34,DC1,Zone12,Sub2,5498
35,DC1,Zone12,Sub3,2669
36,DC1,Zone13,Sub1,4265
37,DC1,Zone13,Sub2,10026
38,DC1,Zone13,Sub3,10126
39,DC1,Zone14,Sub1,9990
40,DC1,Zone14,Sub2,7122
41,DC1,Zone14,Sub3,9400
42,DC1,Zone15,Sub1,0
43,DC1,Zone15,Sub2,1355
44,DC1,Zone15,Sub3,2485
45,DC1,Zone16,Sub1,0
46,DC1,Zone16,Sub2,9282
47,DC1,Zone16,Sub3,5476
48,DC1,Zone17,Sub1,5090
49,DC1,Zone17,Sub2,6712
50,DC1,Zone17,Sub3,0
51,DC1,Zone18,Sub1,0
52,DC1,Zone18,Sub2,1996
53,DC1,Zone18,Sub3,0
54,DC1,Zone19,Sub1,3968
55,DC1,Zone19,Sub2,4666
56,DC1,Zone19,Sub3,11268
57,DC1,Zone20,Sub1,4141
58,DC1,Zone20,Sub2,6371
59,DC1,Zone20,Sub3,2994
60,DC1,Zone21,Sub1,1829
61,DC1,Zone21,Sub2,744
62,DC1,Zone21,Sub3,1573
63,DC1,Zone22,Sub1,5358
64,DC1,Zone22,Sub2,7168
65,DC1,Zone22,Sub3,0
66,DC1,Zone23,Sub1,3274
67,DC1,Zone23,Sub2,3674
68,DC1,Zone23,Sub3,5947
69,DC1,Zone24,Sub1,3882
70,DC1,Zone24,Sub2,4670
71,DC1,Zone24,Sub3,7287
72,DC1,Zone25,Sub1,6873
73,DC1,Zone25,Sub2,4736
74,DC1,Zone25,Sub3,7271
75,DC2,Zone1,Sub1,1515
76,DC2,Zone1,Sub2,0
77,DC2,Zone1,Sub3,3285
78,DC2,Zone2,Sub1,2153
79,DC2,Zone2,Sub2,2523
80,DC2,Zone2,Sub3,4773
81,DC2,Zone3,Sub1,8330
82,DC2,Zone3,Sub2,3264
83,DC2,Zone3,Sub3,2713
84,DC2,Zone4,Sub1,0
85,DC2,Zone4,Sub2,5012
86,DC2,Zone4,Sub3,2694
87,DC2,Zone5,Sub1,7772
88,DC2,Zone5,Sub2,5637
89,DC2,Zone5,Sub3,4336
90,DC2,Zone6,Sub1,0
91,DC2,Zone6,Sub2,0
92,DC2,Zone6,Sub3,5597
93,DC2,Zone7,Sub1,5011
94,DC2,Zone7,Sub2,0
95,DC2,Zone7,Sub3,5602
96,DC2,Zone8,Sub1,1654
97,DC2,Zone8,Sub2,0
98,DC2,Zone8,Sub3,0
99,DC2,Zone9,Sub1,6705
100,DC2,Zone9,Sub2,4549
101,DC2,Zone9,Sub3,3960
102,DC2,Zone10,Sub1,1969
103,DC2,Zone10,Sub2,2502
104,DC2,Zone10,Sub3,3224
105,DC2,Zone11,Sub1,6917
106,DC2,Zone11,Sub2,0
107,DC2,Zone11,Sub3,0
108,DC2,Zone12,Sub1,0
109,DC2,Zone12,Sub2,4709
110,DC2,Zone12,Sub3,2397
111,DC2,Zone13,Sub1,0
112,DC2,Zone13,Sub2,7361
113,DC2,Zone13,Sub3,11272
114,DC2,Zone14,Sub1,5209
115,DC2,Zone14,Sub2,8776
116,DC2,Zone14,Sub3,12189
117,DC2,Zone15,Sub1,0
118,DC2,Zone15,Sub2,680
119,DC2,Zone15,Sub3,0
120,DC2,Zone16,Sub1,2071
121,DC2,Zone16,Sub2,4048
122,DC2,Zone16,Sub3,5088
123,DC2,Zone17,Sub1,5469
124,DC2,Zone17,Sub2,4131
125,DC2,Zone17,Sub3,0
126,DC2,Zone18,Sub1,4449
127,DC2,Zone18,Sub2,5203
128,DC2,Zone18,Sub3,3525
129,DC2,Zone19,Sub1,7922
130,DC2,Zone19,Sub2,0
131,DC2,Zone19,Sub3,8644
132,DC2,Zone20,Sub1,0
133,DC2,Zone20,Sub2,11120
134,DC2,Zone20,Sub3,4772
135,DC2,Zone21,Sub1,2297
136,DC2,Zone21,Sub2,1310
137,DC2,Zone21,Sub3,2093
138,DC2,Zone22,Sub1,0
139,DC2,Zone22,Sub2,3496
140,DC2,Zone22,Sub3,0
141,DC2,Zone23,Sub1,3287
142,DC2,Zone23,Sub2,6246
143,DC2,Zone23,Sub3,0
144,DC2,Zone24,Sub1,0
145,DC2,Zone24,Sub2,4982
146,DC2,Zone24,Sub3,0
147,DC2,Zone25,Sub1,9145
148,DC2,Zone25,Sub2,8458
149,DC2,Zone25,Sub3,9729
150,DC3,Zone1,Sub1,6639
151,DC3,Zone1,Sub2,4857
152,DC3,Zone1,Sub3,3361
153,DC3,Zone2,Sub1,3029
154,DC3,Zone2,Sub2,0
155,DC3,Zone2,Sub3,3216
156,DC3,Zone3,Sub1,11098
157,DC3,Zone3,Sub2,0
158,DC3,Zone3,Sub3,9775
159,DC3,Zone4,Sub1,5338
160,DC3,Zone4,Sub2,6727
161,DC3,Zone4,Sub3,3639
162,DC3,Zone5,Sub1,1038
163,DC3,Zone5,Sub2,0
164,DC3,Zone5,Sub3,1718
165,DC3,Zone6,Sub1,0
166,DC3,Zone6,Sub2,4227
167,DC3,Zone6,Sub3,4534
168,DC3,Zone7,Sub1,1149
169,DC3,Zone7,Sub2,0
170,DC3,Zone7,Sub3,1151
171,DC3,Zone8,Sub1,874
172,DC3,Zone8,Sub2,840
173,DC3,Zone8,Sub3,0
174,DC3,Zone9,Sub1,1727
175,DC3,Zone9,Sub2,1429
176,DC3,Zone9,Sub3,0
177,DC3,Zone10,Sub1,6695
178,DC3,Zone10,Sub2,9661
179,DC3,Zone10,Sub3,4038
180,DC3,Zone11,Sub1,6687
181,DC3,Zone11,Sub2,3759
182,DC3,Zone11,Sub3,4553
183,DC3,Zone12,Sub1,3953
184,DC3,Zone12,Sub2,3733
185,DC3,Zone12,Sub3,5522
186,DC3,Zone13,Sub1,0
187,DC3,Zone13,Sub2,7391
188,DC3,Zone13,Sub3,7667
189,DC3,Zone14,Sub1,2938
190,DC3,Zone14,Sub2,2415
191,DC3,Zone14,Sub3,3120
192,DC3,Zone15,Sub1,5621
193,DC3,Zone15,Sub2,5621
194,DC3,Zone15,Sub3,4808
