,Center,DemandZone,Subsection,TollCost
0,DC1,Zone1,Sub1,8271
1,DC1,Zone1,Sub2,0
2,DC1,Zone1,Sub3,8184
3,DC1,Zone2,Sub1,4657
4,DC1,Zone2,Sub2,5720
5,DC1,Zone2,Sub3,3765
6,DC1,Zone3,Sub1,2071
7,DC1,Zone3,Sub2,2501
8,DC1,Zone3,Sub3,1821
9,DC1,Zone4,Sub1,0
10,DC1,Zone4,Sub2,5956
11,DC1,Zone4,Sub3,0
12,DC1,Zone5,Sub1,5999
13,DC1,Zone5,Sub2,9222
14,DC1,Zone5,Sub3,9676
15,DC1,Zone6,Sub1,2739
16,DC1,Zone6,Sub2,0
17,DC1,Zone6,Sub3,6560
18,DC1,Zone7,Sub1,1926
19,DC1,Zone7,Sub2,3928
20,DC1,Zone7,Sub3,4724
21,DC1,Zone8,Sub1,0
22,DC1,Zone8,Sub2,3351
23,DC1,Zone8,Sub3,0
24,DC1,Zone9,Sub1,0
25,DC1,Zone9,Sub2,3794
26,DC1,Zone9,Sub3,0
27,DC1,Zone10,Sub1,394
28,DC1,Zone10,Sub2,789
29,DC1,Zone10,Sub3,1009
30,DC1,Zone11,Sub1,5839
31,DC1,Zone11,Sub2,3689
32,DC1,Zone11,Sub3,4802
33,DC1,Zone12,Sub1,0
34,DC1,Zone12,Sub2,4127
35,DC1,Zone12,Sub3,9409
36,DC1,Zone13,Sub1,2613
37,DC1,Zone13,Sub2,2973
38,DC1,Zone13,Sub3,0
39,DC1,Zone14,Sub1,3942
40,DC1,Zone14,Sub2,0
41,DC1,Zone14,Sub3,4218
42,DC1,Zone15,Sub1,5012
43,DC1,Zone15,Sub2,0
44,DC1,Zone15,Sub3,4233
45,DC1,Zone16,Sub1,1561
46,DC1,Zone16,Sub2,768
47,DC1,Zone16,Sub3,1958
48,DC1,Zone17,Sub1,0
49,DC1,Zone17,Sub2,9117
50,DC1,Zone17,Sub3,4218
51,DC1,Zone18,Sub1,5432
52,DC1,Zone18,Sub2,0
53,DC1,Zone18,Sub3,9217
54,DC1,Zone19,Sub1,3910
55,DC1,Zone19,Sub2,5095
56,DC1,Zone19,Sub3,0
57,DC1,Zone20,Sub1,9605
58,DC1,Zone20,Sub2,7847
59,DC1,Zone20,Sub3,9729
60,DC1,Zone21,Sub1,4328
61,DC1,Zone21,Sub2,1434
62,DC1,Zone21,Sub3,1274
63,DC1,Zone22,Sub1,3774
64,DC1,Zone22,Sub2,5790
65,DC1,Zone22,Sub3,3115
66,DC1,Zone23,Sub1,4806
67,DC1,Zone23,Sub2,0
68,DC1,Zone23,Sub3,8605
69,DC1,Zone24,Sub1,0
70,DC1,Zone24,Sub2,6401
71,DC1,Zone24,Sub3,5033
72,DC1,Zone25,Sub1,0
73,DC1,Zone25,Sub2,4354
74,DC1,Zone25,Sub3,6445
75,DC2,Zone1,Sub1,0
76,DC2,Zone1,Sub2,5678
77,DC2,Zone1,Sub3,0
78,DC2,Zone2,Sub1,4670
79,DC2,Zone2,Sub2,0
80,DC2,Zone2,Sub3,3391
81,DC2,Zone3,Sub1,2903
82,DC2,Zone3,Sub2,1965
83,DC2,Zone3,Sub3,0
84,DC2,Zone4,Sub1,3303
85,DC2,Zone4,Sub2,0
86,DC2,Zone4,Sub3,4431
87,DC2,Zone5,Sub1,6292
88,DC2,Zone5,Sub2,6664
89,DC2,Zone5,Sub3,6332
90,DC2,Zone6,Sub1,1048
91,DC2,Zone6,Sub2,1529
92,DC2,Zone6,Sub3,2983
93,DC2,Zone7,Sub1,8626
94,DC2,Zone7,Sub2,8364
95,DC2,Zone7,Sub3,3885
96,DC2,Zone8,Sub1,2606
97,DC2,Zone8,Sub2,4012
98,DC2,Zone8,Sub3,2013
99,DC2,Zone9,Sub1,0
100,DC2,Zone9,Sub2,3262
101,DC2,Zone9,Sub3,2580
102,DC2,Zone10,Sub1,0
103,DC2,Zone10,Sub2,1731
104,DC2,Zone10,Sub3,0
105,DC2,Zone11,Sub1,3169
106,DC2,Zone11,Sub2,4636
107,DC2,Zone11,Sub3,2498
108,DC2,Zone12,Sub1,4374
109,DC2,Zone12,Sub2,4387
110,DC2,Zone12,Sub3,1891
111,DC2,Zone13,Sub1,0
112,DC2,Zone13,Sub2,0
113,DC2,Zone13,Sub3,4482
114,DC2,Zone14,Sub1,3521
115,DC2,Zone14,Sub2,2626
116,DC2,Zone14,Sub3,2790
117,DC2,Zone15,Sub1,5179
118,DC2,Zone15,Sub2,8809
119,DC2,Zone15,Sub3,11969
120,DC2,Zone16,Sub1,0
121,DC2,Zone16,Sub2,852
122,DC2,Zone16,Sub3,1099
123,DC2,Zone17,Sub1,440
124,DC2,Zone17,Sub2,559
125,DC2,Zone17,Sub3,520
126,DC2,Zone18,Sub1,1770
127,DC2,Zone18,Sub2,2631
128,DC2,Zone18,Sub3,1428
129,DC2,Zone19,Sub1,6799
130,DC2,Zone19,Sub2,5358
131,DC2,Zone19,Sub3,8641
132,DC2,Zone20,Sub1,0
133,DC2,Zone20,Sub2,5065
134,DC2,Zone20,Sub3,0
135,DC2,Zone21,Sub1,5434
136,DC2,Zone21,Sub2,5666
137,DC2,Zone21,Sub3,4130
138,DC2,Zone22,Sub1,0
139,DC2,Zone22,Sub2,803
140,DC2,Zone22,Sub3,0
141,DC2,Zone23,Sub1,744
142,DC2,Zone23,Sub2,806
143,DC2,Zone23,Sub3,0
144,DC2,Zone24,Sub1,4421
145,DC2,Zone24,Sub2,12439
146,DC2,Zone24,Sub3,9223
147,DC2,Zone25,Sub1,2303
148,DC2,Zone25,Sub2,3895
149,DC2,Zone25,Sub3,0
150,DC3,Zone1,Sub1,7797
151,DC3,Zone1,Sub2,6346
152,DC3,Zone1,Sub3,8905
153,DC3,Zone2,Sub1,5350
154,DC3,Zone2,Sub2,3336
155,DC3,Zone2,Sub3,2590
156,DC3,Zone3,Sub1,1516
157,DC3,Zone3,Sub2,1685
158,DC3,Zone3,Sub3,0
159,DC3,Zone4,Sub1,1041
160,DC3,Zone4,Sub2,830
161,DC3,Zone4,Sub3,974
162,DC3,Zone5,Sub1,2158
163,DC3,Zone5,Sub2,2304
164,DC3,Zone5,Sub3,5087
165,DC3,Zone6,Sub1,0
166,DC3,Zone6,Sub2,2409
167,DC3,Zone6,Sub3,0
168,DC3,Zone7,Sub1,0
169,DC3,Zone7,Sub2,6484
170,DC3,Zone7,Sub3,4329
171,DC3,Zone8,Sub1,3205
172,DC3,Zone8,Sub2,1635
173,DC3,Zone8,Sub3,0
174,DC3,Zone9,Sub1,0
175,DC3,Zone9,Sub2,7039
176,DC3,Zone9,Sub3,8398
177,DC3,Zone10,Sub1,4303
178,DC3,Zone10,Sub2,7763
179,DC3,Zone10,Sub3,9132
180,DC3,Zone11,Sub1,522
181,DC3,Zone11,Sub2,1226
182,DC3,Zone11,Sub3,0
183,DC3,Zone12,Sub1,0
184,DC3,Zone12,Sub2,11363
185,DC3,Zone12,Sub3,4066
186,DC3,Zone13,Sub1,2721
187,DC3,Zone13,Sub2,3632
188,DC3,Zone13,Sub3,2432
189,DC3,Zone14,Sub1,10124
190,DC3,Zone14,Sub2,6016
191,DC3,Zone14,Sub3,8971
192,DC3,Zone15,Sub1,677
193,DC3,Zone15,Sub2,1435
194,DC3,Zone15,Sub3,867
195,DC3,Zone16,Sub1,0
196,DC3,Zone16,Sub2,0
197,DC3,Zone16,Sub3,1000
198,DC3,Zone17,Sub1,0
199,DC3,Zone17,Sub2,5151
200,DC3,Zone17,Sub3,2492
201,DC3,Zone18,Sub1,0
202,DC3,Zone18,Sub2,6164
203,DC3,Zone18,Sub3,4398
204,DC3,Zone19,Sub1,3567
205,DC3,Zone19,Sub2,3937
206,DC3,Zone19,Sub3,2948
207,DC3,Zone20,Sub1,747
208,DC3,Zone20,Sub2,1028
209,DC3,Zone20,Sub3,1652
210,DC3,Zone21,Sub1,2506
211,DC3,Zone21,Sub2,5422
212,DC3,Zone21,Sub3,5993
213,DC3,Zone22,Sub1,2154
214,DC3,Zone22,Sub2,1267
215,DC3,Zone22,Sub3,822
216,DC3,Zone23,Sub1,5922
217,DC3,Zone23,Sub2,0
218,DC3,Zone23,Sub3,5179
219,DC3,Zone24,Sub1,4121
220,DC3,Zone24,Sub2,0
221,DC3,Zone24,Sub3,0
222,DC3,Zone25,Sub1,2291
223,DC3,Zone25,Sub2,1615
224,DC3,Zone25,Sub3,1183
225,DC4,Zone1,Sub1,4679
226,DC4,Zone1,Sub2,0
227,DC4,Zone1,Sub3,6160
228,DC4,Zone2,Sub1,5771
229,DC4,Zone2,Sub2,5232
230,DC4,Zone2,Sub3,2269
231,DC4,Zone3,Sub1,4124
232,DC4,Zone3,Sub2,2978
