,Center,DemandZone,Subsection,Distance_km
0,DC1,Zone1,Sub1,1119
1,DC1,Zone1,Sub2,998
2,DC1,Zone1,Sub3,1081
3,DC1,Zone2,Sub1,753
4,DC1,Zone2,Sub2,814
5,DC1,Zone2,Sub3,841
6,DC1,Zone3,Sub1,1621
7,DC1,Zone3,Sub2,1509
8,DC1,Zone3,Sub3,1528
9,DC1,Zone4,Sub1,1425
10,DC1,Zone4,Sub2,1511
11,DC1,Zone4,Sub3,1786
12,DC1,Zone5,Sub1,2472
13,DC1,Zone5,Sub2,2261
14,DC1,Zone5,Sub3,2291
15,DC1,Zone6,Sub1,722
16,DC1,Zone6,Sub2,714
17,DC1,Zone6,Sub3,775
18,DC1,Zone7,Sub1,604
19,DC1,Zone7,Sub2,539
20,DC1,Zone7,Sub3,496
21,DC1,Zone8,Sub1,1211
22,DC1,Zone8,Sub2,1392
23,DC1,Zone8,Sub3,1105
24,DC1,Zone9,Sub1,416
25,DC1,Zone9,Sub2,387
26,DC1,Zone9,Sub3,357
27,DC1,Zone10,Sub1,453
28,DC1,Zone10,Sub2,377
29,DC1,Zone10,Sub3,384
30,DC1,Zone11,Sub1,2237
31,DC1,Zone11,Sub2,2305
32,DC1,Zone11,Sub3,2800
33,DC1,Zone12,Sub1,1718
34,DC1,Zone12,Sub2,1704
35,DC1,Zone12,Sub3,1835
36,DC1,Zone13,Sub1,2153
37,DC1,Zone13,Sub2,2238
38,DC1,Zone13,Sub3,2115
39,DC1,Zone14,Sub1,1943
40,DC1,Zone14,Sub2,1991
41,DC1,Zone14,Sub3,2223
42,DC2,Zone1,Sub1,763
43,DC2,Zone1,Sub2,768
44,DC2,Zone1,Sub3,959
45,DC2,Zone2,Sub1,647
46,DC2,Zone2,Sub2,706
47,DC2,Zone2,Sub3,556
48,DC2,Zone3,Sub1,657
49,DC2,Zone3,Sub2,536
50,DC2,Zone3,Sub3,527
51,DC2,Zone4,Sub1,893
52,DC2,Zone4,Sub2,852
53,DC2,Zone4,Sub3,756
54,DC2,Zone5,Sub1,2188
55,DC2,Zone5,Sub2,2400
56,DC2,Zone5,Sub3,2246
57,DC2,Zone6,Sub1,1853
58,DC2,Zone6,Sub2,1590
59,DC2,Zone6,Sub3,1545
60,DC2,Zone7,Sub1,1531
61,DC2,Zone7,Sub2,2032
62,DC2,Zone7,Sub3,1873
63,DC2,Zone8,Sub1,1137
64,DC2,Zone8,Sub2,1083
65,DC2,Zone8,Sub3,1194
66,DC2,Zone9,Sub1,261
67,DC2,Zone9,Sub2,227
68,DC2,Zone9,Sub3,262
69,DC2,Zone10,Sub1,1909
70,DC2,Zone10,Sub2,2376
71,DC2,Zone10,Sub3,2357
72,DC2,Zone11,Sub1,2470
73,DC2,Zone11,Sub2,2421
74,DC2,Zone11,Sub3,2061
75,DC2,Zone12,Sub1,1388
76,DC2,Zone12,Sub2,1402
77,DC2,Zone12,Sub3,1247
78,DC2,Zone13,Sub1,1311
79,DC2,Zone13,Sub2,1257
80,DC2,Zone13,Sub3,1309
81,DC2,Zone14,Sub1,1188
82,DC2,Zone14,Sub2,1452
83,DC2,Zone14,Sub3,1398
84,DC3,Zone1,Sub1,1678
85,DC3,Zone1,Sub2,2008
86,DC3,Zone1,Sub3,1888
87,DC3,Zone2,Sub1,868
88,DC3,Zone2,Sub2,827
89,DC3,Zone2,Sub3,1045
90,DC3,Zone3,Sub1,1616
91,DC3,Zone3,Sub2,1681
92,DC3,Zone3,Sub3,1754
93,DC3,Zone4,Sub1,2060
94,DC3,Zone4,Sub2,2253
95,DC3,Zone4,Sub3,2261
96,DC3,Zone5,Sub1,1898
97,DC3,Zone5,Sub2,1728
98,DC3,Zone5,Sub3,1925
99,DC3,Zone6,Sub1,2040
100,DC3,Zone6,Sub2,2141
101,DC3,Zone6,Sub3,1970
102,DC3,Zone7,Sub1,1755
103,DC3,Zone7,Sub2,1566
104,DC3,Zone7,Sub3,1618
105,DC3,Zone8,Sub1,386
106,DC3,Zone8,Sub2,428
107,DC3,Zone8,Sub3,394
108,DC3,Zone9,Sub1,1019
109,DC3,Zone9,Sub2,1071
110,DC3,Zone9,Sub3,1236
111,DC3,Zone10,Sub1,495
112,DC3,Zone10,Sub2,423
113,DC3,Zone10,Sub3,428
114,DC3,Zone11,Sub1,1227
115,DC3,Zone11,Sub2,1181
116,DC3,Zone11,Sub3,1427
117,DC3,Zone12,Sub1,1154
118,DC3,Zone12,Sub2,1382
119,DC3,Zone12,Sub3,1307
120,DC3,Zone13,Sub1,2220
121,DC3,Zone13,Sub2,2381
122,DC3,Zone13,Sub3,2659
123,DC3,Zone14,Sub1,1678
124,DC3,Zone14,Sub2,1683
125,DC3,Zone14,Sub3,1993
126,DC4,Zone1,Sub1,1078
127,DC4,Zone1,Sub2,1048
128,DC4,Zone1,Sub3,1011
129,DC4,Zone2,Sub1,1215
130,DC4,Zone2,Sub2,1352
131,DC4,Zone2,Sub3,1142
132,DC4,Zone3,Sub1,1359
133,DC4,Zone3,Sub2,1149
134,DC4,Zone3,Sub3,1367
135,DC4,Zone4,Sub1,438
136,DC4,Zone4,Sub2,429
137,DC4,Zone4,Sub3,372
138,DC4,Zone5,Sub1,2046
139,DC4,Zone5,Sub2,1809
140,DC4,Zone5,Sub3,1722
141,DC4,Zone6,Sub1,321
142,DC4,Zone6,Sub2,313
143,DC4,Zone6,Sub3,346
144,DC4,Zone7,Sub1,309
145,DC4,Zone7,Sub2,280
146,DC4,Zone7,Sub3,313
147,DC4,Zone8,Sub1,2023
148,DC4,Zone8,Sub2,2297
149,DC4,Zone8,Sub3,2124
150,DC4,Zone9,Sub1,2324
151,DC4,Zone9,Sub2,2425
152,DC4,Zone9,Sub3,2452
153,DC4,Zone10,Sub1,484
154,DC4,Zone10,Sub2,553
155,DC4,Zone10,Sub3,518
156,DC4,Zone11,Sub1,1346
157,DC4,Zone11,Sub2,1406
158,DC4,Zone11,Sub3,1292
159,DC4,Zone12,Sub1,1887
160,DC4,Zone12,Sub2,1586
161,DC4,Zone12,Sub3,1952
162,DC4,Zone13,Sub1,787
163,DC4,Zone13,Sub2,766
164,DC4,Zone13,Sub3,850
165,DC4,Zone14,Sub1,1162
166,DC4,Zone14,Sub2,1071
167,DC4,Zone14,Sub3,1326
168,DC5,Zone1,Sub1,1491
169,DC5,Zone1,Sub2,1659
170,DC5,Zone1,Sub3,1725
171,DC5,Zone2,Sub1,1808
172,DC5,Zone2,Sub2,1928
173,DC5,Zone2,Sub3,1542
174,DC5,Zone3,Sub1,878
175,DC5,Zone3,Sub2,944
176,DC5,Zone3,Sub3,1124
177,DC5,Zone4,Sub1,2584
178,DC5,Zone4,Sub2,2627
179,DC5,Zone4,Sub3,2474
180,DC5,Zone5,Sub1,712
181,DC5,Zone5,Sub2,611
182,DC5,Zone5,Sub3,606
183,DC5,Zone6,Sub1,809
