,Center,DemandZone,Subsection,Distance_km
0,DC1,Zone1,Sub1,1312
1,DC1,Zone1,Sub2,1324
2,DC1,Zone1,Sub3,1180
3,DC1,Zone2,Sub1,235
4,DC1,Zone2,Sub2,214
5,DC1,Zone2,Sub3,187
6,DC1,Zone3,Sub1,956
7,DC1,Zone3,Sub2,931
8,DC1,Zone3,Sub3,1054
9,DC1,Zone4,Sub1,1845
10,DC1,Zone4,Sub2,1592
11,DC1,Zone4,Sub3,1898
12,DC1,Zone5,Sub1,901
13,DC1,Zone5,Sub2,935
14,DC1,Zone5,Sub3,1115
15,DC1,Zone6,Sub1,722
16,DC1,Zone6,Sub2,640
17,DC1,Zone6,Sub3,833
18,DC1,Zone7,Sub1,1175
19,DC1,Zone7,Sub2,1029
20,DC1,Zone7,Sub3,1082
21,DC1,Zone8,Sub1,978
22,DC1,Zone8,Sub2,884
23,DC1,Zone8,Sub3,786
24,DC1,Zone9,Sub1,1809
25,DC1,Zone9,Sub2,1935
26,DC1,Zone9,Sub3,1598
27,DC1,Zone10,Sub1,1113
28,DC1,Zone10,Sub2,913
29,DC1,Zone10,Sub3,1104
30,DC1,Zone11,Sub1,2111
31,DC1,Zone11,Sub2,2382
32,DC1,Zone11,Sub3,2376
33,DC1,Zone12,Sub1,1298
34,DC1,Zone12,Sub2,1067
35,DC1,Zone12,Sub3,1274
36,DC1,Zone13,Sub1,353
37,DC1,Zone13,Sub2,278
38,DC1,Zone13,Sub3,363
39,DC1,Zone14,Sub1,1477
40,DC1,Zone14,Sub2,1394
41,DC1,Zone14,Sub3,1373
42,DC2,Zone1,Sub1,1259
43,DC2,Zone1,Sub2,1260
44,DC2,Zone1,Sub3,1031
45,DC2,Zone2,Sub1,1686
46,DC2,Zone2,Sub2,1418
47,DC2,Zone2,Sub3,1596
48,DC2,Zone3,Sub1,490
49,DC2,Zone3,Sub2,514
50,DC2,Zone3,Sub3,555
51,DC2,Zone4,Sub1,1712
52,DC2,Zone4,Sub2,1778
53,DC2,Zone4,Sub3,1620
54,DC2,Zone5,Sub1,531
55,DC2,Zone5,Sub2,470
56,DC2,Zone5,Sub3,566
57,DC2,Zone6,Sub1,1922
58,DC2,Zone6,Sub2,2374
59,DC2,Zone6,Sub3,2396
60,DC2,Zone7,Sub1,1722
61,DC2,Zone7,Sub2,1546
62,DC2,Zone7,Sub3,1809
63,DC2,Zone8,Sub1,1907
64,DC2,Zone8,Sub2,2140
65,DC2,Zone8,Sub3,2173
66,DC2,Zone9,Sub1,380
67,DC2,Zone9,Sub2,378
68,DC2,Zone9,Sub3,346
69,DC2,Zone10,Sub1,2725
70,DC2,Zone10,Sub2,2361
71,DC2,Zone10,Sub3,2321
72,DC2,Zone11,Sub1,2001
73,DC2,Zone11,Sub2,1951
74,DC2,Zone11,Sub3,1649
75,DC2,Zone12,Sub1,320
76,DC2,Zone12,Sub2,295
77,DC2,Zone12,Sub3,328
78,DC2,Zone13,Sub1,1183
79,DC2,Zone13,Sub2,1194
80,DC2,Zone13,Sub3,1415
81,DC2,Zone14,Sub1,701
82,DC2,Zone14,Sub2,619
83,DC2,Zone14,Sub3,784
84,DC3,Zone1,Sub1,1729
85,DC3,Zone1,Sub2,1637
86,DC3,Zone1,Sub3,1452
87,DC3,Zone2,Sub1,1142
88,DC3,Zone2,Sub2,1172
89,DC3,Zone2,Sub3,1302
90,DC3,Zone3,Sub1,1543
91,DC3,Zone3,Sub2,1223
92,DC3,Zone3,Sub3,1357
93,DC3,Zone4,Sub1,1620
94,DC3,Zone4,Sub2,1972
95,DC3,Zone4,Sub3,1745
96,DC3,Zone5,Sub1,682
97,DC3,Zone5,Sub2,667
98,DC3,Zone5,Sub3,736
99,DC3,Zone6,Sub1,1355
100,DC3,Zone6,Sub2,1343
101,DC3,Zone6,Sub3,1266
102,DC3,Zone7,Sub1,980
103,DC3,Zone7,Sub2,1027
104,DC3,Zone7,Sub3,1030
105,DC3,Zone8,Sub1,2199
106,DC3,Zone8,Sub2,1978
107,DC3,Zone8,Sub3,1682
108,DC3,Zone9,Sub1,1605
109,DC3,Zone9,Sub2,1646
110,DC3,Zone9,Sub3,1688
111,DC3,Zone10,Sub1,1486
112,DC3,Zone10,Sub2,1531
113,DC3,Zone10,Sub3,1823
114,DC3,Zone11,Sub1,826
115,DC3,Zone11,Sub2,873
116,DC3,Zone11,Sub3,857
117,DC3,Zone12,Sub1,1974
118,DC3,Zone12,Sub2,2121
119,DC3,Zone12,Sub3,2443
120,DC3,Zone13,Sub1,1976
121,DC3,Zone13,Sub2,2110
122,DC3,Zone13,Sub3,2015
123,DC3,Zone14,Sub1,266
124,DC3,Zone14,Sub2,285
125,DC3,Zone14,Sub3,308
126,DC4,Zone1,Sub1,911
127,DC4,Zone1,Sub2,854
128,DC4,Zone1,Sub3,749
