,Center,DemandZone,Subsection,Distance_km
0,DC1,Zone1,Sub1,270
1,DC1,Zone1,Sub2,286
2,DC1,Zone1,Sub3,309
3,DC1,Zone2,Sub1,1488
4,DC1,Zone2,Sub2,1246
5,DC1,Zone2,Sub3,1190
6,DC1,Zone3,Sub1,1937
7,DC1,Zone3,Sub2,1986
8,DC1,Zone3,Sub3,1553
9,DC1,Zone4,Sub1,1923
10,DC1,Zone4,Sub2,1602
11,DC1,Zone4,Sub3,1837
12,DC1,Zone5,Sub1,2269
13,DC1,Zone5,Sub2,2519
14,DC1,Zone5,Sub3,2497
15,DC1,Zone6,Sub1,2386
16,DC1,Zone6,Sub2,2505
17,DC1,Zone6,Sub3,2129
18,DC1,Zone7,Sub1,524
19,DC1,Zone7,Sub2,434
20,DC1,Zone7,Sub3,465
21,DC1,Zone8,Sub1,311
22,DC1,Zone8,Sub2,313
23,DC1,Zone8,Sub3,243
24,DC1,Zone9,Sub1,880
25,DC1,Zone9,Sub2,879
26,DC1,Zone9,Sub3,1141
27,DC1,Zone10,Sub1,1164
28,DC1,Zone10,Sub2,1075
29,DC1,Zone10,Sub3,1298
30,DC1,Zone11,Sub1,808
31,DC1,Zone11,Sub2,794
32,DC1,Zone11,Sub3,756
33,DC1,Zone12,Sub1,404
34,DC1,Zone12,Sub2,386
35,DC1,Zone12,Sub3,464
36,DC1,Zone13,Sub1,701
37,DC1,Zone13,Sub2,651
38,DC1,Zone13,Sub3,674
39,DC1,Zone14,Sub1,1683
40,DC1,Zone14,Sub2,1792
41,DC1,Zone14,Sub3,1930
42,DC2,Zone1,Sub1,476
43,DC2,Zone1,Sub2,472
44,DC2,Zone1,Sub3,519
45,DC2,Zone2,Sub1,648
46,DC2,Zone2,Sub2,625
47,DC2,Zone2,Sub3,666
48,DC2,Zone3,Sub1,1283
49,DC2,Zone3,Sub2,1007
50,DC2,Zone3,Sub3,1006
51,DC2,Zone4,Sub1,1918
52,DC2,Zone4,Sub2,1713
53,DC2,Zone4,Sub3,1990
54,DC2,Zone5,Sub1,354
55,DC2,Zone5,Sub2,404
56,DC2,Zone5,Sub3,357
57,DC2,Zone6,Sub1,516
58,DC2,Zone6,Sub2,559
59,DC2,Zone6,Sub3,506
60,DC2,Zone7,Sub1,499
61,DC2,Zone7,Sub2,460
62,DC2,Zone7,Sub3,437
63,DC2,Zone8,Sub1,997
64,DC2,Zone8,Sub2,1038
65,DC2,Zone8,Sub3,1056
66,DC2,Zone9,Sub1,1252
67,DC2,Zone9,Sub2,1429
68,DC2,Zone9,Sub3,1628
69,DC2,Zone10,Sub1,2276
70,DC2,Zone10,Sub2,2528
71,DC2,Zone10,Sub3,2119
72,DC2,Zone11,Sub1,1292
73,DC2,Zone11,Sub2,1306
74,DC2,Zone11,Sub3,1210
75,DC2,Zone12,Sub1,1214
76,DC2,Zone12,Sub2,1547
77,DC2,Zone12,Sub3,1311
78,DC2,Zone13,Sub1,2190
79,DC2,Zone13,Sub2,2412
80,DC2,Zone13,Sub3,2699
81,DC2,Zone14,Sub1,1648
82,DC2,Zone14,Sub2,1590
83,DC2,Zone14,Sub3,1837
84,DC3,Zone1,Sub1,664
85,DC3,Zone1,Sub2,778
86,DC3,Zone1,Sub3,871
87,DC3,Zone2,Sub1,2209
88,DC3,Zone2,Sub2,1746
89,DC3,Zone2,Sub3,2014
90,DC3,Zone3,Sub1,774
91,DC3,Zone3,Sub2,752
92,DC3,Zone3,Sub3,794
93,DC3,Zone4,Sub1,429
94,DC3,Zone4,Sub2,486
95,DC3,Zone4,Sub3,460
96,DC3,Zone5,Sub1,1007
97,DC3,Zone5,Sub2,1022
98,DC3,Zone5,Sub3,958
99,DC3,Zone6,Sub1,1424
100,DC3,Zone6,Sub2,1530
101,DC3,Zone6,Sub3,1445
102,DC3,Zone7,Sub1,946
103,DC3,Zone7,Sub2,977
104,DC3,Zone7,Sub3,945
105,DC3,Zone8,Sub1,1837
106,DC3,Zone8,Sub2,1911
107,DC3,Zone8,Sub3,1894
108,DC3,Zone9,Sub1,1191
109,DC3,Zone9,Sub2,1113
110,DC3,Zone9,Sub3,1367
111,DC3,Zone10,Sub1,672
112,DC3,Zone10,Sub2,554
113,DC3,Zone10,Sub3,678
114,DC3,Zone11,Sub1,825
115,DC3,Zone11,Sub2,1082
116,DC3,Zone11,Sub3,903
117,DC3,Zone12,Sub1,2535
118,DC3,Zone12,Sub2,2601
119,DC3,Zone12,Sub3,1998
120,DC3,Zone13,Sub1,288
121,DC3,Zone13,Sub2,233
122,DC3,Zone13,Sub3,228
123,DC3,Zone14,Sub1,1904
124,DC3,Zone14,Sub2,1828
125,DC3,Zone14,Sub3,1572
126,DC4,Zone1,Sub1,1416
127,DC4,Zone1,Sub2,1457
128,DC4,Zone1,Sub3,1380
129,DC4,Zone2,Sub1,1262
130,DC4,Zone2,Sub2,1348
131,DC4,Zone2,Sub3,1213
132,DC4,Zone3,Sub1,630
133,DC4,Zone3,Sub2,657
134,DC4,Zone3,Sub3,665
135,DC4,Zone4,Sub1,1146
136,DC4,Zone4,Sub2,1089
137,DC4,Zone4,Sub3,1232
138,DC4,Zone5,Sub1,264
139,DC4,Zone5,Sub2,265
140,DC4,Zone5,Sub3,250
141,DC4,Zone6,Sub1,1181
142,DC4,Zone6,Sub2,1067
143,DC4,Zone6,Sub3,937
144,DC4,Zone7,Sub1,371
145,DC4,Zone7,Sub2,351
146,DC4,Zone7,Sub3,445
147,DC4,Zone8,Sub1,1586
148,DC4,Zone8,Sub2,1758
149,DC4,Zone8,Sub3,1671
150,DC4,Zone9,Sub1,1528
151,DC4,Zone9,Sub2,1770
152,DC4,Zone9,Sub3,1379
153,DC4,Zone10,Sub1,551
154,DC4,Zone10,Sub2,541
155,DC4,Zone10,Sub3,545
156,DC4,Zone11,Sub1,1102
157,DC4,Zone11,Sub2,982
158,DC4,Zone11,Sub3,906
159,DC4,Zone12,Sub1,862
160,DC4,Zone12,Sub2,849
161,DC4,Zone12,Sub3,815
162,DC4,Zone13,Sub1,1561
163,DC4,Zone13,Sub2,1452
164,DC4,Zone13,Sub3,1607
165,DC4,Zone14,Sub1,2610
166,DC4,Zone14,Sub2,2299
167,DC4,Zone14,Sub3,2754
168,DC5,Zone1,Sub1,1670
169,DC5,Zone1,Sub2,1448
170,DC5,Zone1,Sub3,1611
171,DC5,Zone2,Sub1,303
172,DC5,Zone2,Sub2,346
173,DC5,Zone2,Sub3,337
174,DC5,Zone3,Sub1,1794
175,DC5,Zone3,Sub2,2212
176,DC5,Zone3,Sub3,2150
177,DC5,Zone4,Sub1,509
178,DC5,Zone4,Sub2,543
179,DC5,Zone4,Sub3,541
180,DC5,Zone5,Sub1,1697
181,DC5,Zone5,Sub2,2051
182,DC5,Zone5,Sub3,1572
183,DC5,Zone6,Sub1,2105
184,DC5,Zone6,Sub2,1609
185,DC5,Zone6,Sub3,1951
186,DC5,Zone7,Sub1,2347
187,DC5,Zone7,Sub2,2270
188,DC5,Zone7,Sub3,2414
189,DC5,Zone8,Sub1,2283
190,DC5,Zone8,Sub2,2191
191,DC5,Zone8,Sub3,2079
192,DC5,Zone9,Sub1,1686
193,DC5,Zone9,Sub2,1565
194,DC5,Zone9,Sub3,1409
195,DC5,Zone10,Sub1,2488
196,DC5,Zone10,Sub2,2088
197,DC5,Zone10,Sub3,2157
198,DC5,Zone11,Sub1,414
199,DC5,Zone11,Sub2,312
200,DC5,Zone11,Sub3,394
201,DC5,Zone12,Sub1,222
202,DC5,Zone12,Sub2,214
203,DC5,Zone12,Sub3,214
204,DC5,Zone13,Sub1,1340
205,DC5,Zone13,Sub2,1062
206,DC5,Zone13,Sub3,1191
207,DC5,Zone14,Sub1,482
208,DC5,Zone14,Sub2,460
209,DC5,Zone14,Sub3,490
210,DC6,Zone1,Sub1,1538
211,DC6,Zone1,Sub2,1471
212,DC6,Zone1,Sub3,1915
213,DC6,Zone2,Sub1,1058
214,DC6,Zone2,Sub2,978
215,DC6,Zone2,Sub3,996
216,DC6,Zone3,Sub1,664
217,DC6,Zone3,Sub2,768
218,DC6,Zone3,Sub3,820
219,DC6,Zone4,Sub1,288
220,DC6,Zone4,Sub2,288
221,DC6,Zone4,Sub3,248
222,DC6,Zone5,Sub1,621
223,DC6,Zone5,Sub2,554
224,DC6,Zone5,Sub3,469
225,DC6,Zone6,Sub1,1976
226,DC6,Zone6,Sub2,1746
227,DC6,Zone6,Sub3,1750
228,DC6,Zone7,Sub1,999
229,DC6,Zone7,Sub2,969
230,DC6,Zone7,Sub3,979
231,DC6,Zone8,Sub1,596
232,DC6,Zone8,Sub2,466
233,DC6,Zone8,Sub3,566
234,DC6,Zone9,Sub1,1325
235,DC6,Zone9,Sub2,1078
236,DC6,Zone9,Sub3,1262
237,DC6,Zone10,Sub1,504
238,DC6,Zone10,Sub2,628
239,DC6,Zone10,Sub3,633
240,DC6,Zone11,Sub1,1285
241,DC6,Zone11,Sub2,1143
242,DC6,Zone11,Sub3,1072
243,DC6,Zone12,Sub1,2274
244,DC6,Zone12,Sub2,2380
245,DC6,Zone12,Sub3,2571
246,DC6,Zone13,Sub1,214
247,DC6,Zone13,Sub2,235
248,DC6,Zone13,Sub3,252
249,DC6,Zone14,Sub1,1098
250,DC6,Zone14,Sub2,1190
251,DC6,Zone14,Sub3,1129
