,Center,DemandZone,Subsection,Distance_km
0,DC1,Zone1,Sub1,1239
1,DC1,Zone1,Sub2,1285
2,DC1,Zone1,Sub3,1485
3,DC1,Zone2,Sub1,430
4,DC1,Zone2,Sub2,535
5,DC1,Zone2,Sub3,440
6,DC1,Zone3,Sub1,602
7,DC1,Zone3,Sub2,554
8,DC1,Zone3,Sub3,552
9,DC1,Zone4,Sub1,806
10,DC1,Zone4,Sub2,625
11,DC1,Zone4,Sub3,749
12,DC1,Zone5,Sub1,1473
13,DC1,Zone5,Sub2,1356
14,DC1,Zone5,Sub3,1265
15,DC1,Zone6,Sub1,885
16,DC1,Zone6,Sub2,840
17,DC1,Zone6,Sub3,686
18,DC1,Zone7,Sub1,1483
19,DC1,Zone7,Sub2,1485
20,DC1,Zone7,Sub3,1604
21,DC1,Zone8,Sub1,1229
22,DC1,Zone8,Sub2,1272
23,DC1,Zone8,Sub3,1167
24,DC1,Zone9,Sub1,1009
25,DC1,Zone9,Sub2,1031
26,DC1,Zone9,Sub3,826
27,DC1,Zone10,Sub1,1631
28,DC1,Zone10,Sub2,1537
29,DC1,Zone10,Sub3,1810
30,DC1,Zone11,Sub1,1750
31,DC1,Zone11,Sub2,2003
32,DC1,Zone11,Sub3,1655
33,DC1,Zone12,Sub1,2078
34,DC1,Zone12,Sub2,2283
35,DC1,Zone12,Sub3,2402
36,DC1,Zone13,Sub1,1393
37,DC1,Zone13,Sub2,1387
38,DC1,Zone13,Sub3,1355
39,DC1,Zone14,Sub1,627
40,DC1,Zone14,Sub2,577
41,DC1,Zone14,Sub3,692
42,DC2,Zone1,Sub1,542
43,DC2,Zone1,Sub2,577
44,DC2,Zone1,Sub3,645
45,DC2,Zone2,Sub1,2186
46,DC2,Zone2,Sub2,2075
47,DC2,Zone2,Sub3,2269
48,DC2,Zone3,Sub1,673
49,DC2,Zone3,Sub2,752
50,DC2,Zone3,Sub3,788
51,DC2,Zone4,Sub1,969
52,DC2,Zone4,Sub2,954
53,DC2,Zone4,Sub3,947
54,DC2,Zone5,Sub1,908
55,DC2,Zone5,Sub2,1013
