,Center,DemandZone,Subsection,Distance_km
0,DC1,Zone1,Sub1,1148
1,DC1,Zone1,Sub2,1123
2,DC1,Zone1,Sub3,1163
3,DC1,Zone2,Sub1,1264
4,DC1,Zone2,Sub2,1143
5,DC1,Zone2,Sub3,1183
6,DC1,Zone3,Sub1,1429
7,DC1,Zone3,Sub2,1429
8,DC1,Zone3,Sub3,1563
9,DC1,Zone4,Sub1,2227
10,DC1,Zone4,Sub2,2743
11,DC1,Zone4,Sub3,2548
12,DC1,Zone5,Sub1,2646
13,DC1,Zone5,Sub2,2418
14,DC1,Zone5,Sub3,2296
15,DC1,Zone6,Sub1,954
16,DC1,Zone6,Sub2,901
17,DC1,Zone6,Sub3,1127
18,DC1,Zone7,Sub1,1294
19,DC1,Zone7,Sub2,1441
20,DC1,Zone7,Sub3,1433
21,DC1,Zone8,Sub1,1160
22,DC1,Zone8,Sub2,1251
23,DC1,Zone8,Sub3,1150
24,DC1,Zone9,Sub1,2189
25,DC1,Zone9,Sub2,2340
26,DC1,Zone9,Sub3,2467
27,DC1,Zone10,Sub1,1118
28,DC1,Zone10,Sub2,1191
29,DC1,Zone10,Sub3,1200
30,DC1,Zone11,Sub1,1380
31,DC1,Zone11,Sub2,1248
32,DC1,Zone11,Sub3,1511
33,DC1,Zone12,Sub1,737
34,DC1,Zone12,Sub2,942
35,DC1,Zone12,Sub3,780
36,DC1,Zone13,Sub1,1900
37,DC1,Zone13,Sub2,2091
38,DC1,Zone13,Sub3,2215
39,DC1,Zone14,Sub1,675
40,DC1,Zone14,Sub2,753
41,DC1,Zone14,Sub3,756
42,DC2,Zone1,Sub1,2515
43,DC2,Zone1,Sub2,2189
44,DC2,Zone1,Sub3,2390
45,DC2,Zone2,Sub1,681
46,DC2,Zone2,Sub2,676
47,DC2,Zone2,Sub3,618
48,DC2,Zone3,Sub1,1999
49,DC2,Zone3,Sub2,2266
50,DC2,Zone3,Sub3,2360
51,DC2,Zone4,Sub1,1018
52,DC2,Zone4,Sub2,924
53,DC2,Zone4,Sub3,801
54,DC2,Zone5,Sub1,1743
55,DC2,Zone5,Sub2,1787
56,DC2,Zone5,Sub3,2128
57,DC2,Zone6,Sub1,1532
58,DC2,Zone6,Sub2,1188
59,DC2,Zone6,Sub3,1456
60,DC2,Zone7,Sub1,580
61,DC2,Zone7,Sub2,572
62,DC2,Zone7,Sub3,583
63,DC2,Zone8,Sub1,1998
64,DC2,Zone8,Sub2,2054
65,DC2,Zone8,Sub3,2179
66,DC2,Zone9,Sub1,865
67,DC2,Zone9,Sub2,718
68,DC2,Zone9,Sub3,892
69,DC2,Zone10,Sub1,2074
70,DC2,Zone10,Sub2,2445
71,DC2,Zone10,Sub3,2070
72,DC2,Zone11,Sub1,1633
73,DC2,Zone11,Sub2,1714
74,DC2,Zone11,Sub3,1734
75,DC2,Zone12,Sub1,2345
76,DC2,Zone12,Sub2,1975
77,DC2,Zone12,Sub3,2110
78,DC2,Zone13,Sub1,1846
79,DC2,Zone13,Sub2,1850
80,DC2,Zone13,Sub3,1447
81,DC2,Zone14,Sub1,1671
82,DC2,Zone14,Sub2,1549
83,DC2,Zone14,Sub3,1642
84,DC3,Zone1,Sub1,2192
85,DC3,Zone1,Sub2,2057
86,DC3,Zone1,Sub3,1859
87,DC3,Zone2,Sub1,438
88,DC3,Zone2,Sub2,415
89,DC3,Zone2,Sub3,452
90,DC3,Zone3,Sub1,1100
91,DC3,Zone3,Sub2,1181
92,DC3,Zone3,Sub3,1083
93,DC3,Zone4,Sub1,430
94,DC3,Zone4,Sub2,533
95,DC3,Zone4,Sub3,418
96,DC3,Zone5,Sub1,320
97,DC3,Zone5,Sub2,307
98,DC3,Zone5,Sub3,371
99,DC3,Zone6,Sub1,2139
100,DC3,Zone6,Sub2,2108
101,DC3,Zone6,Sub3,1909
102,DC3,Zone7,Sub1,1169
103,DC3,Zone7,Sub2,1136
104,DC3,Zone7,Sub3,1039
105,DC3,Zone8,Sub1,456
106,DC3,Zone8,Sub2,369
107,DC3,Zone8,Sub3,380
