,Center,DemandZone,Subsection,CompositeRisk
0,DC1,Zone1,Sub1,0.531382
1,DC1,Zone1,Sub2,0.581634
2,DC1,Zone1,Sub3,0.36323
3,DC1,Zone2,Sub1,0.715914
4,DC1,Zone2,Sub2,0.609942
5,DC1,Zone2,Sub3,0.343432
6,DC1,Zone3,Sub1,0.805957
7,DC1,Zone3,Sub2,0.423644
8,DC1,Zone3,Sub3,0.528067
9,DC1,Zone4,Sub1,0.551528
10,DC1,Zone4,Sub2,0.152591
11,DC1,Zone4,Sub3,0.390227
12,DC1,Zone5,Sub1,0.508349
13,DC1,Zone5,Sub2,0.798427
14,DC1,Zone5,Sub3,0.527352
15,DC1,Zone6,Sub1,0.587897
16,DC1,Zone6,Sub2,0.648615
17,DC1,Zone6,Sub3,0.537869
18,DC1,Zone7,Sub1,0.80758
19,DC1,Zone7,Sub2,0.651364
20,DC1,Zone7,Sub3,0.759601
21,DC1,Zone8,Sub1,0.439985
22,DC1,Zone8,Sub2,0.295478
23,DC1,Zone8,Sub3,0.111316
24,DC1,Zone9,Sub1,0.290818
25,DC1,Zone9,Sub2,0.528278
26,DC1,Zone9,Sub3,0.643108
27,DC1,Zone10,Sub1,0.513083
28,DC1,Zone10,Sub2,0.197139
29,DC1,Zone10,Sub3,0.637028
30,DC1,Zone11,Sub1,0.466712
31,DC1,Zone11,Sub2,0.304451
32,DC1,Zone11,Sub3,0.701082
33,DC1,Zone12,Sub1,0.451009
34,DC1,Zone12,Sub2,0.860665
35,DC1,Zone12,Sub3,0.837677
36,DC1,Zone13,Sub1,0.716035
37,DC1,Zone13,Sub2,0.608632
38,DC1,Zone13,Sub3,0.196946
39,DC1,Zone14,Sub1,0.684027
40,DC1,Zone14,Sub2,0.312144
41,DC1,Zone14,Sub3,0.176879
42,DC2,Zone1,Sub1,0.83292
43,DC2,Zone1,Sub2,0.209583
44,DC2,Zone1,Sub3,0.735552
45,DC2,Zone2,Sub1,0.84779
46,DC2,Zone2,Sub2,0.56151
47,DC2,Zone2,Sub3,0.132743
48,DC2,Zone3,Sub1,0.422332
49,DC2,Zone3,Sub2,0.524606
50,DC2,Zone3,Sub3,0.67859
