,Center,DemandZone,Subsection,CompositeRisk
0,DC1,Zone1,Sub1,0.558776
1,DC1,Zone1,Sub2,0.302197
2,DC1,Zone1,Sub3,0.665906
3,DC1,Zone2,Sub1,0.825859
4,DC1,Zone2,Sub2,0.336362
5,DC1,Zone2,Sub3,0.209984
6,DC1,Zone3,Sub1,0.71484
7,DC1,Zone3,Sub2,0.30602
8,DC1,Zone3,Sub3,0.46523
9,DC1,Zone4,Sub1,0.297657
10,DC1,Zone4,Sub2,0.192167
11,DC1,Zone4,Sub3,0.527289
12,DC1,Zone5,Sub1,0.500774
13,DC1,Zone5,Sub2,0.215664
14,DC1,Zone5,Sub3,0.809616
15,DC1,Zone6,Sub1,0.270454
16,DC1,Zone6,Sub2,0.295134
17,DC1,Zone6,Sub3,0.226656
18,DC1,Zone7,Sub1,0.237887
19,DC1,Zone7,Sub2,0.799497
20,DC1,Zone7,Sub3,0.737389
21,DC1,Zone8,Sub1,0.689158
22,DC1,Zone8,Sub2,0.63347
23,DC1,Zone8,Sub3,0.381615
24,DC1,Zone9,Sub1,0.543557
25,DC1,Zone9,Sub2,0.802795
26,DC1,Zone9,Sub3,0.603267
27,DC1,Zone10,Sub1,0.345038
28,DC1,Zone10,Sub2,0.115662
29,DC1,Zone10,Sub3,0.123632
30,DC1,Zone11,Sub1,0.768982
31,DC1,Zone11,Sub2,0.70197
32,DC1,Zone11,Sub3,0.252739
33,DC1,Zone12,Sub1,0.146458
34,DC1,Zone12,Sub2,0.528551
35,DC1,Zone12,Sub3,0.360763
36,DC1,Zone13,Sub1,0.102016
37,DC1,Zone13,Sub2,0.640673
38,DC1,Zone13,Sub3,0.838646
39,DC1,Zone14,Sub1,0.563708
40,DC1,Zone14,Sub2,0.332236
41,DC1,Zone14,Sub3,0.364553
42,DC2,Zone1,Sub1,0.113218
43,DC2,Zone1,Sub2,0.343273
44,DC2,Zone1,Sub3,0.453033
45,DC2,Zone2,Sub1,0.339951
46,DC2,Zone2,Sub2,0.348362
47,DC2,Zone2,Sub3,0.803693
48,DC2,Zone3,Sub1,0.130423
