,Center,DemandZone,Subsection,CompositeRisk
0,DC1,Zone1,Sub1,0.54319
1,DC1,Zone1,Sub2,0.145178
2,DC1,Zone1,Sub3,0.660112
3,DC1,Zone2,Sub1,0.48923
4,DC1,Zone2,Sub2,0.173284
5,DC1,Zone2,Sub3,0.219715
6,DC1,Zone3,Sub1,0.551121
7,DC1,Zone3,Sub2,0.249589
8,DC1,Zone3,Sub3,0.76734
9,DC1,Zone4,Sub1,0.579432
10,DC1,Zone4,Sub2,0.278301
11,DC1,Zone4,Sub3,0.239288
12,DC1,Zone5,Sub1,0.819298
13,DC1,Zone5,Sub2,0.539996
14,DC1,Zone5,Sub3,0.782275
15,DC1,Zone6,Sub1,0.634152
16,DC1,Zone6,Sub2,0.690449
17,DC1,Zone6,Sub3,0.873893
18,DC1,Zone7,Sub1,0.177068
19,DC1,Zone7,Sub2,0.845807
20,DC1,Zone7,Sub3,0.210884
21,DC1,Zone8,Sub1,0.89962
22,DC1,Zone8,Sub2,0.525765
23,DC1,Zone8,Sub3,0.834039
24,DC1,Zone9,Sub1,0.55971
25,DC1,Zone9,Sub2,0.735332
26,DC1,Zone9,Sub3,0.593249
27,DC1,Zone10,Sub1,0.744368
28,DC1,Zone10,Sub2,0.561591
29,DC1,Zone10,Sub3,0.794877
30,DC1,Zone11,Sub1,0.675354
31,DC1,Zone11,Sub2,0.277684
32,DC1,Zone11,Sub3,0.560312
33,DC1,Zone12,Sub1,0.428976
34,DC1,Zone12,Sub2,0.888677
35,DC1,Zone12,Sub3,0.243786
36,DC1,Zone13,Sub1,0.732165
37,DC1,Zone13,Sub2,0.167431
38,DC1,Zone13,Sub3,0.876281
39,DC1,Zone14,Sub1,0.867971
40,DC1,Zone14,Sub2,0.207681
41,DC1,Zone14,Sub3,0.179976
42,DC2,Zone1,Sub1,0.18169
43,DC2,Zone1,Sub2,0.547046
44,DC2,Zone1,Sub3,0.63766
45,DC2,Zone2,Sub1,0.583178
46,DC2,Zone2,Sub2,0.246535
47,DC2,Zone2,Sub3,0.467008
48,DC2,Zone3,Sub1,0.659262
49,DC2,Zone3,Sub2,0.795277
50,DC2,Zone3,Sub3,0.201625
51,DC2,Zone4,Sub1,0.737455
52,DC2,Zone4,Sub2,0.365767
53,DC2,Zone4,Sub3,0.194753
54,DC2,Zone5,Sub1,0.697292
55,DC2,Zone5,Sub2,0.371991
56,DC2,Zone5,Sub3,0.48078
57,DC2,Zone6,Sub1,0.122938
58,DC2,Zone6,Sub2,0.506872
59,DC2,Zone6,Sub3,0.425519
60,DC2,Zone7,Sub1,0.175812
61,DC2,Zone7,Sub2,0.484146
62,DC2,Zone7,Sub3,0.765949
63,DC2,Zone8,Sub1,0.488202
64,DC2,Zone8,Sub2,0.409303
65,DC2,Zone8,Sub3,0.299241
66,DC2,Zone9,Sub1,0.80588
67,DC2,Zone9,Sub2,0.463907
68,DC2,Zone9,Sub3,0.290136
69,DC2,Zone10,Sub1,0.542614
70,DC2,Zone10,Sub2,0.460172
71,DC2,Zone10,Sub3,0.426765
72,DC2,Zone11,Sub1,0.855671
73,DC2,Zone11,Sub2,0.599887
74,DC2,Zone11,Sub3,0.648458
75,DC2,Zone12,Sub1,0.507
76,DC2,Zone12,Sub2,0.743349
77,DC2,Zone12,Sub3,0.429078
78,DC2,Zone13,Sub1,0.421472
79,DC2,Zone13,Sub2,0.361184
80,DC2,Zone13,Sub3,0.46217
81,DC2,Zone14,Sub1,0.487603
82,DC2,Zone14,Sub2,0.856712
83,DC2,Zone14,Sub3,0.175943
84,DC3,Zone1,Sub1,0.286261
85,DC3,Zone1,Sub2,0.416502
86,DC3,Zone1,Sub3,0.296602
87,DC3,Zone2,Sub1,0.637395
88,DC3,Zone2,Sub2,0.832992
89,DC3,Zone2,Sub3,0.205024
90,DC3,Zone3,Sub1,0.179921
91,DC3,Zone3,Sub2,0.316829
92,DC3,Zone3,Sub3,0.680678
93,DC3,Zone4,Sub1,0.394608
94,DC3,Zone4,Sub2,0.270058
95,DC3,Zone4,Sub3,0.65628
96,DC3,Zone5,Sub1,0.830978
