,Center,DemandZone,Subsection,CompositeRisk
0,DC1,Zone1,Sub1,0.680113
1,DC1,Zone1,Sub2,0.270058
2,DC1,Zone1,Sub3,0.495747
3,DC1,Zone2,Sub1,0.457614
4,DC1,Zone2,Sub2,0.385004
5,DC1,Zone2,Sub3,0.458694
6,DC1,Zone3,Sub1,0.497238
7,DC1,Zone3,Sub2,0.894924
8,DC1,Zone3,Sub3,0.658289
9,DC1,Zone4,Sub1,0.659686
10,DC1,Zone4,Sub2,0.632793
11,DC1,Zone4,Sub3,0.601275
12,DC1,Zone5,Sub1,0.378296
13,DC1,Zone5,Sub2,0.733137
14,DC1,Zone5,Sub3,0.324617
15,DC1,Zone6,Sub1,0.263455
16,DC1,Zone6,Sub2,0.753271
17,DC1,Zone6,Sub3,0.245657
18,DC1,Zone7,Sub1,0.767667
19,DC1,Zone7,Sub2,0.160293
20,DC1,Zone7,Sub3,0.410553
21,DC1,Zone8,Sub1,0.474055
22,DC1,Zone8,Sub2,0.421042
23,DC1,Zone8,Sub3,0.589625
24,DC1,Zone9,Sub1,0.506492
25,DC1,Zone9,Sub2,0.384527
26,DC1,Zone9,Sub3,0.744622
27,DC1,Zone10,Sub1,0.444773
28,DC1,Zone10,Sub2,0.614297
29,DC1,Zone10,Sub3,0.3282
30,DC1,Zone11,Sub1,0.497841
31,DC1,Zone11,Sub2,0.217386
32,DC1,Zone11,Sub3,0.448047
33,DC1,Zone12,Sub1,0.756924
34,DC1,Zone12,Sub2,0.218246
35,DC1,Zone12,Sub3,0.400991
36,DC1,Zone13,Sub1,0.772281
37,DC1,Zone13,Sub2,0.821502
38,DC1,Zone13,Sub3,0.883657
39,DC1,Zone14,Sub1,0.284104
40,DC1,Zone14,Sub2,0.814848
41,DC1,Zone14,Sub3,0.840417
42,DC2,Zone1,Sub1,0.178087
43,DC2,Zone1,Sub2,0.297004
44,DC2,Zone1,Sub3,0.27823
45,DC2,Zone2,Sub1,0.489729
46,DC2,Zone2,Sub2,0.332688
47,DC2,Zone2,Sub3,0.873329
48,DC2,Zone3,Sub1,0.738939
49,DC2,Zone3,Sub2,0.760008
50,DC2,Zone3,Sub3,0.636398
51,DC2,Zone4,Sub1,0.494794
52,DC2,Zone4,Sub2,0.678833
53,DC2,Zone4,Sub3,0.71395
54,DC2,Zone5,Sub1,0.177424
55,DC2,Zone5,Sub2,0.496482
56,DC2,Zone5,Sub3,0.874949
57,DC2,Zone6,Sub1,0.12227
58,DC2,Zone6,Sub2,0.785456
59,DC2,Zone6,Sub3,0.295915
60,DC2,Zone7,Sub1,0.388419
61,DC2,Zone7,Sub2,0.269337
62,DC2,Zone7,Sub3,0.11637
63,DC2,Zone8,Sub1,0.204381
64,DC2,Zone8,Sub2,0.848837
65,DC2,Zone8,Sub3,0.413074
66,DC2,Zone9,Sub1,0.364588
67,DC2,Zone9,Sub2,0.825558
68,DC2,Zone9,Sub3,0.889312
69,DC2,Zone10,Sub1,0.348455
70,DC2,Zone10,Sub2,0.385578
71,DC2,Zone10,Sub3,0.795808
72,DC2,Zone11,Sub1,0.458601
73,DC2,Zone11,Sub2,0.37519
74,DC2,Zone11,Sub3,0.218852
75,DC2,Zone12,Sub1,0.564744
76,DC2,Zone12,Sub2,0.131242
77,DC2,Zone12,Sub3,0.334545
78,DC2,Zone13,Sub1,0.822305
79,DC2,Zone13,Sub2,0.327064
80,DC2,Zone13,Sub3,0.448528
81,DC2,Zone14,Sub1,0.659522
82,DC2,Zone14,Sub2,0.242613
83,DC2,Zone14,Sub3,0.236218
84,DC3,Zone1,Sub1,0.209094
85,DC3,Zone1,Sub2,0.847132
86,DC3,Zone1,Sub3,0.16754
87,DC3,Zone2,Sub1,0.455884
88,DC3,Zone2,Sub2,0.347216
89,DC3,Zone2,Sub3,0.478132
90,DC3,Zone3,Sub1,0.248551
91,DC3,Zone3,Sub2,0.145757
92,DC3,Zone3,Sub3,0.11397
93,DC3,Zone4,Sub1,0.55391
94,DC3,Zone4,Sub2,0.32321
95,DC3,Zone4,Sub3,0.278824
96,DC3,Zone5,Sub1,0.245626
97,DC3,Zone5,Sub2,0.77387
98,DC3,Zone5,Sub3,0.883397
99,DC3,Zone6,Sub1,0.27418
100,DC3,Zone6,Sub2,0.881985
101,DC3,Zone6,Sub3,0.399393
102,DC3,Zone7,Sub1,0.66322
103,DC3,Zone7,Sub2,0.797204
104,DC3,Zone7,Sub3,0.874571
105,DC3,Zone8,Sub1,0.580116
106,DC3,Zone8,Sub2,0.809969
107,DC3,Zone8,Sub3,0.180877
108,DC3,Zone9,Sub1,0.710948
109,DC3,Zone9,Sub2,0.522697
110,DC3,Zone9,Sub3,0.684304
111,DC3,Zone10,Sub1,0.744038
112,DC3,Zone10,Sub2,0.317232
113,DC3,Zone10,Sub3,0.442929
114,DC3,Zone11,Sub1,0.267608
115,DC3,Zone11,Sub2,0.10786
116,DC3,Zone11,Sub3,0.709046
117,DC3,Zone12,Sub1,0.895719
118,DC3,Zone12,Sub2,0.653044
119,DC3,Zone12,Sub3,0.741681
120,DC3,Zone13,Sub1,0.164754
121,DC3,Zone13,Sub2,0.326515
122,DC3,Zone13,Sub3,0.634705
123,DC3,Zone14,Sub1,0.74234
124,DC3,Zone14,Sub2,0.12746
125,DC3,Zone14,Sub3,0.662623
126,DC4,Zone1,Sub1,0.439822
127,DC4,Zone1,Sub2,0.314554
128,DC4,Zone1,Sub3,0.107758
129,DC4,Zone2,Sub1,0.634338
130,DC4,Zone2,Sub2,0.551364
131,DC4,Zone2,Sub3,0.681267
132,DC4,Zone3,Sub1,0.220638
133,DC4,Zone3,Sub2,0.647185
134,DC4,Zone3,Sub3,0.723168
135,DC4,Zone4,Sub1,0.21511
136,DC4,Zone4,Sub2,0.117383
137,DC4,Zone4,Sub3,0.215714
138,DC4,Zone5,Sub1,0.520191
139,DC4,Zone5,Sub2,0.238659
140,DC4,Zone5,Sub3,0.882175
141,DC4,Zone6,Sub1,0.499519
142,DC4,Zone6,Sub2,0.768106
143,DC4,Zone6,Sub3,0.570248
144,DC4,Zone7,Sub1,0.295039
145,DC4,Zone7,Sub2,0.66348
146,DC4,Zone7,Sub3,0.2891
147,DC4,Zone8,Sub1,0.875022
148,DC4,Zone8,Sub2,0.522573
149,DC4,Zone8,Sub3,0.674684
150,DC4,Zone9,Sub1,0.451729
151,DC4,Zone9,Sub2,0.745582
152,DC4,Zone9,Sub3,0.590677
153,DC4,Zone10,Sub1,0.829022
