,Center,DemandZone,Subsection,CompositeRisk
0,DC1,Zone1,Sub1,0.60732
1,DC1,Zone1,Sub2,0.502475
2,DC1,Zone1,Sub3,0.106638
3,DC1,Zone2,Sub1,0.153892
4,DC1,Zone2,Sub2,0.245744
5,DC1,Zone2,Sub3,0.493089
6,DC1,Zone3,Sub1,0.8721
7,DC1,Zone3,Sub2,0.669689
8,DC1,Zone3,Sub3,0.54119
9,DC1,Zone4,Sub1,0.358301
10,DC1,Zone4,Sub2,0.663563
11,DC1,Zone4,Sub3,0.647986
12,DC1,Zone5,Sub1,0.42394
13,DC1,Zone5,Sub2,0.667668
14,DC1,Zone5,Sub3,0.713398
15,DC1,Zone6,Sub1,0.437615
16,DC1,Zone6,Sub2,0.756996
17,DC1,Zone6,Sub3,0.275241
18,DC1,Zone7,Sub1,0.339947
19,DC1,Zone7,Sub2,0.700919
20,DC1,Zone7,Sub3,0.847735
21,DC1,Zone8,Sub1,0.817833
22,DC1,Zone8,Sub2,0.139738
23,DC1,Zone8,Sub3,0.312496
24,DC1,Zone9,Sub1,0.368723
25,DC1,Zone9,Sub2,0.367859
26,DC1,Zone9,Sub3,0.61327
27,DC1,Zone10,Sub1,0.859692
28,DC1,Zone10,Sub2,0.512147
29,DC1,Zone10,Sub3,0.256963
30,DC1,Zone11,Sub1,0.699158
31,DC1,Zone11,Sub2,0.507159
32,DC1,Zone11,Sub3,0.405512
33,DC1,Zone12,Sub1,0.423236
34,DC1,Zone12,Sub2,0.877853
35,DC1,Zone12,Sub3,0.209867
36,DC1,Zone13,Sub1,0.544023
37,DC1,Zone13,Sub2,0.713627
38,DC1,Zone13,Sub3,0.684069
39,DC1,Zone14,Sub1,0.237929
40,DC1,Zone14,Sub2,0.38238
41,DC1,Zone14,Sub3,0.297693
42,DC2,Zone1,Sub1,0.106541
43,DC2,Zone1,Sub2,0.228033
44,DC2,Zone1,Sub3,0.288111
45,DC2,Zone2,Sub1,0.597936
46,DC2,Zone2,Sub2,0.550015
47,DC2,Zone2,Sub3,0.408672
48,DC2,Zone3,Sub1,0.334097
49,DC2,Zone3,Sub2,0.60997
50,DC2,Zone3,Sub3,0.688636
51,DC2,Zone4,Sub1,0.245926
52,DC2,Zone4,Sub2,0.177793
53,DC2,Zone4,Sub3,0.496322
54,DC2,Zone5,Sub1,0.79036
55,DC2,Zone5,Sub2,0.548168
56,DC2,Zone5,Sub3,0.272801
57,DC2,Zone6,Sub1,0.716591
58,DC2,Zone6,Sub2,0.416571
59,DC2,Zone6,Sub3,0.350297
60,DC2,Zone7,Sub1,0.145963
61,DC2,Zone7,Sub2,0.779731
62,DC2,Zone7,Sub3,0.369052
63,DC2,Zone8,Sub1,0.821046
64,DC2,Zone8,Sub2,0.162581
65,DC2,Zone8,Sub3,0.547842
66,DC2,Zone9,Sub1,0.674587
67,DC2,Zone9,Sub2,0.389511
68,DC2,Zone9,Sub3,0.185391
69,DC2,Zone10,Sub1,0.140814
70,DC2,Zone10,Sub2,0.589015
71,DC2,Zone10,Sub3,0.333549
72,DC2,Zone11,Sub1,0.70716
73,DC2,Zone11,Sub2,0.502377
74,DC2,Zone11,Sub3,0.296804
75,DC2,Zone12,Sub1,0.643994
76,DC2,Zone12,Sub2,0.172608
77,DC2,Zone12,Sub3,0.341083
78,DC2,Zone13,Sub1,0.51422
79,DC2,Zone13,Sub2,0.877799
80,DC2,Zone13,Sub3,0.166359
81,DC2,Zone14,Sub1,0.817035
82,DC2,Zone14,Sub2,0.226152
83,DC2,Zone14,Sub3,0.330448
84,DC3,Zone1,Sub1,0.73004
85,DC3,Zone1,Sub2,0.267941
86,DC3,Zone1,Sub3,0.101029
87,DC3,Zone2,Sub1,0.604694
88,DC3,Zone2,Sub2,0.269389
89,DC3,Zone2,Sub3,0.849261
90,DC3,Zone3,Sub1,0.388507
91,DC3,Zone3,Sub2,0.312567
92,DC3,Zone3,Sub3,0.151532
93,DC3,Zone4,Sub1,0.834678
94,DC3,Zone4,Sub2,0.573011
95,DC3,Zone4,Sub3,0.587375
96,DC3,Zone5,Sub1,0.212115
97,DC3,Zone5,Sub2,0.196835
98,DC3,Zone5,Sub3,0.439156
99,DC3,Zone6,Sub1,0.581213
100,DC3,Zone6,Sub2,0.865148
101,DC3,Zone6,Sub3,0.885928
102,DC3,Zone7,Sub1,0.483301
103,DC3,Zone7,Sub2,0.740754
104,DC3,Zone7,Sub3,0.533523
105,DC3,Zone8,Sub1,0.602579
106,DC3,Zone8,Sub2,0.718805
107,DC3,Zone8,Sub3,0.81438
108,DC3,Zone9,Sub1,0.212443
109,DC3,Zone9,Sub2,0.745596
110,DC3,Zone9,Sub3,0.182537
111,DC3,Zone10,Sub1,0.177402
112,DC3,Zone10,Sub2,0.847011
113,DC3,Zone10,Sub3,0.68271
114,DC3,Zone11,Sub1,0.727402
115,DC3,Zone11,Sub2,0.812096
116,DC3,Zone11,Sub3,0.12571
117,DC3,Zone12,Sub1,0.279922
118,DC3,Zone12,Sub2,0.65155
