,Center,DemandZone,Subsection,TollCost
0,DC1,Zone1,Sub1,0
1,DC1,Zone1,Sub2,4701
2,DC1,Zone1,Sub3,3278
3,DC1,Zone2,Sub1,2095
4,DC1,Zone2,Sub2,2371
5,DC1,Zone2,Sub3,1587
6,DC1,Zone3,Sub1,4670
7,DC1,Zone3,Sub2,0
8,DC1,Zone3,Sub3,0
9,DC1,Zone4,Sub1,0
10,DC1,Zone4,Sub2,3063
11,DC1,Zone4,Sub3,6757
12,DC1,Zone5,Sub1,0
13,DC1,Zone5,Sub2,0
14,DC1,Zone5,Sub3,9066
15,DC1,Zone6,Sub1,2612
16,DC1,Zone6,Sub2,3381
17,DC1,Zone6,Sub3,3807
18,DC1,Zone7,Sub1,0
19,DC1,Zone7,Sub2,0
20,DC1,Zone7,Sub3,901
21,DC1,Zone8,Sub1,4039
22,DC1,Zone8,Sub2,3455
23,DC1,Zone8,Sub3,3187
24,DC1,Zone9,Sub1,1021
25,DC1,Zone9,Sub2,1033
26,DC1,Zone9,Sub3,1652
27,DC1,Zone10,Sub1,1022
28,DC1,Zone10,Sub2,596
29,DC1,Zone10,Sub3,1682
30,DC1,Zone11,Sub1,7709
31,DC1,Zone11,Sub2,10573
32,DC1,Zone11,Sub3,6611
33,DC1,Zone12,Sub1,6585
34,DC1,Zone12,Sub2,7167
35,DC1,Zone12,Sub3,3126
36,DC1,Zone13,Sub1,10421
37,DC1,Zone13,Sub2,3635
38,DC1,Zone13,Sub3,3809
39,DC1,Zone14,Sub1,3912
40,DC1,Zone14,Sub2,4648
41,DC1,Zone14,Sub3,0
42,DC2,Zone1,Sub1,3233
43,DC2,Zone1,Sub2,3801
44,DC2,Zone1,Sub3,3732
45,DC2,Zone2,Sub1,1724
46,DC2,Zone2,Sub2,0
47,DC2,Zone2,Sub3,2023
48,DC2,Zone3,Sub1,0
49,DC2,Zone3,Sub2,2654
50,DC2,Zone3,Sub3,1506
51,DC2,Zone4,Sub1,3554
52,DC2,Zone4,Sub2,1994
53,DC2,Zone4,Sub3,2213
54,DC2,Zone5,Sub1,10050
55,DC2,Zone5,Sub2,10131
56,DC2,Zone5,Sub3,0
57,DC2,Zone6,Sub1,5750
58,DC2,Zone6,Sub2,4907
59,DC2,Zone6,Sub3,4926
60,DC2,Zone7,Sub1,0
61,DC2,Zone7,Sub2,0
62,DC2,Zone7,Sub3,7574
63,DC2,Zone8,Sub1,3286
64,DC2,Zone8,Sub2,5110
65,DC2,Zone8,Sub3,4007
66,DC2,Zone9,Sub1,808
67,DC2,Zone9,Sub2,721
68,DC2,Zone9,Sub3,749
69,DC2,Zone10,Sub1,8779
70,DC2,Zone10,Sub2,0
71,DC2,Zone10,Sub3,10571
72,DC2,Zone11,Sub1,0
73,DC2,Zone11,Sub2,0
74,DC2,Zone11,Sub3,0
