,Center,DemandZone,Subsection,TollCost
0,DC1,Zone1,Sub1,4999
1,DC1,Zone1,Sub2,0
2,DC1,Zone1,Sub3,0
3,DC1,Zone2,Sub1,1113
4,DC1,Zone2,Sub2,723
5,DC1,Zone2,Sub3,676
6,DC1,Zone3,Sub1,4374
7,DC1,Zone3,Sub2,2949
8,DC1,Zone3,Sub3,0
9,DC1,Zone4,Sub1,0
10,DC1,Zone4,Sub2,0
11,DC1,Zone4,Sub3,9063
12,DC1,Zone5,Sub1,4194
13,DC1,Zone5,Sub2,3929
14,DC1,Zone5,Sub3,4088
15,DC1,Zone6,Sub1,0
16,DC1,Zone6,Sub2,2506
17,DC1,Zone6,Sub3,2021
18,DC1,Zone7,Sub1,1925
19,DC1,Zone7,Sub2,2636
20,DC1,Zone7,Sub3,0
21,DC1,Zone8,Sub1,4839
22,DC1,Zone8,Sub2,0
23,DC1,Zone8,Sub3,3412
24,DC1,Zone9,Sub1,7704
25,DC1,Zone9,Sub2,9333
26,DC1,Zone9,Sub3,3817
27,DC1,Zone10,Sub1,0
28,DC1,Zone10,Sub2,0
29,DC1,Zone10,Sub3,0
30,DC1,Zone11,Sub1,0
31,DC1,Zone11,Sub2,7530
32,DC1,Zone11,Sub3,10367
33,DC1,Zone12,Sub1,2710
34,DC1,Zone12,Sub2,3874
35,DC1,Zone12,Sub3,5736
36,DC1,Zone13,Sub1,700
37,DC1,Zone13,Sub2,651
38,DC1,Zone13,Sub3,1123
39,DC1,Zone14,Sub1,5106
40,DC1,Zone14,Sub2,3328
41,DC1,Zone14,Sub3,0
42,DC2,Zone1,Sub1,4978
43,DC2,Zone1,Sub2,4107
44,DC2,Zone1,Sub3,2208
45,DC2,Zone2,Sub1,0
46,DC2,Zone2,Sub2,5176
47,DC2,Zone2,Sub3,5099
48,DC2,Zone3,Sub1,1146
49,DC2,Zone3,Sub2,1592
50,DC2,Zone3,Sub3,897
51,DC2,Zone4,Sub1,0
52,DC2,Zone4,Sub2,7927
53,DC2,Zone4,Sub3,5255
54,DC2,Zone5,Sub1,2584
55,DC2,Zone5,Sub2,0
56,DC2,Zone5,Sub3,1049
57,DC2,Zone6,Sub1,7901
58,DC2,Zone6,Sub2,8147
59,DC2,Zone6,Sub3,5235
60,DC2,Zone7,Sub1,6737
61,DC2,Zone7,Sub2,7242
62,DC2,Zone7,Sub3,7106
63,DC2,Zone8,Sub1,9210
64,DC2,Zone8,Sub2,0
65,DC2,Zone8,Sub3,5223
66,DC2,Zone9,Sub1,0
67,DC2,Zone9,Sub2,932
68,DC2,Zone9,Sub3,1195
69,DC2,Zone10,Sub1,6584
70,DC2,Zone10,Sub2,0
71,DC2,Zone10,Sub3,5833
72,DC2,Zone11,Sub1,3244
73,DC2,Zone11,Sub2,9597
74,DC2,Zone11,Sub3,6363
75,DC2,Zone12,Sub1,0
76,DC2,Zone12,Sub2,586
77,DC2,Zone12,Sub3,0
78,DC2,Zone13,Sub1,2516
79,DC2,Zone13,Sub2,3694
80,DC2,Zone13,Sub3,4958
81,DC2,Zone14,Sub1,1203
82,DC2,Zone14,Sub2,1082
83,DC2,Zone14,Sub3,3072
84,DC3,Zone1,Sub1,7431
85,DC3,Zone1,Sub2,6022
86,DC3,Zone1,Sub3,6290
87,DC3,Zone2,Sub1,0
88,DC3,Zone2,Sub2,4369
89,DC3,Zone2,Sub3,6024
90,DC3,Zone3,Sub1,7500
91,DC3,Zone3,Sub2,3175
92,DC3,Zone3,Sub3,3597
93,DC3,Zone4,Sub1,0
94,DC3,Zone4,Sub2,6173
95,DC3,Zone4,Sub3,0
96,DC3,Zone5,Sub1,2204
97,DC3,Zone5,Sub2,1334
