,Center,DemandZone,Subsection,TollCost
0,DC1,Zone1,Sub1,1249
1,DC1,Zone1,Sub2,925
2,DC1,Zone1,Sub3,1059
3,DC1,Zone2,Sub1,7298
4,DC1,Zone2,Sub2,0
5,DC1,Zone2,Sub3,4830
6,DC1,Zone3,Sub1,6493
7,DC1,Zone3,Sub2,7518
8,DC1,Zone3,Sub3,4810
9,DC1,Zone4,Sub1,8047
10,DC1,Zone4,Sub2,4264
11,DC1,Zone4,Sub3,6754
12,DC1,Zone5,Sub1,0
13,DC1,Zone5,Sub2,0
14,DC1,Zone5,Sub3,0
15,DC1,Zone6,Sub1,6092
16,DC1,Zone6,Sub2,8043
17,DC1,Zone6,Sub3,0
18,DC1,Zone7,Sub1,1125
19,DC1,Zone7,Sub2,0
20,DC1,Zone7,Sub3,1694
21,DC1,Zone8,Sub1,911
22,DC1,Zone8,Sub2,1180
23,DC1,Zone8,Sub3,1177
24,DC1,Zone9,Sub1,1372
25,DC1,Zone9,Sub2,0
26,DC1,Zone9,Sub3,2969
27,DC1,Zone10,Sub1,5336
28,DC1,Zone10,Sub2,4644
29,DC1,Zone10,Sub3,4390
30,DC1,Zone11,Sub1,1498
31,DC1,Zone11,Sub2,3637
32,DC1,Zone11,Sub3,3072
33,DC1,Zone12,Sub1,1577
34,DC1,Zone12,Sub2,989
35,DC1,Zone12,Sub3,1204
36,DC1,Zone13,Sub1,1158
37,DC1,Zone13,Sub2,1093
38,DC1,Zone13,Sub3,1911
39,DC1,Zone14,Sub1,2984
40,DC1,Zone14,Sub2,4660
41,DC1,Zone14,Sub3,4013
42,DC2,Zone1,Sub1,0
43,DC2,Zone1,Sub2,1086
44,DC2,Zone1,Sub3,2300
45,DC2,Zone2,Sub1,2698
46,DC2,Zone2,Sub2,2363
47,DC2,Zone2,Sub3,3237
48,DC2,Zone3,Sub1,0
49,DC2,Zone3,Sub2,1551
50,DC2,Zone3,Sub3,3793
51,DC2,Zone4,Sub1,6975
52,DC2,Zone4,Sub2,5446
53,DC2,Zone4,Sub3,0
54,DC2,Zone5,Sub1,561
55,DC2,Zone5,Sub2,806
56,DC2,Zone5,Sub3,1167
57,DC2,Zone6,Sub1,1702
58,DC2,Zone6,Sub2,2742
59,DC2,Zone6,Sub3,1430
60,DC2,Zone7,Sub1,823
61,DC2,Zone7,Sub2,2246
