,Center,DemandZone,Subsection,TollCost
0,DC1,Zone1,Sub1,3445
1,DC1,Zone1,Sub2,4676
2,DC1,Zone1,Sub3,3490
3,DC1,Zone2,Sub1,1308
4,DC1,Zone2,Sub2,1590
5,DC1,Zone2,Sub3,1323
6,DC1,Zone3,Sub1,1594
7,DC1,Zone3,Sub2,0
8,DC1,Zone3,Sub3,1353
9,DC1,Zone4,Sub1,3041
10,DC1,Zone4,Sub2,1453
11,DC1,Zone4,Sub3,2729
12,DC1,Zone5,Sub1,6685
13,DC1,Zone5,Sub2,2651
14,DC1,Zone5,Sub3,3893
15,DC1,Zone6,Sub1,3111
16,DC1,Zone6,Sub2,3459
17,DC1,Zone6,Sub3,2854
18,DC1,Zone7,Sub1,6288
19,DC1,Zone7,Sub2,6282
20,DC1,Zone7,Sub3,6882
21,DC1,Zone8,Sub1,0
22,DC1,Zone8,Sub2,0
23,DC1,Zone8,Sub3,5740
24,DC1,Zone9,Sub1,3644
25,DC1,Zone9,Sub2,4931
26,DC1,Zone9,Sub3,1275
27,DC1,Zone10,Sub1,7402
28,DC1,Zone10,Sub2,0
29,DC1,Zone10,Sub3,3012
30,DC1,Zone11,Sub1,7044
31,DC1,Zone11,Sub2,0
32,DC1,Zone11,Sub3,6578
33,DC1,Zone12,Sub1,0
34,DC1,Zone12,Sub2,3563
35,DC1,Zone12,Sub3,0
36,DC1,Zone13,Sub1,4748
37,DC1,Zone13,Sub2,3758
38,DC1,Zone13,Sub3,0
39,DC1,Zone14,Sub1,3021
40,DC1,Zone14,Sub2,2459
41,DC1,Zone14,Sub3,3325
42,DC2,Zone1,Sub1,1924
43,DC2,Zone1,Sub2,1090
44,DC2,Zone1,Sub3,0
45,DC2,Zone2,Sub1,6479
46,DC2,Zone2,Sub2,5821
47,DC2,Zone2,Sub3,10881
48,DC2,Zone3,Sub1,2277
49,DC2,Zone3,Sub2,0
50,DC2,Zone3,Sub3,2035
51,DC2,Zone4,Sub1,4204
52,DC2,Zone4,Sub2,2205
53,DC2,Zone4,Sub3,0
54,DC2,Zone5,Sub1,2361
55,DC2,Zone5,Sub2,4170
56,DC2,Zone5,Sub3,3025
57,DC2,Zone6,Sub1,5284
58,DC2,Zone6,Sub2,0
59,DC2,Zone6,Sub3,0
60,DC2,Zone7,Sub1,1123
61,DC2,Zone7,Sub2,1310
62,DC2,Zone7,Sub3,994
63,DC2,Zone8,Sub1,3491
64,DC2,Zone8,Sub2,5895
65,DC2,Zone8,Sub3,3235
66,DC2,Zone9,Sub1,3238
67,DC2,Zone9,Sub2,0
68,DC2,Zone9,Sub3,1971
69,DC2,Zone10,Sub1,575
70,DC2,Zone10,Sub2,587
71,DC2,Zone10,Sub3,0
72,DC2,Zone11,Sub1,5385
73,DC2,Zone11,Sub2,3251
74,DC2,Zone11,Sub3,3822
75,DC2,Zone12,Sub1,7923
76,DC2,Zone12,Sub2,0
77,DC2,Zone12,Sub3,7514
78,DC2,Zone13,Sub1,8773
79,DC2,Zone13,Sub2,0
80,DC2,Zone13,Sub3,0
81,DC2,Zone14,Sub1,0
82,DC2,Zone14,Sub2,8734
83,DC2,Zone14,Sub3,7005
84,DC3,Zone1,Sub1,0
85,DC3,Zone1,Sub2,2723
86,DC3,Zone1,Sub3,2493
87,DC3,Zone2,Sub1,3295
88,DC3,Zone2,Sub2,3292
89,DC3,Zone2,Sub3,0
90,DC3,Zone3,Sub1,0
91,DC3,Zone3,Sub2,1696
92,DC3,Zone3,Sub3,2429
93,DC3,Zone4,Sub1,7582
94,DC3,Zone4,Sub2,2561
95,DC3,Zone4,Sub3,5206
96,DC3,Zone5,Sub1,4750
97,DC3,Zone5,Sub2,8262
98,DC3,Zone5,Sub3,0
99,DC3,Zone6,Sub1,0
100,DC3,Zone6,Sub2,3509
101,DC3,Zone6,Sub3,7061
102,DC3,Zone7,Sub1,747
103,DC3,Zone7,Sub2,783
104,DC3,Zone7,Sub3,668
105,DC3,Zone8,Sub1,1770
106,DC3,Zone8,Sub2,2623
107,DC3,Zone8,Sub3,2289
108,DC3,Zone9,Sub1,4464
109,DC3,Zone9,Sub2,6039
110,DC3,Zone9,Sub3,0
111,DC3,Zone10,Sub1,4278
112,DC3,Zone10,Sub2,2520
113,DC3,Zone10,Sub3,3826
114,DC3,Zone11,Sub1,2818
115,DC3,Zone11,Sub2,3279
116,DC3,Zone11,Sub3,2294
117,DC3,Zone12,Sub1,0
118,DC3,Zone12,Sub2,3468
119,DC3,Zone12,Sub3,4710
120,DC3,Zone13,Sub1,1904
121,DC3,Zone13,Sub2,0
122,DC3,Zone13,Sub3,3901
123,DC3,Zone14,Sub1,0
124,DC3,Zone14,Sub2,1141
125,DC3,Zone14,Sub3,1139
126,DC4,Zone1,Sub1,0
127,DC4,Zone1,Sub2,5003
128,DC4,Zone1,Sub3,3684
129,DC4,Zone2,Sub1,3544
130,DC4,Zone2,Sub2,5448
131,DC4,Zone2,Sub3,11147
132,DC4,Zone3,Sub1,0
133,DC4,Zone3,Sub2,5169
134,DC4,Zone3,Sub3,9271
135,DC4,Zone4,Sub1,5175
136,DC4,Zone4,Sub2,5766
137,DC4,Zone4,Sub3,5791
138,DC4,Zone5,Sub1,1661
139,DC4,Zone5,Sub2,2081
140,DC4,Zone5,Sub3,1092
141,DC4,Zone6,Sub1,9558
142,DC4,Zone6,Sub2,5165
143,DC4,Zone6,Sub3,9310
144,DC4,Zone7,Sub1,0
145,DC4,Zone7,Sub2,814
146,DC4,Zone7,Sub3,989
147,DC4,Zone8,Sub1,0
148,DC4,Zone8,Sub2,0
149,DC4,Zone8,Sub3,2774
150,DC4,Zone9,Sub1,0
151,DC4,Zone9,Sub2,5351
152,DC4,Zone9,Sub3,0
153,DC4,Zone10,Sub1,3556
154,DC4,Zone10,Sub2,0
155,DC4,Zone10,Sub3,4427
156,DC4,Zone11,Sub1,9923
157,DC4,Zone11,Sub2,7524
158,DC4,Zone11,Sub3,3343
159,DC4,Zone12,Sub1,5140
160,DC4,Zone12,Sub2,9395
161,DC4,Zone12,Sub3,3305
162,DC4,Zone13,Sub1,6691
163,DC4,Zone13,Sub2,5785
164,DC4,Zone13,Sub3,7324
165,DC4,Zone14,Sub1,6488
166,DC4,Zone14,Sub2,0
167,DC4,Zone14,Sub3,7917
168,DC5,Zone1,Sub1,5842
169,DC5,Zone1,Sub2,6562
170,DC5,Zone1,Sub3,4333
171,DC5,Zone2,Sub1,5714
172,DC5,Zone2,Sub2,7991
173,DC5,Zone2,Sub3,4924
174,DC5,Zone3,Sub1,2031
175,DC5,Zone3,Sub2,1240
176,DC5,Zone3,Sub3,3920
177,DC5,Zone4,Sub1,0
178,DC5,Zone4,Sub2,4725
179,DC5,Zone4,Sub3,0
180,DC5,Zone5,Sub1,0
181,DC5,Zone5,Sub2,0
182,DC5,Zone5,Sub3,0
183,DC5,Zone6,Sub1,3432
184,DC5,Zone6,Sub2,0
185,DC5,Zone6,Sub3,0
186,DC5,Zone7,Sub1,3837
187,DC5,Zone7,Sub2,2585
188,DC5,Zone7,Sub3,1522
189,DC5,Zone8,Sub1,3487
190,DC5,Zone8,Sub2,0
191,DC5,Zone8,Sub3,1542
192,DC5,Zone9,Sub1,0
193,DC5,Zone9,Sub2,0
194,DC5,Zone9,Sub3,0
195,DC5,Zone10,Sub1,0
196,DC5,Zone10,Sub2,1737
197,DC5,Zone10,Sub3,1281
198,DC5,Zone11,Sub1,0
199,DC5,Zone11,Sub2,0
200,DC5,Zone11,Sub3,3720
201,DC5,Zone12,Sub1,0
202,DC5,Zone12,Sub2,0
203,DC5,Zone12,Sub3,10758
204,DC5,Zone13,Sub1,0
205,DC5,Zone13,Sub2,3687
206,DC5,Zone13,Sub3,7397
207,DC5,Zone14,Sub1,8871
208,DC5,Zone14,Sub2,0
209,DC5,Zone14,Sub3,10178
210,DC6,Zone1,Sub1,6088
211,DC6,Zone1,Sub2,7156
212,DC6,Zone1,Sub3,0
213,DC6,Zone2,Sub1,0
214,DC6,Zone2,Sub2,2781
215,DC6,Zone2,Sub3,5318
216,DC6,Zone3,Sub1,11667
217,DC6,Zone3,Sub2,8815
218,DC6,Zone3,Sub3,4299
219,DC6,Zone4,Sub1,755
220,DC6,Zone4,Sub2,0
221,DC6,Zone4,Sub3,0
222,DC6,Zone5,Sub1,2808
223,DC6,Zone5,Sub2,3893
224,DC6,Zone5,Sub3,0
225,DC6,Zone6,Sub1,2084
226,DC6,Zone6,Sub2,1566
227,DC6,Zone6,Sub3,1869
228,DC6,Zone7,Sub1,2381
229,DC6,Zone7,Sub2,2443
230,DC6,Zone7,Sub3,3495
231,DC6,Zone8,Sub1,2530
232,DC6,Zone8,Sub2,1908
233,DC6,Zone8,Sub3,2324
234,DC6,Zone9,Sub1,8287
235,DC6,Zone9,Sub2,0
236,DC6,Zone9,Sub3,7003
237,DC6,Zone10,Sub1,5577
238,DC6,Zone10,Sub2,3262
239,DC6,Zone10,Sub3,6656
240,DC6,Zone11,Sub1,0
241,DC6,Zone11,Sub2,4640
242,DC6,Zone11,Sub3,3358
243,DC6,Zone12,Sub1,1528
244,DC6,Zone12,Sub2,0
245,DC6,Zone12,Sub3,3805
246,DC6,Zone13,Sub1,3418
247,DC6,Zone13,Sub2,2738
248,DC6,Zone13,Sub3,0
249,DC6,Zone14,Sub1,3402
250,DC6,Zone14,Sub2,0
251,DC6,Zone14,Sub3,5648
