,Center,DemandZone,Subsection,TollCost
0,DC1,Zone1,Sub1,2194
1,DC1,Zone1,Sub2,2929
2,DC1,Zone1,Sub3,3874
3,DC1,Zone2,Sub1,3382
4,DC1,Zone2,Sub2,2638
5,DC1,Zone2,Sub3,2211
6,DC1,Zone3,Sub1,7093
7,DC1,Zone3,Sub2,4686
8,DC1,Zone3,Sub3,6885
9,DC1,Zone4,Sub1,4341
10,DC1,Zone4,Sub2,6697
11,DC1,Zone4,Sub3,0
12,DC1,Zone5,Sub1,5388
13,DC1,Zone5,Sub2,10876
14,DC1,Zone5,Sub3,4887
15,DC1,Zone6,Sub1,4390
16,DC1,Zone6,Sub2,2576
17,DC1,Zone6,Sub3,0
18,DC1,Zone7,Sub1,2714
19,DC1,Zone7,Sub2,0
20,DC1,Zone7,Sub3,3766
21,DC1,Zone8,Sub1,5459
22,DC1,Zone8,Sub2,2938
23,DC1,Zone8,Sub3,5594
24,DC1,Zone9,Sub1,9738
25,DC1,Zone9,Sub2,11603
26,DC1,Zone9,Sub3,4150
27,DC1,Zone10,Sub1,5052
28,DC1,Zone10,Sub2,4704
29,DC1,Zone10,Sub3,3730
30,DC1,Zone11,Sub1,3761
31,DC1,Zone11,Sub2,2557
32,DC1,Zone11,Sub3,5368
33,DC1,Zone12,Sub1,0
34,DC1,Zone12,Sub2,2108
35,DC1,Zone12,Sub3,0
36,DC1,Zone13,Sub1,7267
37,DC1,Zone13,Sub2,6389
38,DC1,Zone13,Sub3,10160
39,DC1,Zone14,Sub1,3177
40,DC1,Zone14,Sub2,2424
41,DC1,Zone14,Sub3,3333
42,DC2,Zone1,Sub1,5627
43,DC2,Zone1,Sub2,3323
44,DC2,Zone1,Sub3,10125
45,DC2,Zone2,Sub1,3019
46,DC2,Zone2,Sub2,1262
47,DC2,Zone2,Sub3,0
48,DC2,Zone3,Sub1,7015
49,DC2,Zone3,Sub2,7134
50,DC2,Zone3,Sub3,4779
51,DC2,Zone4,Sub1,2550
52,DC2,Zone4,Sub2,4083
53,DC2,Zone4,Sub3,3350
54,DC2,Zone5,Sub1,3364
55,DC2,Zone5,Sub2,5008
56,DC2,Zone5,Sub3,0
57,DC2,Zone6,Sub1,4641
58,DC2,Zone6,Sub2,0
59,DC2,Zone6,Sub3,7220
60,DC2,Zone7,Sub1,997
61,DC2,Zone7,Sub2,2754
62,DC2,Zone7,Sub3,1032
63,DC2,Zone8,Sub1,7683
64,DC2,Zone8,Sub2,0
65,DC2,Zone8,Sub3,4522
66,DC2,Zone9,Sub1,1891
67,DC2,Zone9,Sub2,1931
68,DC2,Zone9,Sub3,1858
69,DC2,Zone10,Sub1,3124
70,DC2,Zone10,Sub2,9579
71,DC2,Zone10,Sub3,6093
72,DC2,Zone11,Sub1,5753
73,DC2,Zone11,Sub2,7374
74,DC2,Zone11,Sub3,4117
75,DC2,Zone12,Sub1,8203
76,DC2,Zone12,Sub2,3956
77,DC2,Zone12,Sub3,10178
78,DC2,Zone13,Sub1,0
79,DC2,Zone13,Sub2,6604
80,DC2,Zone13,Sub3,6611
81,DC2,Zone14,Sub1,7529
82,DC2,Zone14,Sub2,7364
83,DC2,Zone14,Sub3,3638
84,DC3,Zone1,Sub1,10068
85,DC3,Zone1,Sub2,7101
86,DC3,Zone1,Sub3,5508
87,DC3,Zone2,Sub1,1275
88,DC3,Zone2,Sub2,0
89,DC3,Zone2,Sub3,865
90,DC3,Zone3,Sub1,2645
91,DC3,Zone3,Sub2,2861
92,DC3,Zone3,Sub3,2339
93,DC3,Zone4,Sub1,818
94,DC3,Zone4,Sub2,2469
95,DC3,Zone4,Sub3,1075
96,DC3,Zone5,Sub1,0
97,DC3,Zone5,Sub2,0
98,DC3,Zone5,Sub3,0
99,DC3,Zone6,Sub1,8105
100,DC3,Zone6,Sub2,4079
101,DC3,Zone6,Sub3,6904
102,DC3,Zone7,Sub1,3510
103,DC3,Zone7,Sub2,1840
104,DC3,Zone7,Sub3,3640
105,DC3,Zone8,Sub1,1816
106,DC3,Zone8,Sub2,0
107,DC3,Zone8,Sub3,722
108,DC3,Zone9,Sub1,2771
109,DC3,Zone9,Sub2,0
110,DC3,Zone9,Sub3,5369
111,DC3,Zone10,Sub1,3372
112,DC3,Zone10,Sub2,2515
113,DC3,Zone10,Sub3,5411
114,DC3,Zone11,Sub1,0
115,DC3,Zone11,Sub2,2103
116,DC3,Zone11,Sub3,0
117,DC3,Zone12,Sub1,10189
118,DC3,Zone12,Sub2,8524
119,DC3,Zone12,Sub3,4732
120,DC3,Zone13,Sub1,4650
121,DC3,Zone13,Sub2,0
122,DC3,Zone13,Sub3,4186
123,DC3,Zone14,Sub1,6727
124,DC3,Zone14,Sub2,5368
125,DC3,Zone14,Sub3,6337
126,DC4,Zone1,Sub1,3266
127,DC4,Zone1,Sub2,2876
128,DC4,Zone1,Sub3,2786
129,DC4,Zone2,Sub1,804
130,DC4,Zone2,Sub2,1765
131,DC4,Zone2,Sub3,710
132,DC4,Zone3,Sub1,8630
133,DC4,Zone3,Sub2,4790
134,DC4,Zone3,Sub3,8919
135,DC4,Zone4,Sub1,4769
136,DC4,Zone4,Sub2,3967
137,DC4,Zone4,Sub3,0
138,DC4,Zone5,Sub1,1984
139,DC4,Zone5,Sub2,4534
140,DC4,Zone5,Sub3,1988
141,DC4,Zone6,Sub1,0
142,DC4,Zone6,Sub2,4183
143,DC4,Zone6,Sub3,3210
144,DC4,Zone7,Sub1,0
145,DC4,Zone7,Sub2,2925
146,DC4,Zone7,Sub3,1877
147,DC4,Zone8,Sub1,7765
148,DC4,Zone8,Sub2,5199
149,DC4,Zone8,Sub3,2582
150,DC4,Zone9,Sub1,0
151,DC4,Zone9,Sub2,0
152,DC4,Zone9,Sub3,3803
153,DC4,Zone10,Sub1,0
154,DC4,Zone10,Sub2,0
155,DC4,Zone10,Sub3,6151
156,DC4,Zone11,Sub1,0
157,DC4,Zone11,Sub2,2991
158,DC4,Zone11,Sub3,3993
159,DC4,Zone12,Sub1,6918
160,DC4,Zone12,Sub2,10881
161,DC4,Zone12,Sub3,0
162,DC4,Zone13,Sub1,8454
163,DC4,Zone13,Sub2,8177
164,DC4,Zone13,Sub3,5225
165,DC4,Zone14,Sub1,0
166,DC4,Zone14,Sub2,5087
167,DC4,Zone14,Sub3,4355
168,DC5,Zone1,Sub1,2706
169,DC5,Zone1,Sub2,4430
170,DC5,Zone1,Sub3,4195
171,DC5,Zone2,Sub1,4475
172,DC5,Zone2,Sub2,5546
173,DC5,Zone2,Sub3,0
174,DC5,Zone3,Sub1,0
175,DC5,Zone3,Sub2,8872
176,DC5,Zone3,Sub3,3130
177,DC5,Zone4,Sub1,0
178,DC5,Zone4,Sub2,5815
179,DC5,Zone4,Sub3,0
180,DC5,Zone5,Sub1,2510
181,DC5,Zone5,Sub2,4011
182,DC5,Zone5,Sub3,0
183,DC5,Zone6,Sub1,617
184,DC5,Zone6,Sub2,1362
185,DC5,Zone6,Sub3,1067
186,DC5,Zone7,Sub1,0
187,DC5,Zone7,Sub2,3329
188,DC5,Zone7,Sub3,2024
189,DC5,Zone8,Sub1,6954
190,DC5,Zone8,Sub2,9944
191,DC5,Zone8,Sub3,5926
192,DC5,Zone9,Sub1,2015
193,DC5,Zone9,Sub2,0
194,DC5,Zone9,Sub3,1708
195,DC5,Zone10,Sub1,3686
196,DC5,Zone10,Sub2,7338
197,DC5,Zone10,Sub3,0
198,DC5,Zone11,Sub1,2725
199,DC5,Zone11,Sub2,2136
200,DC5,Zone11,Sub3,2675
201,DC5,Zone12,Sub1,0
202,DC5,Zone12,Sub2,2573
203,DC5,Zone12,Sub3,6597
204,DC5,Zone13,Sub1,0
205,DC5,Zone13,Sub2,5736
206,DC5,Zone13,Sub3,5791
207,DC5,Zone14,Sub1,0
208,DC5,Zone14,Sub2,7508
209,DC5,Zone14,Sub3,5710
210,DC6,Zone1,Sub1,2327
211,DC6,Zone1,Sub2,3293
212,DC6,Zone1,Sub3,1352
213,DC6,Zone2,Sub1,6319
214,DC6,Zone2,Sub2,3723
215,DC6,Zone2,Sub3,0
216,DC6,Zone3,Sub1,2034
217,DC6,Zone3,Sub2,6057
218,DC6,Zone3,Sub3,6076
219,DC6,Zone4,Sub1,2981
220,DC6,Zone4,Sub2,0
221,DC6,Zone4,Sub3,1582
222,DC6,Zone5,Sub1,3152
223,DC6,Zone5,Sub2,1797
224,DC6,Zone5,Sub3,3029
225,DC6,Zone6,Sub1,0
226,DC6,Zone6,Sub2,1412
227,DC6,Zone6,Sub3,1454
228,DC6,Zone7,Sub1,7914
229,DC6,Zone7,Sub2,0
230,DC6,Zone7,Sub3,4473
231,DC6,Zone8,Sub1,1786
232,DC6,Zone8,Sub2,2044
233,DC6,Zone8,Sub3,2656
234,DC6,Zone9,Sub1,0
235,DC6,Zone9,Sub2,4035
236,DC6,Zone9,Sub3,0
237,DC6,Zone10,Sub1,0
238,DC6,Zone10,Sub2,0
239,DC6,Zone10,Sub3,928
240,DC6,Zone11,Sub1,5097
241,DC6,Zone11,Sub2,6101
242,DC6,Zone11,Sub3,0
243,DC6,Zone12,Sub1,3721
244,DC6,Zone12,Sub2,4810
245,DC6,Zone12,Sub3,10234
246,DC6,Zone13,Sub1,3580
247,DC6,Zone13,Sub2,5059
248,DC6,Zone13,Sub3,0
249,DC6,Zone14,Sub1,4514
250,DC6,Zone14,Sub2,0
251,DC6,Zone14,Sub3,2131
