,Center,DemandZone,Subsection,Distance_km
0,DC1,Zone1,Sub1,562
1,DC1,Zone1,Sub2,690
2,DC1,Zone1,Sub3,563
3,DC1,Zone2,Sub1,1079
4,DC1,Zone2,Sub2,946
5,DC1,Zone2,Sub3,990
6,DC1,Zone3,Sub1,542
7,DC1,Zone3,Sub2,674
8,DC1,Zone3,Sub3,595
9,DC1,Zone4,Sub1,1720
10,DC1,Zone4,Sub2,1574
11,DC1,Zone4,Sub3,1569
12,DC1,Zone5,Sub1,1112
13,DC1,Zone5,Sub2,1100
14,DC1,Zone5,Sub3,984
15,DC2,Zone1,Sub1,1685
16,DC2,Zone1,Sub2,1443
17,DC2,Zone1,Sub3,1700
18,DC2,Zone2,Sub1,1856
19,DC2,Zone2,Sub2,2233
20,DC2,Zone2,Sub3,2389
21,DC2,Zone3,Sub1,581
22,DC2,Zone3,Sub2,626
23,DC2,Zone3,Sub3,659
24,DC2,Zone4,Sub1,2579
25,DC2,Zone4,Sub2,2152
26,DC2,Zone4,Sub3,2738
27,DC2,Zone5,Sub1,1567
28,DC2,Zone5,Sub2,1277
29,DC2,Zone5,Sub3,1464
30,DC3,Zone1,Sub1,1344
31,DC3,Zone1,Sub2,1560
32,DC3,Zone1,Sub3,1295
33,DC3,Zone2,Sub1,2624
34,DC3,Zone2,Sub2,2523
35,DC3,Zone2,Sub3,2467
36,DC3,Zone3,Sub1,973
37,DC3,Zone3,Sub2,954
38,DC3,Zone3,Sub3,962
39,DC3,Zone4,Sub1,2000
40,DC3,Zone4,Sub2,2170
41,DC3,Zone4,Sub3,1923
42,DC3,Zone5,Sub1,442
43,DC3,Zone5,Sub2,400
44,DC3,Zone5,Sub3,414
