,Center,DemandZone,Subsection,Distance_km
0,DC1,Zone1,Sub1,322
1,DC1,Zone1,Sub2,323
2,DC1,Zone1,Sub3,320
3,DC1,Zone2,Sub1,1830
4,DC1,Zone2,Sub2,2074
5,DC1,Zone2,Sub3,1731
6,DC1,Zone3,Sub1,538
7,DC1,Zone3,Sub2,611
8,DC1,Zone3,Sub3,540
9,DC1,Zone4,Sub1,253
10,DC1,Zone4,Sub2,287
11,DC1,Zone4,Sub3,319
12,DC1,Zone5,Sub1,1100
13,DC1,Zone5,Sub2,1005
14,DC1,Zone5,Sub3,1054
15,DC2,Zone1,Sub1,1958
16,DC2,Zone1,Sub2,2261
17,DC2,Zone1,Sub3,1797
18,DC2,Zone2,Sub1,665
19,DC2,Zone2,Sub2,548
20,DC2,Zone2,Sub3,623
21,DC2,Zone3,Sub1,1836
22,DC2,Zone3,Sub2,1993
23,DC2,Zone3,Sub3,1884
24,DC2,Zone4,Sub1,1962
25,DC2,Zone4,Sub2,2019
26,DC2,Zone4,Sub3,2012
27,DC2,Zone5,Sub1,506
28,DC2,Zone5,Sub2,481
29,DC2,Zone5,Sub3,480
30,DC3,Zone1,Sub1,869
31,DC3,Zone1,Sub2,888
32,DC3,Zone1,Sub3,990
33,DC3,Zone2,Sub1,442
34,DC3,Zone2,Sub2,488
35,DC3,Zone2,Sub3,469
36,DC3,Zone3,Sub1,2288
37,DC3,Zone3,Sub2,2164
38,DC3,Zone3,Sub3,2026
39,DC3,Zone4,Sub1,1347
40,DC3,Zone4,Sub2,1328
41,DC3,Zone4,Sub3,1282
42,DC3,Zone5,Sub1,712
43,DC3,Zone5,Sub2,694
44,DC3,Zone5,Sub3,716
