,Center,DemandZone,Subsection,Distance_km
0,DC1,Zone1,Sub1,2247
1,DC1,Zone1,Sub2,2441
2,DC1,Zone1,Sub3,2304
3,DC1,Zone2,Sub1,2500
4,DC1,Zone2,Sub2,2096
5,DC1,Zone2,Sub3,2228
6,DC1,Zone3,Sub1,915
7,DC1,Zone3,Sub2,823
8,DC1,Zone3,Sub3,972
9,DC1,Zone4,Sub1,2740
10,DC1,Zone4,Sub2,2767
11,DC1,Zone4,Sub3,2466
12,DC1,Zone5,Sub1,769
13,DC1,Zone5,Sub2,743
14,DC1,Zone5,Sub3,675
15,DC2,Zone1,Sub1,1788
16,DC2,Zone1,Sub2,2053
17,DC2,Zone1,Sub3,2043
18,DC2,Zone2,Sub1,457
19,DC2,Zone2,Sub2,462
20,DC2,Zone2,Sub3,398
21,DC2,Zone3,Sub1,1729
22,DC2,Zone3,Sub2,1504
23,DC2,Zone3,Sub3,1565
24,DC2,Zone4,Sub1,383
25,DC2,Zone4,Sub2,328
26,DC2,Zone4,Sub3,310
27,DC2,Zone5,Sub1,2088
28,DC2,Zone5,Sub2,1912
29,DC2,Zone5,Sub3,1769
30,DC3,Zone1,Sub1,1137
31,DC3,Zone1,Sub2,1424
32,DC3,Zone1,Sub3,1174
33,DC3,Zone2,Sub1,1688
34,DC3,Zone2,Sub2,1631
35,DC3,Zone2,Sub3,1957
36,DC3,Zone3,Sub1,178
37,DC3,Zone3,Sub2,192
38,DC3,Zone3,Sub3,185
39,DC3,Zone4,Sub1,1251
40,DC3,Zone4,Sub2,1357
41,DC3,Zone4,Sub3,1291
42,DC3,Zone5,Sub1,830
43,DC3,Zone5,Sub2,787
44,DC3,Zone5,Sub3,844
