,Center,DemandZone,Subsection,Distance_km
0,DC1,Zone1,Sub1,1948
1,DC1,Zone1,Sub2,1858
2,DC1,Zone1,Sub3,1877
3,DC1,Zone2,Sub1,577
4,DC1,Zone2,Sub2,709
5,DC1,Zone2,Sub3,623
6,DC1,Zone3,Sub1,511
7,DC1,Zone3,Sub2,477
8,DC1,Zone3,Sub3,530
9,DC1,Zone4,Sub1,1267
10,DC1,Zone4,Sub2,1360
11,DC1,Zone4,Sub3,1432
12,DC1,Zone5,Sub1,2465
13,DC1,Zone5,Sub2,2120
14,DC1,Zone5,Sub3,2485
15,DC2,Zone1,Sub1,1326
16,DC2,Zone1,Sub2,1367
17,DC2,Zone1,Sub3,1300
18,DC2,Zone2,Sub1,611
19,DC2,Zone2,Sub2,545
20,DC2,Zone2,Sub3,501
21,DC2,Zone3,Sub1,303
22,DC2,Zone3,Sub2,261
23,DC2,Zone3,Sub3,284
24,DC2,Zone4,Sub1,277
25,DC2,Zone4,Sub2,247
26,DC2,Zone4,Sub3,248
27,DC2,Zone5,Sub1,1311
28,DC2,Zone5,Sub2,1301
29,DC2,Zone5,Sub3,1035
30,DC3,Zone1,Sub1,2247
31,DC3,Zone1,Sub2,2206
32,DC3,Zone1,Sub3,2393
33,DC3,Zone2,Sub1,838
34,DC3,Zone2,Sub2,867
35,DC3,Zone2,Sub3,1013
36,DC3,Zone3,Sub1,1291
37,DC3,Zone3,Sub2,1426
38,DC3,Zone3,Sub3,1452
39,DC3,Zone4,Sub1,1044
40,DC3,Zone4,Sub2,1028
41,DC3,Zone4,Sub3,899
42,DC3,Zone5,Sub1,1135
43,DC3,Zone5,Sub2,1309
44,DC3,Zone5,Sub3,1152
