,Center,DemandZone,Subsection,Distance_km
0,DC1,Zone1,Sub1,378
1,DC1,Zone1,Sub2,498
2,DC1,Zone1,Sub3,374
3,DC1,Zone2,Sub1,986
4,DC1,Zone2,Sub2,942
5,DC1,Zone2,Sub3,844
6,DC1,Zone3,Sub1,1236
7,DC1,Zone3,Sub2,1373
8,DC1,Zone3,Sub3,1499
9,DC1,Zone4,Sub1,296
10,DC1,Zone4,Sub2,323
11,DC1,Zone4,Sub3,285
12,DC1,Zone5,Sub1,2289
13,DC1,Zone5,Sub2,2447
14,DC1,Zone5,Sub3,2613
15,DC2,Zone1,Sub1,2554
16,DC2,Zone1,Sub2,2147
17,DC2,Zone1,Sub3,2117
18,DC2,Zone2,Sub1,2397
19,DC2,Zone2,Sub2,1986
20,DC2,Zone2,Sub3,2238
21,DC2,Zone3,Sub1,221
22,DC2,Zone3,Sub2,240
23,DC2,Zone3,Sub3,189
24,DC2,Zone4,Sub1,1488
25,DC2,Zone4,Sub2,1879
26,DC2,Zone4,Sub3,1775
27,DC2,Zone5,Sub1,1611
28,DC2,Zone5,Sub2,1577
29,DC2,Zone5,Sub3,1552
30,DC3,Zone1,Sub1,1763
31,DC3,Zone1,Sub2,1393
32,DC3,Zone1,Sub3,1473
33,DC3,Zone2,Sub1,1974
34,DC3,Zone2,Sub2,2242
35,DC3,Zone2,Sub3,2365
36,DC3,Zone3,Sub1,950
37,DC3,Zone3,Sub2,968
38,DC3,Zone3,Sub3,1042
39,DC3,Zone4,Sub1,882
40,DC3,Zone4,Sub2,768
41,DC3,Zone4,Sub3,803
42,DC3,Zone5,Sub1,558
43,DC3,Zone5,Sub2,468
44,DC3,Zone5,Sub3,502
