,Center,DemandZone,Subsection,CompositeRisk
0,DC1,Zone1,Sub1,0.320023
1,DC1,Zone1,Sub2,0.813744
2,DC1,Zone1,Sub3,0.27491
3,DC1,Zone2,Sub1,0.66106
4,DC1,Zone2,Sub2,0.79544
5,DC1,Zone2,Sub3,0.322297
6,DC1,Zone3,Sub1,0.177373
7,DC1,Zone3,Sub2,0.683785
8,DC1,Zone3,Sub3,0.541633
9,DC1,Zone4,Sub1,0.663657
10,DC1,Zone4,Sub2,0.163834
11,DC1,Zone4,Sub3,0.608548
12,DC1,Zone5,Sub1,0.661456
13,DC1,Zone5,Sub2,0.527312
14,DC1,Zone5,Sub3,0.840313
15,DC2,Zone1,Sub1,0.7208
16,DC2,Zone1,Sub2,0.314193
17,DC2,Zone1,Sub3,0.351742
18,DC2,Zone2,Sub1,0.211704
19,DC2,Zone2,Sub2,0.442747
20,DC2,Zone2,Sub3,0.210665
21,DC2,Zone3,Sub1,0.227986
22,DC2,Zone3,Sub2,0.576711
23,DC2,Zone3,Sub3,0.853945
24,DC2,Zone4,Sub1,0.714879
25,DC2,Zone4,Sub2,0.102596
26,DC2,Zone4,Sub3,0.70957
27,DC2,Zone5,Sub1,0.50613
28,DC2,Zone5,Sub2,0.8628
29,DC2,Zone5,Sub3,0.490885
30,DC3,Zone1,Sub1,0.292697
31,DC3,Zone1,Sub2,0.752819
32,DC3,Zone1,Sub3,0.627801
33,DC3,Zone2,Sub1,0.43851
34,DC3,Zone2,Sub2,0.260921
35,DC3,Zone2,Sub3,0.45048
36,DC3,Zone3,Sub1,0.116827
37,DC3,Zone3,Sub2,0.666273
38,DC3,Zone3,Sub3,0.364343
39,DC3,Zone4,Sub1,0.205849
40,DC3,Zone4,Sub2,0.727696
41,DC3,Zone4,Sub3,0.444841
42,DC3,Zone5,Sub1,0.887332
43,DC3,Zone5,Sub2,0.789338
44,DC3,Zone5,Sub3,0.437505
