,Center,DemandZone,Subsection,CompositeRisk
0,DC1,Zone1,Sub1,0.391598
1,DC1,Zone1,Sub2,0.191398
2,DC1,Zone1,Sub3,0.71143
3,DC1,Zone2,Sub1,0.812849
4,DC1,Zone2,Sub2,0.882199
5,DC1,Zone2,Sub3,0.496826
6,DC1,Zone3,Sub1,0.642147
7,DC1,Zone3,Sub2,0.505303
8,DC1,Zone3,Sub3,0.74303
9,DC1,Zone4,Sub1,0.870616
10,DC1,Zone4,Sub2,0.474079
11,DC1,Zone4,Sub3,0.864889
12,DC1,Zone5,Sub1,0.668388
13,DC1,Zone5,Sub2,0.488301
14,DC1,Zone5,Sub3,0.742417
15,DC2,Zone1,Sub1,0.260915
16,DC2,Zone1,Sub2,0.369126
17,DC2,Zone1,Sub3,0.129776
18,DC2,Zone2,Sub1,0.522151
19,DC2,Zone2,Sub2,0.285314
20,DC2,Zone2,Sub3,0.219511
21,DC2,Zone3,Sub1,0.860476
22,DC2,Zone3,Sub2,0.37902
23,DC2,Zone3,Sub3,0.206455
24,DC2,Zone4,Sub1,0.754794
25,DC2,Zone4,Sub2,0.488115
26,DC2,Zone4,Sub3,0.304989
27,DC2,Zone5,Sub1,0.654745
28,DC2,Zone5,Sub2,0.18255
29,DC2,Zone5,Sub3,0.306596
30,DC3,Zone1,Sub1,0.540297
31,DC3,Zone1,Sub2,0.898634
32,DC3,Zone1,Sub3,0.439147
33,DC3,Zone2,Sub1,0.728677
34,DC3,Zone2,Sub2,0.382919
35,DC3,Zone2,Sub3,0.531334
36,DC3,Zone3,Sub1,0.719887
37,DC3,Zone3,Sub2,0.839905
38,DC3,Zone3,Sub3,0.855696
39,DC3,Zone4,Sub1,0.320656
40,DC3,Zone4,Sub2,0.352741
41,DC3,Zone4,Sub3,0.383035
42,DC3,Zone5,Sub1,0.612023
43,DC3,Zone5,Sub2,0.820571
44,DC3,Zone5,Sub3,0.477893
