,Center,DemandZone,Subsection,CompositeRisk
0,DC1,Zone1,Sub1,0.143754
1,DC1,Zone1,Sub2,0.363821
2,DC1,Zone1,Sub3,0.177614
3,DC1,Zone2,Sub1,0.844946
4,DC1,Zone2,Sub2,0.192525
5,DC1,Zone2,Sub3,0.822086
6,DC1,Zone3,Sub1,0.778321
7,DC1,Zone3,Sub2,0.798612
8,DC1,Zone3,Sub3,0.453022
9,DC1,Zone4,Sub1,0.757223
10,DC1,Zone4,Sub2,0.411404
11,DC1,Zone4,Sub3,0.678566
12,DC1,Zone5,Sub1,0.46733
13,DC1,Zone5,Sub2,0.352276
14,DC1,Zone5,Sub3,0.577442
15,DC2,Zone1,Sub1,0.269586
16,DC2,Zone1,Sub2,0.141752
17,DC2,Zone1,Sub3,0.127192
18,DC2,Zone2,Sub1,0.13914
19,DC2,Zone2,Sub2,0.499895
20,DC2,Zone2,Sub3,0.680445
21,DC2,Zone3,Sub1,0.527193
22,DC2,Zone3,Sub2,0.190791
23,DC2,Zone3,Sub3,0.729885
24,DC2,Zone4,Sub1,0.282759
25,DC2,Zone4,Sub2,0.296324
26,DC2,Zone4,Sub3,0.441506
27,DC2,Zone5,Sub1,0.341094
28,DC2,Zone5,Sub2,0.366123
29,DC2,Zone5,Sub3,0.272978
30,DC3,Zone1,Sub1,0.660988
31,DC3,Zone1,Sub2,0.13545
32,DC3,Zone1,Sub3,0.371789
33,DC3,Zone2,Sub1,0.836719
34,DC3,Zone2,Sub2,0.52974
35,DC3,Zone2,Sub3,0.493982
36,DC3,Zone3,Sub1,0.774639
37,DC3,Zone3,Sub2,0.837093
38,DC3,Zone3,Sub3,0.851334
39,DC3,Zone4,Sub1,0.11218
40,DC3,Zone4,Sub2,0.644224
41,DC3,Zone4,Sub3,0.179931
42,DC3,Zone5,Sub1,0.624473
43,DC3,Zone5,Sub2,0.685203
44,DC3,Zone5,Sub3,0.547045
