,Center,DemandZone,Subsection,CompositeRisk
0,DC1,Zone1,Sub1,0.246074
1,DC1,Zone1,Sub2,0.173429
2,DC1,Zone1,Sub3,0.679559
3,DC1,Zone2,Sub1,0.234921
4,DC1,Zone2,Sub2,0.499807
5,DC1,Zone2,Sub3,0.589096
6,DC1,Zone3,Sub1,0.393598
7,DC1,Zone3,Sub2,0.815824
8,DC1,Zone3,Sub3,0.739257
9,DC1,Zone4,Sub1,0.694228
10,DC1,Zone4,Sub2,0.223422
11,DC1,Zone4,Sub3,0.879006
12,DC1,Zone5,Sub1,0.525678
13,DC1,Zone5,Sub2,0.615138
14,DC1,Zone5,Sub3,0.422827
15,DC2,Zone1,Sub1,0.694485
16,DC2,Zone1,Sub2,0.824081
17,DC2,Zone1,Sub3,0.451012
18,DC2,Zone2,Sub1,0.669156
19,DC2,Zone2,Sub2,0.427655
20,DC2,Zone2,Sub3,0.335073
21,DC2,Zone3,Sub1,0.839872
22,DC2,Zone3,Sub2,0.41437
23,DC2,Zone3,Sub3,0.397103
24,DC2,Zone4,Sub1,0.734276
25,DC2,Zone4,Sub2,0.622377
26,DC2,Zone4,Sub3,0.760251
27,DC2,Zone5,Sub1,0.545411
28,DC2,Zone5,Sub2,0.735009
29,DC2,Zone5,Sub3,0.50325
30,DC3,Zone1,Sub1,0.344896
31,DC3,Zone1,Sub2,0.402771
32,DC3,Zone1,Sub3,0.223681
33,DC3,Zone2,Sub1,0.873938
34,DC3,Zone2,Sub2,0.595775
35,DC3,Zone2,Sub3,0.586704
36,DC3,Zone3,Sub1,0.250283
37,DC3,Zone3,Sub2,0.569173
38,DC3,Zone3,Sub3,0.790269
39,DC3,Zone4,Sub1,0.281135
40,DC3,Zone4,Sub2,0.698693
41,DC3,Zone4,Sub3,0.85652
42,DC3,Zone5,Sub1,0.577328
43,DC3,Zone5,Sub2,0.736018
44,DC3,Zone5,Sub3,0.159969
