,Center,DemandZone,Subsection,CompositeRisk
0,DC1,Zone1,Sub1,0.863121
1,DC1,Zone1,Sub2,0.74049
2,DC1,Zone1,Sub3,0.399997
3,DC1,Zone2,Sub1,0.299876
4,DC1,Zone2,Sub2,0.100878
5,DC1,Zone2,Sub3,0.842156
6,DC1,Zone3,Sub1,0.497472
7,DC1,Zone3,Sub2,0.125995
8,DC1,Zone3,Sub3,0.75865
9,DC1,Zone4,Sub1,0.489508
10,DC1,Zone4,Sub2,0.184836
11,DC1,Zone4,Sub3,0.431782
12,DC1,Zone5,Sub1,0.533653
13,DC1,Zone5,Sub2,0.823176
14,DC1,Zone5,Sub3,0.339531
15,DC2,Zone1,Sub1,0.450824
16,DC2,Zone1,Sub2,0.179742
17,DC2,Zone1,Sub3,0.55485
18,DC2,Zone2,Sub1,0.414894
19,DC2,Zone2,Sub2,0.786492
20,DC2,Zone2,Sub3,0.666109
21,DC2,Zone3,Sub1,0.278056
22,DC2,Zone3,Sub2,0.415831
23,DC2,Zone3,Sub3,0.51215
24,DC2,Zone4,Sub1,0.640328
25,DC2,Zone4,Sub2,0.816232
26,DC2,Zone4,Sub3,0.825095
27,DC2,Zone5,Sub1,0.12375
28,DC2,Zone5,Sub2,0.533075
29,DC2,Zone5,Sub3,0.829245
30,DC3,Zone1,Sub1,0.289626
31,DC3,Zone1,Sub2,0.777825
32,DC3,Zone1,Sub3,0.673395
33,DC3,Zone2,Sub1,0.333902
34,DC3,Zone2,Sub2,0.759568
35,DC3,Zone2,Sub3,0.522698
36,DC3,Zone3,Sub1,0.43056
37,DC3,Zone3,Sub2,0.776679
38,DC3,Zone3,Sub3,0.129178
39,DC3,Zone4,Sub1,0.559377
40,DC3,Zone4,Sub2,0.119799
41,DC3,Zone4,Sub3,0.873134
42,DC3,Zone5,Sub1,0.677936
43,DC3,Zone5,Sub2,0.132854
44,DC3,Zone5,Sub3,0.48702
