,Center,DemandZone,Subsection,TollCost
0,DC1,Zone1,Sub1,1282
1,DC1,Zone1,Sub2,1244
2,DC1,Zone1,Sub3,0
3,DC1,Zone2,Sub1,3202
4,DC1,Zone2,Sub2,0
5,DC1,Zone2,Sub3,2231
6,DC1,Zone3,Sub1,2420
7,DC1,Zone3,Sub2,2275
8,DC1,Zone3,Sub3,2619
9,DC1,Zone4,Sub1,2855
10,DC1,Zone4,Sub2,0
11,DC1,Zone4,Sub3,4356
12,DC1,Zone5,Sub1,0
13,DC1,Zone5,Sub2,2592
14,DC1,Zone5,Sub3,3846
15,DC2,Zone1,Sub1,0
16,DC2,Zone1,Sub2,3230
17,DC2,Zone1,Sub3,6449
18,DC2,Zone2,Sub1,7623
19,DC2,Zone2,Sub2,7910
20,DC2,Zone2,Sub3,7710
21,DC2,Zone3,Sub1,2255
22,DC2,Zone3,Sub2,1964
23,DC2,Zone3,Sub3,0
24,DC2,Zone4,Sub1,6939
25,DC2,Zone4,Sub2,8666
26,DC2,Zone4,Sub3,0
27,DC2,Zone5,Sub1,3441
28,DC2,Zone5,Sub2,6038
29,DC2,Zone5,Sub3,2769
30,DC3,Zone1,Sub1,0
31,DC3,Zone1,Sub2,7679
32,DC3,Zone1,Sub3,0
33,DC3,Zone2,Sub1,5881
34,DC3,Zone2,Sub2,6537
35,DC3,Zone2,Sub3,0
36,DC3,Zone3,Sub1,3345
37,DC3,Zone3,Sub2,0
38,DC3,Zone3,Sub3,3174
39,DC3,Zone4,Sub1,9548
40,DC3,Zone4,Sub2,0
41,DC3,Zone4,Sub3,5735
42,DC3,Zone5,Sub1,815
43,DC3,Zone5,Sub2,0
44,DC3,Zone5,Sub3,1024
