,Center,DemandZone,Subsection,TollCost
0,DC1,Zone1,Sub1,936
1,DC1,Zone1,Sub2,1074
2,DC1,Zone1,Sub3,1178
3,DC1,Zone2,Sub1,4897
4,DC1,Zone2,Sub2,6678
5,DC1,Zone2,Sub3,4985
6,DC1,Zone3,Sub1,2156
7,DC1,Zone3,Sub2,2157
8,DC1,Zone3,Sub3,2208
9,DC1,Zone4,Sub1,1183
10,DC1,Zone4,Sub2,637
11,DC1,Zone4,Sub3,1179
12,DC1,Zone5,Sub1,0
13,DC1,Zone5,Sub2,3284
14,DC1,Zone5,Sub3,3672
15,DC2,Zone1,Sub1,4664
16,DC2,Zone1,Sub2,5493
17,DC2,Zone1,Sub3,7803
18,DC2,Zone2,Sub1,1930
19,DC2,Zone2,Sub2,2252
20,DC2,Zone2,Sub3,1414
21,DC2,Zone3,Sub1,3922
22,DC2,Zone3,Sub2,8117
23,DC2,Zone3,Sub3,5496
24,DC2,Zone4,Sub1,7731
25,DC2,Zone4,Sub2,6973
26,DC2,Zone4,Sub3,4980
27,DC2,Zone5,Sub1,1423
28,DC2,Zone5,Sub2,0
29,DC2,Zone5,Sub3,1634
30,DC3,Zone1,Sub1,1625
31,DC3,Zone1,Sub2,3903
32,DC3,Zone1,Sub3,4938
33,DC3,Zone2,Sub1,1050
34,DC3,Zone2,Sub2,973
35,DC3,Zone2,Sub3,1536
36,DC3,Zone3,Sub1,3763
37,DC3,Zone3,Sub2,10497
38,DC3,Zone3,Sub3,9210
39,DC3,Zone4,Sub1,3250
40,DC3,Zone4,Sub2,2731
41,DC3,Zone4,Sub3,6066
42,DC3,Zone5,Sub1,1415
43,DC3,Zone5,Sub2,2730
44,DC3,Zone5,Sub3,2612
