,Center,DemandZone,Subsection,TollCost
0,DC1,Zone1,Sub1,7695
1,DC1,Zone1,Sub2,6129
2,DC1,Zone1,Sub3,3845
3,DC1,Zone2,Sub1,11906
4,DC1,Zone2,Sub2,4240
5,DC1,Zone2,Sub3,0
6,DC1,Zone3,Sub1,0
7,DC1,Zone3,Sub2,0
8,DC1,Zone3,Sub3,0
9,DC1,Zone4,Sub1,9581
10,DC1,Zone4,Sub2,5503
11,DC1,Zone4,Sub3,11302
12,DC1,Zone5,Sub1,0
13,DC1,Zone5,Sub2,2082
14,DC1,Zone5,Sub3,2315
15,DC2,Zone1,Sub1,3003
16,DC2,Zone1,Sub2,6958
17,DC2,Zone1,Sub3,4990
18,DC2,Zone2,Sub1,763
19,DC2,Zone2,Sub2,1069
20,DC2,Zone2,Sub3,936
21,DC2,Zone3,Sub1,7514
22,DC2,Zone3,Sub2,2659
23,DC2,Zone3,Sub3,0
24,DC2,Zone4,Sub1,1827
25,DC2,Zone4,Sub2,967
26,DC2,Zone4,Sub3,526
27,DC2,Zone5,Sub1,10339
28,DC2,Zone5,Sub2,5414
29,DC2,Zone5,Sub3,5316
30,DC3,Zone1,Sub1,2951
31,DC3,Zone1,Sub2,4077
32,DC3,Zone1,Sub3,4487
33,DC3,Zone2,Sub1,3828
34,DC3,Zone2,Sub2,4847
35,DC3,Zone2,Sub3,0
36,DC3,Zone3,Sub1,676
37,DC3,Zone3,Sub2,616
38,DC3,Zone3,Sub3,879
39,DC3,Zone4,Sub1,4331
40,DC3,Zone4,Sub2,0
41,DC3,Zone4,Sub3,0
42,DC3,Zone5,Sub1,2631
43,DC3,Zone5,Sub2,1828
44,DC3,Zone5,Sub3,2751
