,Center,DemandZone,Subsection,TollCost
0,DC1,Zone1,Sub1,0
1,DC1,Zone1,Sub2,0
2,DC1,Zone1,Sub3,7847
3,DC1,Zone2,Sub1,1857
4,DC1,Zone2,Sub2,3532
5,DC1,Zone2,Sub3,2419
6,DC1,Zone3,Sub1,2364
7,DC1,Zone3,Sub2,0
8,DC1,Zone3,Sub3,2314
9,DC1,Zone4,Sub1,0
10,DC1,Zone4,Sub2,2721
11,DC1,Zone4,Sub3,2806
12,DC1,Zone5,Sub1,5790
13,DC1,Zone5,Sub2,7993
14,DC1,Zone5,Sub3,7805
15,DC2,Zone1,Sub1,5821
16,DC2,Zone1,Sub2,2212
17,DC2,Zone1,Sub3,0
18,DC2,Zone2,Sub1,2651
19,DC2,Zone2,Sub2,1573
20,DC2,Zone2,Sub3,1340
21,DC2,Zone3,Sub1,470
22,DC2,Zone3,Sub2,657
23,DC2,Zone3,Sub3,0
24,DC2,Zone4,Sub1,578
25,DC2,Zone4,Sub2,879
26,DC2,Zone4,Sub3,0
27,DC2,Zone5,Sub1,0
28,DC2,Zone5,Sub2,0
29,DC2,Zone5,Sub3,1837
30,DC3,Zone1,Sub1,8765
31,DC3,Zone1,Sub2,10394
32,DC3,Zone1,Sub3,4266
33,DC3,Zone2,Sub1,2084
34,DC3,Zone2,Sub2,2056
35,DC3,Zone2,Sub3,4873
36,DC3,Zone3,Sub1,3637
37,DC3,Zone3,Sub2,7090
38,DC3,Zone3,Sub3,0
39,DC3,Zone4,Sub1,2421
40,DC3,Zone4,Sub2,2399
41,DC3,Zone4,Sub3,3084
42,DC3,Zone5,Sub1,2868
43,DC3,Zone5,Sub2,6228
44,DC3,Zone5,Sub3,3171
