,Center,DemandZone,Subsection,TollCost
0,DC1,Zone1,Sub1,758
1,DC1,Zone1,Sub2,0
2,DC1,Zone1,Sub3,953
3,DC1,Zone2,Sub1,4741
4,DC1,Zone2,Sub2,4221
5,DC1,Zone2,Sub3,1526
6,DC1,Zone3,Sub1,3234
7,DC1,Zone3,Sub2,0
8,DC1,Zone3,Sub3,2390
9,DC1,Zone4,Sub1,0
10,DC1,Zone4,Sub2,667
11,DC1,Zone4,Sub3,1003
12,DC1,Zone5,Sub1,10946
13,DC1,Zone5,Sub2,10016
14,DC1,Zone5,Sub3,12418
15,DC2,Zone1,Sub1,11171
16,DC2,Zone1,Sub2,4015
17,DC2,Zone1,Sub3,0
18,DC2,Zone2,Sub1,6008
19,DC2,Zone2,Sub2,9035
20,DC2,Zone2,Sub3,10951
21,DC2,Zone3,Sub1,1028
22,DC2,Zone3,Sub2,771
23,DC2,Zone3,Sub3,832
24,DC2,Zone4,Sub1,4999
25,DC2,Zone4,Sub2,4967
26,DC2,Zone4,Sub3,0
27,DC2,Zone5,Sub1,6784
28,DC2,Zone5,Sub2,5001
29,DC2,Zone5,Sub3,7621
30,DC3,Zone1,Sub1,6706
31,DC3,Zone1,Sub2,0
32,DC3,Zone1,Sub3,0
33,DC3,Zone2,Sub1,9710
34,DC3,Zone2,Sub2,9044
35,DC3,Zone2,Sub3,8791
36,DC3,Zone3,Sub1,4274
37,DC3,Zone3,Sub2,2503
38,DC3,Zone3,Sub3,4951
39,DC3,Zone4,Sub1,2048
40,DC3,Zone4,Sub2,3835
41,DC3,Zone4,Sub3,3459
42,DC3,Zone5,Sub1,0
43,DC3,Zone5,Sub2,2294
44,DC3,Zone5,Sub3,1925
